,BC
461,0.0
462,641.57524
463,14615.8368
464,70822.9872
465,8632.425599999999
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,1465.8172
472,7236.076333333333
473,12153.64948
474,190534.03999999998
475,7627.00825
476,2936.84202
477,0.0
478,14254.3688
479,80339.4164
480,0.0
481,0.0
482,0.0
483,0.0
484,23111.430399999997
485,0.0
486,24720.459499999997
487,0.0
488,0.0
489,11256.03536
490,0.0
491,555.6078
492,1841.4075799999998
493,474.601336
494,0.0
495,1197.8624599999998
496,5269.119225
497,13001.967200000001
498,3540.66858
499,7996.898879999999
500,0.0
501,0.0
502,0.0
503,27658.971999999998
504,1859.6144
505,27584.472999999998
506,44179.674
507,0.0
508,0.0
509,0.0
510,0.0
511,8222.11806
512,455.92414500000007
513,0.0
514,0.0
515,0.0
516,6261.92732
517,2176.1976
518,19053.2165
519,0.0
520,0.0
521,0.0
522,11864.5056
523,0.0
524,6990.8
525,7103.8557
526,0.0
527,3724.1536399999995
528,6990.8
529,0.0
530,0.0
531,0.0
532,3370.7603799999997
533,0.0
534,7420.08318
535,7758.25364
536,23956.1082
537,6109.812800000001
538,0.0
539,0.0
540,1393.9682400000002
541,0.0
542,0.0
543,9805.6067
544,4377.60438
545,1922.3399399999998
546,0.0
547,0.0
548,9295.84564
549,1653.0780200000002
550,0.0
551,245.78424600000002
552,260.950986
553,0.0
554,91567.677
555,0.0
556,0.0
557,20550.721666666668
558,8.412487200000001
559,1400.96184
560,9125.52072
561,0.0
562,585.152912
563,0.0
564,785.3735254000001
565,1479.9347999999998
566,0.0
567,3717.3981199999994
568,22875.6615
569,2578.960286
570,2499.55006
571,3757.7930666666666
572,0.0
573,17426.235999999997
574,1903.296556
575,1176.95217
576,70265.09
577,0.0
578,1649.8754860000001
579,18148.5084
580,928.37896
581,6319.310280000001
582,8317.08928
583,0.0
584,1663.24192
585,14506.6842
586,627.0895
587,10719.673799999999
588,0.0
589,1367.2
590,0.0
591,9292.00588
592,27273.5976
593,1077.35566
594,0.0
595,31152.397000000004
596,14732.369
597,2345.0263333333332
598,492.31370933999995
599,0.0
600,10122.035500000002
601,25441.107
602,33546.1234
603,9515.07202
604,0.0
605,137001.1208
606,0.0
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,0.0
613,0.0
614,88116.85579999999
615,28712.1
616,40795.756
617,420.592512
618,0.0
619,0.0
620,0.0
621,23.97652
622,1529.10606
623,53787.830799999996
624,103513.944
625,2763.29478
626,0.0
627,0.0
628,0.0
629,153492.766
630,0.0
631,0.0
632,2067.06586
633,0.0
634,5554.552774
635,1918.382112
636,0.0
637,1400.47296
638,0.0
639,80791.1506
640,4600.0503
641,0.0
642,0.0
643,367.584612
644,1073.9477899999997
645,45089.0
646,0.0
647,0.0
648,0.0
649,6770.8258000000005
650,14832.3008
651,0.0
652,0.0
653,10464.8402646
654,0.0
655,7171.45298
656,371.027994
657,0.0
658,0.0
659,8854.68
660,11822.264799999999
661,0.0
662,0.0
663,0.0
664,0.0
665,16058.360200000001
666,621.050332
667,7887.45346
668,0.0
669,0.0
670,0.0
671,0.0
672,2369.9095
673,0.0
674,0.0
675,0.0
676,11131.6724
677,134.374678
678,23900.584
679,50321.835999999996
680,0.0
681,0.0
682,0.0
683,14334.4764
684,0.0
685,10604.841540000001
686,0.0
