,DC
985,1.0
986,7.8
987,0.0
988,0.0
989,3.0
990,5.0
991,8.8
992,1.0
993,6.0
994,5.2
995,4.0
996,0.0
997,20.0
998,1.0
999,1.0
1000,1.0
1001,2.0
1002,0.0
1003,2.0
1004,1.0
1005,0.0
1006,22.2
1007,9.4
1008,0.0
1009,0.0
1010,0.0
1011,1.0
1012,6.0
1013,5.8
1014,1.5
1015,7.0
1016,2.2
1017,1.0
1018,1.25
1019,7.6
1020,3.0
1021,1.0
1022,1.0
1023,0.0
1024,9.0
1025,5.0
1026,16.0
1027,0.0
1028,10.4
1029,2.0
1030,3.6
1031,0.0
1032,1.0
1033,2.0
1034,1.8
1035,1.0
1036,1.0
1037,1.0
1038,0.0
1039,8.8
1040,0.0
1041,5.4
1042,0.0
1043,7.6
1044,3.0
1045,13.8
1046,3.0
1047,0.0
1048,1.0
1049,2.0
1050,4.2
1051,9.6
1052,8.2
1053,2.0
1054,20.6
1055,2.0
1056,2.0
1057,1.4
1058,1.0
1059,2.0
1060,1.0
1061,29.4
1062,2.0
1063,2.6
1064,1.4
1065,0.0
1066,0.0
1067,1.0
1068,5.6
1069,2.0
1070,1.0
1071,0.0
1072,1.0
1073,0.0
1074,24.6
1075,1.8
1076,0.0
1077,9.8
1078,9.6
1079,0.0
1080,2.0
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,1.0
1086,2.0
1087,1.0
1088,2.0
1089,3.0
1090,1.0
1091,1.8
1092,2.0
1093,0.0
1094,13.8
1095,0.0
1096,3.6
1097,0.0
1098,1.0
1099,1.8
1100,2.0
1101,3.0
1102,13.2
1103,1.0
1104,1.6
1105,0.0
1106,6.6
1107,1.0
1108,0.0
1109,3.8
1110,1.0
1111,1.0
1112,1.0
1113,0.0
1114,6.8
1115,1.8
1116,0.0
1117,6.0
1118,6.0
1119,7.2
1120,0.0
1121,18.4
1122,2.0
1123,0.0
1124,2.8
1125,3.2
1126,4.8
1127,24.2
1128,6.4
1129,0.0
1130,9.4
1131,1.0
1132,1.0
1133,1.0
1134,10.2
1135,1.0
1136,1.0
1137,2.0
1138,1.0
1139,4.2
1140,2.0
1141,1.6
1142,1.0
1143,26.4
1144,2.0
1145,15.0
1146,3.4
1147,1.0
1148,8.2
1149,1.2
1150,0.0
1151,3.2
1152,0.0
1153,1.0
1154,9.4
1155,0.0
1156,1.0
1157,8.0
1158,1.0
1159,1.0
1160,6.0
1161,1.0
1162,7.0
1163,1.0
1164,1.0
1165,1.0
1166,9.6
1167,1.3333333333333333
1168,1.0
1169,1.0
1170,32.0
1171,7.2
1172,0.0
1173,2.0
1174,3.8
1175,0.0
1176,4.0
1177,8.0
1178,1.0
1179,4.2
1180,4.0
1181,1.6
1182,2.0
1183,1.0
1184,1.0
1185,2.0
1186,2.8
1187,7.6
1188,8.8
1189,2.0
1190,11.2
1191,2.0
1192,9.5
1193,0.0
1194,2.2
1195,13.2
1196,1.0
1197,1.0
1198,6.6
1199,4.6
1200,0.0
1201,3.4
1202,6.0
1203,5.4
1204,0.0
1205,15.2
1206,0.0
1207,2.8
1208,7.8
1209,0.0
1210,1.0
1211,0.0
1212,3.0
1213,0.0
1214,0.0
1215,3.0
1216,9.2
1217,4.8
1218,1.0
1219,8.6
1220,0.0
1221,0.0
1222,0.0
1223,0.0
1224,2.0
1225,1.0
1226,1.0
1227,1.2
1228,1.0
1229,14.0
1230,1.8
1231,0.0
1232,2.0
1233,1.8
1234,0.0
1235,0.0
1236,1.0
1237,5.0
1238,0.0
1239,1.0
1240,0.0
1241,1.0
1242,1.0
1243,1.0
1244,0.0
1245,4.0
1246,2.0
1247,1.4
1248,5.2
1249,0.0
1250,1.0
1251,0.0
1252,0.0
1253,0.0
1254,5.4
1255,9.4
1256,1.4
1257,11.0
1258,2.0
1259,2.6
1260,1.0
1261,0.0
1262,0.0
1263,0.0
1264,1.0
1265,5.0
1266,0.0
1267,4.4
1268,3.0
1269,14.8
1270,1.0
1271,8.8
1272,0.0
1273,4.6
1274,4.0
1275,1.0
1276,1.0
1277,0.0
1278,1.0
1279,6.0
1280,2.0
1281,0.0
1282,4.0
1283,1.0
1284,0.0
1285,13.2
1286,2.0
1287,5.0
1288,3.0
1289,6.0
1290,1.0
1291,1.0
1292,1.0
1293,0.0
1294,4.2
1295,5.0
1296,15.0
1297,3.0
1298,1.0
1299,3.0
1300,4.2
1301,0.0
1302,0.0
1303,0.0
1304,0.0
1305,1.0
1306,0.0
1307,0.0
1308,0.0
1309,2.0
1310,0.0
1311,0.0
1312,4.0
1313,14.4
1314,3.0
1315,2.0
1316,6.8
1317,7.0
1318,1.0
1319,0.0
1320,9.0
1321,4.6
1322,1.0
1323,0.0
1324,2.0
1325,1.0
1326,4.0
1327,0.0
1328,3.0
1329,4.0
1330,7.25
1331,71.6
1332,3.0
1333,15.2
1334,0.0
1335,1.0
1336,2.8
1337,13.6
1338,0.0
1339,6.6
1340,14.8
1341,5.4
1342,0.0
1343,3.6
1344,1.0
1345,3.0
1346,6.0
1347,4.8
1348,0.0
1349,1.0
1350,4.4
1351,10.6
1352,1.25
1353,0.0
