,IC
423,1.27919472
424,1.27919472
425,2.0750819999999996
426,0.0
427,2.79502908
428,0.0
429,2.70089298
430,1.27919472
431,3.08589214
432,2.4427519799999997
433,1.278906575
434,0.0
435,2.19872814
436,2.6032468799999995
437,0.0
438,1.7505394749999998
439,0.0
440,2.4654645
441,1.8801303800000002
442,1.6273254000000001
443,0.0
444,1.6291247000000002
445,2.22541286
446,2.71811036
447,2.81353932
448,1.2813989
449,1.950655
450,0.0
451,1.55614912
452,2.2265977
453,0.0
454,1.27919472
455,1.27919472
456,1.77802398
457,1.27919472
458,1.27919472
459,1.27919472
460,2.44430398
461,0.0
462,2.3453536
463,2.68186986
464,2.6564932
465,2.1680879400000004
466,1.280285225
467,0.0
468,0.0
469,0.0
470,1.27919472
471,2.0898537
472,2.8404144000000002
473,2.05797004
474,3.26000048
475,2.1470242500000003
476,2.0359841600000004
477,0.0
478,2.2284731599999996
479,3.16325398
480,0.0
481,0.0
482,0.0
483,0.0
484,2.9265194799999996
485,1.27919472
486,2.4499161
487,0.0
488,0.0
489,2.39253392
490,0.0
491,1.365605575
492,1.7790248000000002
493,1.6255637
494,1.2803473
495,1.41805764
496,1.6250995750000001
497,2.35406046
498,2.46884776
499,2.19872814
500,0.0
501,0.0
502,1.278906575
503,3.1982494
504,2.03630354
505,2.3818022599999997
506,3.0526088000000002
507,1.27919472
508,0.0
509,0.0
510,1.2813989
511,1.9968602400000002
512,1.8795105250000002
513,0.0
514,0.0
515,0.0
516,1.9582812600000001
517,1.55614912
518,2.8282266500000004
519,0.0
520,0.0
521,0.0
522,1.9968602400000002
523,1.27919472
524,1.6255637
525,1.95748782
526,0.0
527,1.6255637
528,1.6255637
529,1.2813989
530,0.0
531,1.27919472
532,2.2793213800000003
533,1.2783340333333333
534,2.32106684
535,2.4122718599999997
536,3.06126116
537,2.4916930199999996
538,1.280285225
539,1.4878302
540,1.9192282200000002
541,0.0
542,0.0
543,2.1680879400000004
544,2.5097537
545,1.4878302
546,0.0
547,0.0
548,1.6255637
549,1.8801303800000002
550,1.27919472
551,1.8801303800000002
552,1.91870936
553,1.280285225
554,3.3049251399999995
555,1.2813989
556,1.27919472
557,2.2265977
558,1.6255637
559,1.6255637
560,1.9843549000000003
561,1.280285225
562,1.55614912
563,0.0
564,2.2786800400000002
565,2.27932134
566,1.280285225
567,1.7156994600000002
568,2.62179305
569,1.8253055000000002
570,2.45732874
571,1.8782779333333333
572,0.0
573,2.7766997
574,1.72666928
575,1.8801303800000002
576,3.127402
577,1.27919472
578,2.23392338
579,2.84625928
580,1.5557911399999997
581,2.02864016
582,1.9968602400000002
583,1.27919472
584,1.9968602400000002
585,2.2342593199999996
586,1.3486093000000001
587,1.8801303800000002
588,1.27919472
589,1.6255637
590,0.0
591,2.167344
592,2.78781728
593,2.29809246
594,0.0
595,3.092551
596,2.5097538
597,2.5407357999999998
598,2.35985694
599,1.27919472
600,1.89661898
601,2.58366046
602,3.14429822
603,2.8097469599999996
604,1.27919472
605,3.22608112
606,1.8826098000000002
607,0.0
608,0.0
609,0.0
610,1.2803473
611,1.27919472
612,1.27919472
613,1.2803473
614,3.173392
615,3.040347
616,3.0417330199999997
617,2.5888137999999996
618,1.278906575
619,0.0
620,0.0
621,1.3489673
622,1.6255637
623,3.03754102
624,3.1883014999999997
625,1.7596778800000004
