,SC
426,0.0
427,7640.094200000001
428,0.0
429,3572.10546
430,698.5712860000001
431,99689.812
432,112848.61480000001
433,1.5418724750000001
434,0.0
435,2174.483916
436,5447.9233
437,0.0
438,6599.0123495
439,0.0
440,6229.493233333334
441,144.82994000000002
442,29.98700375
443,0.0
444,1591.9372
445,1391.4707833999998
446,4135.99254
447,12635.696994000002
448,64.86639266666667
449,702.3979408
450,0.0
451,8.01423394
452,435.75299666666666
453,0.0
454,3.65201522
455,698.571266
456,107.3993998
457,9.43332848
458,956.8929999999998
459,2.6723203599999996
460,36494.6432
461,0.0
462,8828.237319999998
463,41740.4658
464,46264.486000000004
465,275.718186
466,579.522375
467,0.0
468,0.0
469,0.0
470,388.049986
471,15626.72853
472,11232.311666666666
473,3685.7502859999995
474,39356.225399999996
475,12183.1375
476,533.256096
477,0.0
478,88148.68539999999
479,31072.8054
480,0.0
481,0.0
482,0.0
483,0.0
484,387279.04399999994
485,15.81630908
486,1693.2513999999999
487,0.0
488,0.0
489,27594.146732
490,0.0
491,2827.2857924999994
492,1033.529456
493,2922.4992799999995
494,43.575344
495,1279.851488
496,6374.11885
497,773.8741679999999
498,382386.792
499,60.09065488
500,0.0
501,0.0
502,1.5423571
503,965537.8
504,2911.832022
505,3603.2453299999993
506,96527.64660000001
507,1.54136978
508,0.0
509,0.0
510,1.5429350333333334
511,2650.4413680000002
512,9226.983375
513,0.0
514,0.0
515,0.0
516,204.91018
517,882.5345568
518,41947.602249999996
519,0.0
520,0.0
521,0.0
522,2425.8344484
523,2.61169278
524,10.8468026
525,1404.502258
526,0.0
527,6011.08232
528,5.11386392
529,316.41940666666665
530,0.0
531,177.0543712
532,1198.7759259999998
533,393.5729733333333
534,11542.10448
535,409.374574
536,19072.1994
537,11967.94946
538,14.1282395
539,424.8321968
540,165.24042
541,0.0
542,0.0
543,2356.316726
544,8254.39534
545,4355.52388
546,0.0
547,0.0
548,6.9467726
549,759.8418140000001
550,342.62363400000004
551,137.908283
552,3560.7870200000007
553,292.5213875
554,1508652.412
555,1.5428941666666667
556,3.5850618800000005
557,249.39968
558,882.9731599999999
559,3976.1551200000004
560,10559.9144
561,5.757740200000001
562,114.06108354
563,0.0
564,91041.77
565,2532.56448
566,5.002446325
567,4992.9088
568,17429.96125
569,1073.14488116
570,18821.465
571,4060.3894000000005
572,0.0
573,29987.1506
574,2232.7491016
575,9036.7392
576,249678.84
577,36.538363600000004
578,843.018202
579,22562.0584
580,1450.7093134
581,1884.9288080000001
582,430.12938999999994
583,3.18813058
584,68.80812639999999
585,440.65537400000005
586,1009.4035672
587,1649.95516
588,1.75455984
589,6.282228239999999
590,0.0
591,249.04113999999998
592,8901.12436
593,907.6446579999999
594,0.0
595,85087.92319999999
596,4337.4087
597,2123.4182666666666
598,1274.3910140000003
599,10.7928234
600,23.176807099999998
601,10790.956000000002
602,2002784.52
603,10236.1015
604,101.469713
605,108672.1888
606,34068.355
607,0.0
608,0.0
609,0.0
610,29.2728
611,1.6914118999999999
612,25.299000999999997
613,1800.7394
614,49674.39200000001
615,99848.59
616,41607.9164
617,1068687.8
618,2.75980845
619,0.0
620,0.0
621,30.536143000000003
622,41.2046528
623,398307.648
624,178324.55199999997
625,52.539318
626,544.4768
627,0.0
628,32.76082733333333
629,368536.6479999999
630,1.54271155
631,25.299016
