ID,D6N
958,14.33333333
959,1
960,1
961,11.83333333
962,10.16666667
963,2.333333333
964,2
965,10.5
966,8.166666667
967,1
968,12.83333333
969,11.66666667
970,1
971,0
972,1
973,9.666666667
974,6.833333333
975,1
976,2.666666667
977,1
978,1
979,8
980,12
981,2
982,17.33333333
983,15.83333333
984,8.833333333
985,1
986,1.833333333
987,8.5
988,0
989,2
990,6
991,4.833333333
992,9.333333333
993,1
994,6.333333333
995,7.166666667
996,4.166666667
997,0
998,20.5
999,1
1000,1
1001,1
1002,1.833333333
1003,1
1004,2
1005,1.333333333
1006,1
1007,23.33333333
1008,10.83333333
1009,0
1010,0
1011,0
1012,1
1013,6.5
1014,5.333333333
1015,1.666666667
1016,8
1017,2.666666667
1018,1
1019,1.25
1020,7.5
1021,3
1022,1
1023,1
1024,3
1025,8.166666667
1026,5
1027,16
1028,1
1029,10.5
1030,2
1031,4
1032,0
1033,1
1034,2
1035,2
1036,1
1037,1
1038,1.166666667
1039,1
1040,8.666666667
1041,2
1042,8.8
1043,0
1044,7.666666667
1045,3
1046,14.5
1047,2.833333333
1048,1
1049,1
1050,3.833333333
1051,3.833333333
1052,9.333333333
1053,8.5
1054,2
1055,22.33333333
1056,2
1057,1.8
1058,1.833333333
1059,1.333333333
1060,2.75
1061,1
1062,30.16666667
1063,1.833333333
1064,2.666666667
1065,1.4
1066,0
1067,3
1068,1
1069,5.833333333
1070,1.833333333
1071,1
1072,19
1073,1.5
1074,0
1075,28
1076,1.666666667
1077,0
1078,10
1079,10.5
1080,2.5
1081,1.4
1082,0
1083,0
1084,0
1085,4
1086,1
1087,1.833333333
1088,1
1089,2
1090,3.333333333
1091,1
1092,2
1093,3.833333333
1094,5
1095,13.16666667
1096,1.5
1097,3.5
1098,0
1099,1
1100,1.833333333
1101,3.833333333
1102,3
1103,14
1104,1
1105,1.6
1106,0
1107,8.833333333
1108,1
1109,0
1110,4.5
1111,1
1112,1
1113,1
1114,0
1115,9.666666667
1116,1.666666667
1117,1
1118,6.666666667
1119,6
1120,7.833333333
1121,0
1122,22.5
1123,2
1124,51
1125,3.833333333
1126,4
1127,5.166666667
1128,33.5
1129,6.8
1130,0
1131,9
1132,1.833333333
1133,1
1134,1
1135,10.66666667
1136,1.833333333
1137,1
1138,2.333333333
1139,1.666666667
1140,4.5
1141,2
1142,1.6
1143,1
1144,27.83333333
1145,2
1146,14.83333333
1147,4.666666667
1148,1
1149,8.333333333
1150,2
1151,2.5
1152,3.5
1153,5.75
1154,1
1155,9.666666667
1156,2
1157,1
1158,8
1159,1
1160,1
1161,7.333333333
1162,1.666666667
1163,7.166666667
1164,1
1165,1
1166,1
1167,8.833333333
1168,1.75
1169,1
1170,1
1171,31.83333333
1172,7.166666667
1173,0
1174,1.5
1175,4.5
1176,0
1177,4
1178,10.33333333
1179,1.833333333
1180,4.833333333
1181,3.833333333
1182,1.6
1183,2
1184,1.333333333
1185,1
1186,1.833333333
1187,2.5
1188,9.333333333
1189,8.5
1190,2
1191,11.5
1192,2
1193,14
1194,0
1195,2.166666667
1196,15
1197,1
1198,1
1199,6.666666667
1200,5.166666667
1201,0
1202,6.666666667
1203,6.166666667
1204,5.666666667
1205,0
1206,14
1207,0
1208,3
1209,9.833333333
1210,0
1211,1
1212,10
1213,3
1214,0
1215,2
1216,3.333333333
1217,9.333333333
1218,4.166666667
1219,1
1220,11.83333333
1221,0
1222,0
1223,0
1224,0
1225,2.666666667
1226,1
1227,1
1228,1.5
1229,1
1230,19.83333333
1231,1.666666667
1232,1
1233,1.666666667
1234,2.166666667
1235,0
1236,0
1237,1
1238,5
1239,0
1240,1
1241,0
1242,1
1243,1
1244,1
1245,0
1246,4
1247,2
1248,1.333333333
1249,5.166666667
1250,0
1251,1
1252,0
1253,0
1254,0
1255,5.666666667
1256,17.5
1257,1.333333333
1258,11
1259,2
1260,2.833333333
1261,1
1262,0
1263,2
1264,0
1265,1.166666667
1266,5
1267,0
1268,4.666666667
1269,6
1270,14.83333333
1271,1
1272,9
1273,5
1274,5.166666667
1275,10.66666667
1276,1
1277,1
1278,2
1279,1
1280,6
1281,2
1282,0
1283,4
1284,1.166666667
1285,0
1286,13.5
1287,1.833333333
1288,5
1289,3.166666667
1290,9.166666667
1291,1
1292,1
1293,1
1294,0
1295,4.666666667
1296,5
1297,24.5
1298,3
1299,1
1300,3.166666667
1301,5
1302,0
1303,0
1304,0
1305,0
1306,1
1307,0
1308,0
1309,0
1310,2
1311,0
1312,0
1313,4.333333333
1314,15.6
1315,3
1316,2.166666667
1317,6.666666667
1318,8
1319,1
1320,0
1321,12
1322,5
1323,1
1324,1.25
1325,2.5
1326,1.833333333
1327,4
1328,0
1329,3
1330,4.75
1331,9
1332,75.5
1333,3
1334,14.66666667
1335,4.5
1336,2.5
1337,2.333333333
1338,15.33333333
1339,0
1340,11
1341,15
1342,5.166666667
1343,1
1344,4.2
1345,1
1346,3
1347,8.166666667
1348,4.833333333
1349,14
1350,1
1351,4
1352,10.66666667
1353,1.25
1354,0
1355,1
1356,6
1357,1
1358,5.25
1359,0
1360,1.833333333
1361,1.5
1362,1
1363,5
1364,1.833333333
1365,1
1366,2
1367,4.166666667
1368,2.333333333
1369,0
1370,4.333333333
1371,1.5
1372,1
1373,7.333333333
1374,0
1375,0
1376,9
1377,2
1378,6.833333333
1379,1
1380,3.333333333
1381,5
1382,2.25
1383,42.5
1384,35.66666667
1385,2.333333333
1386,2.166666667
1387,3
1388,0
1389,1
1390,1
1391,1.666666667
1392,2
1393,0
1394,3
1395,6.833333333
1396,0
1397,8.333333333
1398,1
1399,1
1400,2.666666667
1401,6.666666667
1402,1
1403,4
1404,2.666666667
1405,7
1406,1.333333333
1407,7.5
1408,0
1409,22.4
1410,6
1411,29.66666667
1412,3.333333333
1413,22.83333333
1414,4.166666667
1415,1.333333333
1416,0
1417,45.16666667
1418,2
1419,4
1420,0
1421,4.6
1422,3
1423,1
1424,35
1425,19.83333333
1426,4
1427,1
1428,12.5
1429,2.6
1430,4.666666667
1431,69.83333333
1432,5.833333333
1433,0
1434,0
1435,1
1436,3.666666667
1437,1.666666667
1438,1
1439,2.666666667
1440,0
1441,24.33333333
1442,1.8
1443,19.66666667
1444,6.166666667
1445,1
1446,2
1447,1
1448,2
1449,2
1450,10.5
1451,0
1452,8.666666667
1453,5
1454,1
1455,0
1456,0
1457,23.16666667
1458,5
1459,0
1460,9.166666667
1461,38.4
1462,1.833333333
1463,10.16666667
1464,1
1465,1
1466,1
1467,30.83333333
1468,25.5
1469,20.83333333
1470,3
1471,0
1472,1
1473,0
1474,10
1475,14.33333333
1476,1
1477,1
1478,1
1479,0
1480,1
1481,1
1482,1
1483,0
1484,1
1485,3.666666667
1486,0
1487,2
1488,2
1489,4
1490,0
1491,19.16666667
1492,8.166666667
1493,1.333333333
1494,0
1495,1.666666667
1496,1.833333333
1497,4.333333333
1498,0
1499,1
1500,15.16666667
1501,2
1502,29.5
1503,0
1504,2.833333333
1505,2.833333333
1506,4
1507,3.5
1508,6.333333333
1509,3
1510,5.666666667
1511,1.166666667
1512,1
1513,4.5
1514,1
1515,1
1516,3.333333333
1517,0
1518,1
1519,1.5
1520,46
1521,13
1522,57
1523,5.166666667
1524,4.5
1525,0
1526,1
1527,5.666666667
1528,2.333333333
1529,5
1530,5.5
1531,1.166666667
1532,1
1533,1
1534,1
1535,1.666666667
1536,1
1537,1
1538,0
1539,0
1540,0
1541,0
1542,0
1543,1
1544,0
1545,0
1546,0
1547,3.6
1548,10.33333333
1549,5
1550,10.25
1551,1
1552,0
1553,7
1554,3.4
1555,5
1556,0
1557,1
1558,4.666666667
1559,2
1560,7.5
1561,3.25
1562,0
1563,1
1564,2.333333333
1565,17.83333333
1566,2
1567,45
1568,1.5
1569,4.666666667
1570,74.83333333
1571,1
1572,8
1573,8
1574,1
1575,1
1576,8.833333333
1577,5.166666667
1578,12
1579,1
1580,1.833333333
1581,11.33333333
1582,2
1583,1.666666667
1584,0
1585,1
1586,3
1587,2
1588,0
1589,6
1590,7.833333333
1591,14.16666667
1592,32
1593,1.166666667
1594,1.666666667
1595,1
1596,1
1597,12
1598,20.66666667
1599,2
1600,2
1601,8
1602,0
1603,1
1604,0
1605,0
1606,1
1607,1.6
1608,1
1609,4.5
1610,1
1611,1
1612,23.16666667
1613,0
1614,2.166666667
1615,4.5
1616,0
1617,1
1618,5.833333333
1619,3
1620,2
1621,1
1622,0
1623,2
1624,1
1625,9
1626,1
1627,0
1628,0
1629,1
1630,1
1631,5.666666667
1632,1.666666667
1633,14.83333333
1634,1
1635,0
1636,18.33333333
1637,17.83333333
1638,1
1639,18
1640,1
1641,2.833333333
1642,3
1643,2
1644,2
1645,7.666666667
1646,1
1647,9.5
1648,10.33333333
1649,5
1650,1
1651,1
1652,0
1653,6.5
1654,0
1655,1
1656,29
1657,2.666666667
1658,0
1659,1
1660,1
1661,4.833333333
1662,1
1663,0
1664,2
1665,5.666666667
1666,1
1667,2.833333333
1668,1.333333333
1669,5
1670,2.833333333
1671,7.833333333
1672,1.333333333
1673,15.83333333
1674,1.166666667
1675,2
1676,5.166666667
1677,1
1678,6
1679,1.666666667
1680,8.833333333
1681,14.16666667
1682,1
1683,14.66666667
1684,5.6
1685,3.5
1686,1
1687,14.83333333
1688,22.5
1689,1.166666667
1690,1
1691,10.83333333
1692,8
1693,1
