ID,I6N
154,1.725856967
155,0
156,2.33993326
157,0
158,2.103708667
159,1.639956383
160,1.465619117
161,0
162,2.3081114
163,3.221371633
164,1.639956333
165,2.320630167
166,2.1254344
167,1.465619067
168,1.28549145
169,1.9033946
170,2.77406706
171,1.639956333
172,1.2880718
173,1.2880718
174,1.28549145
175,3.267564667
176,1.289658
177,0
178,1.6502079
179,1.8881915
180,2.845890567
181,2.630055467
182,2.94671595
183,2.647952967
184,0
185,1.2880718
186,0
187,0
188,1.5657251
189,1.667133017
190,1.2880718
191,1.28659084
192,0
193,0
194,0
195,2.2484833
196,0
197,0
198,0
199,1.770011033
200,0
201,3.2915672
202,2.988915217
203,3.217482217
204,3.467725283
205,1.50295788
206,1.69445086
207,1.567251133
208,2.39068616
209,2.00026175
210,1.957857817
211,0
212,0
213,1.857018433
214,1.282907933
215,2.8202203
216,1.3457739
217,1.636680925
218,2.471142867
219,1.2880718
220,0
221,1.404706967
222,0
223,2.124292733
224,2.136210517
225,1.2848994
226,2.490733167
227,1.28549145
228,0
229,1.282907933
230,0
231,3.185415567
232,0
233,2.016601467
234,2.39431635
235,0
236,2.74317425
237,2.520547617
238,2.446594283
239,1.2880718
240,1.375175025
241,2.1169801
242,0
243,0
244,1.2880718
245,3.0440545
246,1.2880718
247,0
248,1.99778445
249,1.28549145
250,1.2880718
251,1.682360267
252,0
253,2.967587517
254,1.639956333
255,3.048887417
256,1.81198165
257,2.016104717
258,2.78709788
259,2.098719483
260,0
261,2.743870567
262,2.80940095
263,0
264,1.293235667
265,0
266,2.124693383
267,2.098623833
268,1.2880718
269,2.42030965
270,1.2880718
271,1.639956467
272,2.3671378
273,1.2880718
274,1.2932325
275,2.758608117
276,2.81162785
277,0
278,3.3277781
279,2.549444683
280,2.898268283
281,3.234249
282,1.2880718
283,2.933250367
284,0
285,2.528844567
286,1.28703776
287,2.42585765
288,1.28990116
289,0
290,0
291,0
292,2.440025383
293,0
294,1.64292008
295,1.2954766
296,2.4904501
297,1.2880718
298,2.0146143
299,2.698340733
300,3.38945574
301,1.933217533
302,1.639956333
303,2.812246733
304,1.812190817
305,1.75911975
306,2.550205217
307,0
308,2.884733267
309,2.454694167
310,2.098623833
311,1.812190817
312,0
313,1.813521783
314,1.50295788
315,2.98324086
316,2.7644504
317,1.639956333
318,1.81198165
319,1.2880718
320,0
321,1.2880718
322,3.04482045
323,2.697808567
324,2.225076867
325,1.899422367
326,0
327,1.523321167
328,3.2493077
329,3.533280983
330,1.463048533
331,0
332,1.28990116
333,0
334,1.56971478
335,1.462409067
336,0
337,1.897165075
338,2.031397733
339,2.577742783
340,1.582254233
341,1.4966932
342,1.289658
343,3.006225533
344,1.991175933
345,1.289658
346,1.2880718
347,1.64253205
348,1.582254233
349,1.2860501
350,2.3888241
351,1.639956333
352,0
353,1.666908867
354,1.639956333
355,2.00026175
356,1.2880718
357,1.639956333
358,2.800975667
359,1.2880718
360,2.513569883
361,3.26876992
362,1.64101472
363,3.250484517
364,1.639956333
365,3.406328033
366,1.77111785
367,2.0802219
368,1.71483165
369,1.2880718
370,2.51538705
371,1.95579145
