ID,E6N
154,0.002187157
155,0
156,0.009808513
157,0
158,0.005719479
159,0.000329
160,8.39E-05
161,0
162,0.002256646
163,0.03590575
164,0.000292
165,0.007347224
166,0.004098472
167,0.0003155
168,0.001309406
169,0.004034604
170,0.007809564
171,0.005155297
172,0.001343855
173,0.000403667
174,0.00018775
175,0.07493664
176,1.29E-05
177,0
178,0.002353835
179,0.001667275
180,0.009534721
181,0.014192815
182,0.024132768
183,0.007370522
184,0
185,0.001271326
186,0
187,0
188,0.004341074
189,0.004449637
190,0.000584333
191,0.0001902
192,0
193,0
194,0
195,0.005280515
196,0
197,0
198,0
199,0.003360541
200,0
201,0.049569314
202,0.027091253
203,0.052018291
204,0.133789143
205,0.000155484
206,0.0001384
207,0.001070844
208,0.009968071
209,0.003498214
210,0.002642498
211,0
212,0
213,0.003127612
214,0.005550774
215,0.001963878
216,5.26E-05
217,0.008778025
218,0.022292818
219,0.002025087
220,0
221,0.000568394
222,0
223,0.002027776
224,0.0074787
225,0.001940553
226,0.006342511
227,0.0007405
228,0
229,0.0020624
230,0
231,0.038683333
232,0
233,0.002290445
234,0.003074049
235,0
236,0.013598868
237,0.008616067
238,0.00150135
239,0.000699167
240,0.00032375
241,0.002643978
242,0
243,0
244,6.70E-05
245,0.018927261
246,0.0001223
247,0
248,0.004520625
249,0.001295777
250,0.002943346
251,0.000166367
252,0
253,0.01768307
254,0.00442795
255,0.012145262
256,0.0096297
257,0.007821784
258,0.008306802
259,0.01031557
260,0
261,0.006492216
262,0.008482598
263,0
264,0.000402
265,0
266,0.000393
267,0.001997033
268,0.00096651
269,0.011157783
270,7.39E-05
271,0.000894495
272,0.020913407
273,0.00509229
274,0
275,0.01125071
276,0.00754127
277,0
278,0.005213252
279,0.002179032
280,0.034176062
281,0.019781878
282,0.004840814
283,0.00463006
284,0
285,0.009031292
286,0.001768102
287,0.005905903
288,0.000419
289,0
290,0
291,0
292,0.008173586
293,0
294,0.003758271
295,8.16E-05
296,0.000474
297,0.001003267
298,0.004061927
299,0.017511336
300,0.098951143
301,0.001186629
302,0.003566638
303,0.017353706
304,0.0004255
305,0.007145654
306,0.009152348
307,0
308,0.016737101
309,0.007850483
310,0.013612129
311,0.008019664
312,0
313,0.002374338
314,0.000151864
315,0.064523743
316,0.017086888
317,0.003468058
318,0.003439984
319,0.000124733
320,0
321,0.003975261
322,0.018026813
323,0.007700241
324,0.003492229
325,0.000790651
326,0
327,3.82E-05
328,0.005009651
329,0.13060364
330,0.002615035
331,0
332,4.35E-05
333,0
334,0.002085966
335,0
336,0
337,0.005125492
338,0.002232671
339,0.007149424
340,0.000576667
341,0.0003642
342,0.003661209
343,0.006184181
344,0.009880735
345,0.005998491
346,7.05E-05
347,0.002028661
348,0.001263819
349,0.003292951
350,0.001946479
351,0.002513568
352,0
353,0.002006636
354,0.002524427
355,0.001969022
356,0.000642167
357,0.005009845
358,0.011432822
359,4.48E-07
360,0.003837312
361,0.04984888
362,0.001247888
363,0.04147726
364,0.000800456
365,0.052785599
366,0.001278035
367,0.00113014
368,0.002794772
369,0
370,0.011722866
371,0.000391167
372,0.001878529
373,0.0009162
374,0.004065601
375,0
376,0
377,0
378,0.001343855
379,0.002499516
380,0.026951765
381,0.000613
382,0.000745667
383,0.00060915
384,0.005267616
385,0
386,0.010266989
387,0.004013538
388,0
389,0.006929052
390,0.004548759
391,0.000405567
392,0.001418521
393,0.002363926
394,0.000481833
395,0.012635439
396,0.001838897
397,0.001895559
398,0.000304
399,0
400,0.007520104
401,0.00100571
402,0
403,0.003637169
404,0.001005921
405,0.0006508
406,0.006944556
407,3.42E-05
408,0.059628299
409,0
410,0.00322143
411,0.004415847
412,0.003120616
413,0.010185696
414,0.018858909
415,0.002285114
416,0.001236642
417,0
418,0.001677364
419,0.013417694
420,0.000135
421,0
422,0
423,0.004155398
424,0
425,0
426,0.004823338
427,0
428,0.009485483
429,0
430,0.010682585
431,0.002211949
432,0.029343718
433,0.020646784
434,5.02E-05
435,9.71E-05
436,0.003452855
437,0.007091761
438,0
439,0.005403465
440,0
441,0.002581551
442,0.001447277
443,0.000129767
444,0
445,0.003017214
446,0.005115567
447,0.005829986
448,0.004040466
449,0.000487667
450,0.002934346
451,0.00054123
452,0.000477992
453,0.000627
454,0
455,7.68E-05
456,0.002211949
457,0.000655505
458,0.000163
459,0.005077389
460,5.29E-05
461,0.018966266
462,0.00102465
463,0.004988443
464,0.015287429
465,0.017462015
466,0.001026895
467,0.002039921
468,0.052578262
469,0
470,0
471,0.001364023
472,0.009174199
473,0.003891417
474,0.006493902
475,0.027469015
476,0.016306012
477,0.001819164
478,0
479,0.018448554
480,0.015946355
481,0.001008675
482,0.009918835
483,0
484,0
485,0.043691074
486,0.0003646
487,0.008456188
488,0
489,0.001309406
490,0.011319616
491,0.000627667
492,0.007610644
493,0.001640335
494,0.004876413
495,0.000531
496,0.00299124
497,0.009275958
498,0.003090211
499,0.024454112
500,0.000637198
501,0.00034625
502,0.000427667
503,0
504,0.046974493
505,0.002618415
506,0.005520099
507,0.038196871
508,0
509,0
510,0
511,0
512,0.011236678
513,0.016296909
514,1.56E-05
515,0
516,2.10E-05
517,0.001010347
518,0.001931566
519,0.022925402
520,0
521,0.0001999
522,0
523,0.005323405
524,5.91E-05
525,0.000128978
526,0.003301437
527,0.001372722
528,0.007168241
529,7.74E-05
530,0.001069173
531,0.003995992
532,0.001477888
533,0.001310147
534,0.000902403
535,0.011867288
536,0.001630187
537,0.004777211
538,0.010650711
539,0.000276175
540,0.0004882
541,0.001269008
542,0
543,0
544,0.00432506
545,0.005824916
546,0.005049159
547,0
548,0
549,8.57E-05
550,0.003017128
551,0.002327428
552,0.001117646
553,0.004315659
554,0.002283677
555,0.058515594
556,0
557,9.60E-05
558,0.000769705
559,0.002035217
560,0.006738306
561,0.009888631
562,0.000311667
563,0.000394167
564,8.16E-05
565,0.014497407
566,0.005881006
567,0.000118117
568,0.009946088
569,0.015357289
570,0.008972033
571,0.008543364
572,0.004300149
573,0.003250037
574,0.013451534
575,0.004572767
576,0.007702017
577,0.056502896
578,0.0005224
579,0.004332752
580,0.012689545
581,0.006590723
582,0.005144028
583,0.001415974
584,6.98E-05
585,0.000930043
586,0.004085438
587,0.004290287
588,0.003233321
589,3.04E-06
590,0.000138177
591,0
592,0.001223217
593,0.01060148
594,0.00313822
595,0
596,0.019883889
597,0.007852642
598,0.006173755
599,0.003717102
600,0.000284667
601,0.000229673
602,0.012043319
603,0.062340126
604,0.004017823
605,0.000802719
606,0.04704405
607,0.010257659
608,0
609,0
610,0.000269
611,0.000268
612,0.000464
613,0.000439
614,0.002947062
615,0.024494359
616,0.042947289
617,0.014704134
618,0.04915631
619,0.000102317
620,0
621,0
622,0.000951777
623,0.000554
624,0.038653411
625,0.037707176
626,0.001213811
627,0.001430414
628,0.000158
629,0.001492259
630,0.064204025
631,0
632,0.0004384
633,0.017741566
634,0.008141251
635,0.005516983
636,0.000559476
637,0.028448134
638,0.001675006
639,0.000184667
640,0.05197081
641,0.029541258
642,0
643,0.000777575
644,0.003175785
645,0.002462024
646,0.009685975
647,0
648,0
649,0.001790552
650,0.005814444
651,0.000740584
652,0.005152961
653,0.001942574
654,0.003653388
655,0
656,0.004917894
657,0.000573
