p6n,w6n
0.658870585,1.813798263
0.521497458,1.038386737
0,-0.017429844
0,0.119078572
0.682581275,3.375600531
0.323155889,0.785747478
0,0.145346851
0,0.007528894
0,0.068286317
0,0.091743965
0,-0.115737916
0.72934181,1.690214862
0,0.250398645
0,0
0,-0.029868155
0,0.548939444
0.023087349,0.915052407
0,0.018880328
0,0.178146341
0.430851439,2.368901382
0,-0.003038209
0.121506584,0.57291632
0.333638655,4.950972147
0,0.377339932
1.904352,7.805085516
0,0.172925756
0.885122193,6.817194427
0,0.186112188
1.669645362,2.440246637
0,0.285828879
0,0.182735216
0,0.657342367
0,0.361014148
0.807192699,0.96708588
0,0.097564418
-0.083666529,0.08482818
