p,t1,t2,t3,t4,t5,t6,t7,t8
DIP-35966N,0.008194335,0.001891295,0.000956685,0.003878104,0.006845791,0.001409385,0.001068374,0.001792705
DIP-35968N,0.013393262,0.00385094,0.001171804,0.006431846,0.020969701,0.004980879,0.003186959,0.003607983
DIP-35970N,0.013393262,0.00385094,0.001171804,0.006431846,0.020969701,0.004980879,0.003186959,0.003607983
DIP-35972N,0.013393262,0.00385094,0.001171804,0.006431846,0.020969701,0.004980879,0.003186959,0.003607983
DIP-35976N,0.013393262,0.00385094,0.001171804,0.006431846,0.020969701,0.004980879,0.003186959,0.003607983
DIP-35977N,0.14035851,0.076339051,0.021150555,0.038314259,0.172309561,0.097498901,0.057659065,0.035240849
DIP-35978N,0.015847181,0.007164452,0.005166465,0.022685146,0.022809776,0.011846202,0.014272405,0.021240634
DIP-35980N,0.019650129,0.003255463,0.002774297,0.006107539,0.020755324,0.004944033,0.006199773,0.005229506
DIP-35981N,0.005574527,0.000892279,0.000569564,0.002536101,0.006767186,0.001543612,0.00069658,0.00109481
DIP-35982N,0.001696459,0.001549551,0.000662146,0.005758809,0.001057596,0.0016581,0.000825853,0.002413473
DIP-35983N,0.013393262,0.00385094,0.001171804,0.006431846,0.020969701,0.004980879,0.003186959,0.003607983
DIP-35984N,0.023597057,0.006927572,0.004696745,0.011609888,0.033796627,0.010464452,0.009447629,0.009222177
DIP-35985N,0.043838755,0.00751275,0.007657568,0.017269641,0.034546949,0.015009751,0.017102528,0.009240988
DIP-35989N,0.00051645,0.000312719,0.0003313,0.000352802,0.003208518,0.000336884,0.000322649,0.000518248
DIP-35992N,0.03525317,0.00811759,0.00445712,0.009178271,0.038891668,0.013675376,0.010816216,0.009737603
DIP-35993N,0.020182228,0.008686851,0.001990977,0.005282526,0.022327426,0.01609936,0.005495715,0.003450909
DIP-35994N,0.174873,0.034610707,0.006277908,0.024105851,0.213745177,0.041182725,0.013847193,0.018413315
DIP-35995N,0.05307225,0.015299831,0.005721959,0.013623571,0.061394169,0.018146981,0.016467914,0.011819059
DIP-359N,0,0,0,0,0,0,0,0
DIP-36005N,0.001017249,0.000934412,0.000495588,0.003040879,0.000786051,0.000696139,0.000589742,0.001090107
DIP-36009N,0.013393262,0.00385094,0.001171804,0.006431846,0.020969701,0.004980879,0.003186959,0.003607983
DIP-36011N,0.026282595,0.007337665,0.002805612,0.008096798,0.021705731,0.008702392,0.008563016,0.004758286
DIP-36012N,0.00072303,0.001490566,0.000174273,0.005241818,0.000889667,0.000300037,0.000292734,0.000549286
DIP-36014N,0.041873116,0.015232419,0.010660145,0.064380874,0.016753609,0.015895387,0.027545881,0.054711352
DIP-36015N,0.021174438,0.004175831,0.002764767,0.008256916,0.013620123,0.006860059,0.007997846,0.006207687
DIP-36017N,0.03540967,0.00935255,0.010990083,0.025716527,0.033875232,0.022110629,0.032608905,0.02295057
DIP-36018N,0.008717045,0.002802301,0.001278909,0.005735741,0.007135201,0.003510961,0.003092942,0.002531984
DIP-36019N,0.010441674,0.004921113,0.00227054,0.008327476,0.011233386,0.006492908,0.004681614,0.004826947
DIP-36020N,0.010613824,0.002370673,0.001917455,0.008772549,0.008432185,0.004274213,0.004651699,0.0035365
DIP-36021N,0.004701257,0.005283456,0.004207056,0.006931196,0.003705159,0.004737428,0.011586514,0.003665357
DIP-36022N,0.002607289,0.002822899,0.001592963,0.010140334,0.006477776,0.00138833,0.00365277,0.003951287
DIP-36024N,0.002607289,0.002822899,0.001592963,0.010140334,0.006477776,0.00138833,0.00365277,0.003951287
DIP-36026N,0.008773385,0.004820931,0.001338815,0.005419576,0.008821638,0.004029446,0.002569439,0.003688871
DIP-36027N,0.01785664,0.007583908,0.00315325,0.011820212,0.02796913,0.010960566,0.008721135,0.006642225
DIP-36030N,0.005655907,0.002147838,0.001130051,0.002916041,0.006620695,0.002442407,0.003038455,0.002650494
DIP-36031N,0.001007859,0.000893216,0.000489689,0.001590321,0.001386308,0.000788255,0.001141023,0.001320544
DIP-36033N,0.004403907,0.002071998,0.001319754,0.005239105,0.003551522,0.002401613,0.002520294,0.003784808
DIP-36034N,0.00051019,0.00039324,0.00029817,0.001491265,0.000903959,0.000315829,0.000508546,0.000664034
DIP-36035N,0.003286498,0.002068253,0.001056075,0.006954263,0.00640989,0.001638361,0.001521364,0.004846698
DIP-36036N,0,0,0,0,0,0,0,0
DIP-36037N,0.002093969,0.001736808,0.000928094,0.004802173,0.003451479,0.001938398,0.002276705,0.003226116
DIP-36038N,0.015083461,0.002389399,0.000240533,0.002183299,0.016607117,0.004601885,0.001178416,0.00074022
DIP-36039N,0.013524722,0.002971768,0.001826688,0.007250074,0.015031442,0.005909941,0.003037387,0.004992485
DIP-36040N,0.00020658,0.000811759,0.000478343,0.00287669,0.001096899,0.000284246,0.000496794,0.001149363
DIP-36041N,0.008954925,0.002963342,0.001193134,0.004908014,0.015260111,0.004924293,0.003816231,0.00348477
DIP-36044N,0.013108433,0.005047512,0.003894817,0.012200153,0.016632128,0.009394583,0.009749979,0.007086168
DIP-36047N,0.113884985,0.047292685,0.017803517,0.033984298,0.126254109,0.072012854,0.054068261,0.026508703
DIP-36048N,0.004253668,0.00446327,0.003932032,0.003682706,0.008732314,0.003093804,0.011764932,0.003846885
DIP-36049N,0.003155038,0.000701277,0.000312239,0.003176572,0.00133986,0.001031707,0.001613244,0.001822803
DIP-360N,0.001574389,0.001008379,0.002133027,0.003902529,0.001411319,0.001011967,0.008432674,0.000712943
DIP-36163N,0.047388173,0.013878551,0.008085989,0.019739252,0.057799771,0.021985614,0.022940122,0.014536333
DIP-36164N,0.039184448,0.013822374,0.004966777,0.022911753,0.090799628,0.021671101,0.011036301,0.019485552
DIP-36165N,0.00016902,0.000179767,0.000216933,0.000458642,0.000196513,2.90E-05,0.00025641,2.16E-05
DIP-36166N,0.03506224,0.013786795,0.01080991,0.022903612,0.027468915,0.020723616,0.016972186,0.026273563
DIP-36167N,0.022548507,0.006149519,0.004723975,0.009710187,0.022234529,0.009616979,0.011035233,0.008834667
DIP-36168N,0.005605827,0.002133793,0.000938532,0.007543171,0.005666714,0.002081836,0.002001064,0.00063958
DIP-36169N,0.006532306,0.00294368,0.001288893,0.004312322,0.019801343,0.003563599,0.00281196,0.002915732
DIP-36170N,0.001298949,0.007694389,0.018275053,0.012022395,0.001700729,0.009840691,0.039577907,0.010314165
DIP-36176N,0.008864155,0.003772292,0.0023368,0.008486237,0.012834072,0.003593866,0.003590804,0.004138458
DIP-36178N,0.090672918,0.018753786,0.006414513,0.047867043,0.197523939,0.036834819,0.0104722,0.039926712
DIP-36179N,0.005083117,0.001503674,0.001190865,0.003207781,0.005223667,0.000883004,0.000695511,0.001568852
DIP-36180N,0.002607289,0.002822899,0.001592963,0.010140334,0.006477776,0.00138833,0.00365277,0.003951287
DIP-36181N,0.018999089,0.010166181,0.004380875,0.012315492,0.029158925,0.010411814,0.012292709,0.006772022
DIP-36182N,0.008864155,0.003772292,0.0023368,0.008486237,0.012834072,0.003593866,0.003590804,0.004138458
DIP-36183N,0.03442372,0.010815027,0.000429328,0.00079109,0.003587252,0.008847147,0.00049252,0.000625471
DIP-36184N,0.003133128,0.001705911,0.000762444,0.004859164,0.000560955,0.000813258,0.000509614,0.000575622
DIP-36185N,0.012325933,0.00496231,0.002573248,0.007685648,0.013748749,0.007191679,0.008348273,0.003427395
DIP-36187N,0.013959792,0.005315289,0.002713483,0.007735855,0.02260969,0.007931244,0.005998919,0.00508466
DIP-36192N,0.043178325,0.004579369,0.006368221,0.018309049,0.058793054,0.009382739,0.015042703,0.012142611
DIP-36195N,0.016373021,0.013300863,0.010260769,0.010947707,0.017160926,0.016474406,0.023638838,0.009114013
DIP-36196N,0.005993947,0.001524272,0.001298878,0.005194326,0.007867658,0.002766132,0.003032045,0.002718214
DIP-36197N,0.0007825,0.000247179,0.000280924,0.001476339,0.000961126,0.000463215,0.001016023,0.000742101
DIP-36198N,0.102235132,0.001673141,0.001155919,0.006484766,0.226772188,0.002056833,0.001934825,0.003143347
DIP-36200N,0.021146268,0.002855669,0.001696438,0.005737098,0.02344219,0.004728216,0.00220726,0.005110995
