,B4N
457,0.0
458,1594.9093500000001
459,0.0
460,20453.16475
461,0.0
462,850.6054100000001
463,15164.485375
464,110883.884
465,9524.01125
466,0.0
467,85375.85533333333
468,0.0
469,0.0
470,1238.617575
471,862.9891499999999
472,13504.878
473,19070.739125
474,250414.4775
475,11428.24625
476,2386.0616
477,0.0
478,13276.220250000002
479,82672.69
480,0.0
481,0.0
482,0.0
483,0.0
484,23783.511750000005
485,0.0
486,31772.29375
487,0.0
488,0.0
489,6107.803449999999
490,0.0
491,1236.30025
492,2152.8598250000005
493,278.82155
494,0.0
495,1342.331725
496,6897.8063
497,22885.3425
498,2312.469525
499,8594.403624999999
500,8125.5
501,0.0
502,0.0
503,25951.10325
504,1937.8195249999999
505,28598.55275
506,31125.529749999998
507,0.0
508,0.0
509,0.0
510,0.0
511,9564.813
512,5722.846549999999
513,0.0
514,0.0
515,0.0
516,7736.304925
517,2033.526875
518,15785.911000000002
519,0.0
520,2538.0113499999998
521,0.0
522,13015.935
523,0.0
524,8125.5
525,6850.9406
526,7379.814350000001
527,2732.293775
528,8125.5
529,0.0
530,19479.590666666667
531,0.0
532,1637.77745
533,0.0
534,10689.56025
535,3379.891175
536,27361.928
537,4057.9625
538,0.0
539,58.616825
540,1867.981225
541,0.0
542,0.0
543,8524.713125
544,2101.5827999999997
545,1821.98855
546,0.0
547,0.0
548,7013.2217
549,734.0489024999999
550,0.0
551,2477.0264475000004
552,299.827695
553,0.0
554,90437.3425
555,0.0
556,0.0
557,18884.390900000002
558,975.0547009999999
559,1002.765015
560,7970.76915
561,231.65983
562,815.2014499999999
563,0.0
564,1058.0602145
565,13174.5458825
566,0.0
567,4238.82015
568,47525.655999999995
569,18049.94475
570,2151.841725
571,2416.622425
572,5817.42655
573,20079.988250000002
574,3282.977825
575,1065.297035
576,69554.556
577,0.0
578,2051.923575
579,16332.847999999998
580,2597.4949500000002
581,11873.21875
582,9362.22575
583,0.0
584,3648.4092
585,14752.930499999999
586,2379.545525
587,8275.864375000001
588,0.0
589,6154.4520545000005
590,0.0
591,10731.55775
592,31626.94025
593,2398.40035
594,0.0
595,42097.772
596,16681.2575
597,1353.3446325
598,303.4585406
599,0.0
600,10491.05025
601,26176.878500000003
602,26954.545749999997
603,7128.21855
604,0.0
605,166728.23750000002
606,3247.29135
607,0.0
608,0.0
609,0.0
610,0.0
611,606.58444
612,0.0
613,0.0
614,93910.86125
615,34940.222
616,45932.97075
617,344.2439425
618,223.4881825
619,0.0
620,0.0
621,148.05748
622,1376.6670000000001
623,64335.693999999996
624,110451.1945
625,5009.4261
626,0.0
627,0.0
628,973.466375
629,196296.66
630,6.0
631,0.0
632,2667.21855
633,4444.928875
634,11303.604575000001
635,1012.3625525
636,23658.15625
637,2540.520425
638,0.0
639,95237.915
640,5342.39185
641,0.0
642,0.0
643,472.050835
644,964.2440949999999
645,60772.56175
646,0.0
647,0.0
648,0.0
649,8869.9
650,17103.771
651,452.09891666666664
652,0.0
653,13332.533000000001
654,0.0
655,13638.780625
656,275.6360825
657,0.0
658,0.0
659,9121.27175
660,14298.61075
661,0.0
662,0.0
663,0.0
664,0.0
665,13647.890500000001
666,401.41106
667,13134.25475
668,0.0
669,0.0
670,0.0
671,0.0
672,2459.8293249999997
673,0.0
674,0.0
675,988.77545
676,6269.777875000001
677,97.5583005
