,E4N
387,0.0
388,0.00747914
389,0.0051567802499999996
390,0.0003789
391,0.0012631876666666668
392,0.00346952325
393,0.000623
394,0.016200729749999997
395,0.0020011952499999998
396,0.00260019275
397,0.00027025
398,0.0
399,0.009621679
400,0.0012653965
401,0.0
402,0.0025251335
403,0.0013558592500000001
404,0.0006529999999999999
405,0.007275980499999999
406,0.000147
407,0.041933659
408,0.0
409,0.0029865856666666663
410,0.00484288325
411,0.004720692
412,0.00983890075
413,0.0193913905
414,0.00281730025
415,0.0013784735
416,0.0
417,0.0017648795
418,0.01506189125
419,0.00015775
420,0.0
421,0.0
422,0.005535742
423,0.0
424,0.0
425,0.0028566545
426,0.0
427,0.01097858025
428,0.0
429,0.014498178
430,0.002156078
431,0.032024591500000005
432,0.0208185835
433,0.00010825
434,0.00011116666666666665
435,0.00481307825
436,0.007525558
437,0.0
438,0.00458582175
439,0.0
440,0.0032582156666666664
441,0.001749608
442,0.00021925
443,0.0
444,0.003979731333333333
445,0.008111779500000001
446,0.006380426
447,0.00615375675
448,0.0005233333333333333
449,0.00419835825
450,0.0006721775
451,0.00077231175
452,0.0008496666666666666
453,0.0
454,7.145e-05
455,0.002156078
456,0.000758
457,0.00021575
458,0.006190788
459,5.27e-05
460,0.02300990425
461,0.0011375155000000001
462,0.006049161000000001
463,0.013729571000000001
464,0.018390098
465,0.00117208625
466,0.00193202025
467,0.056909363666666664
468,0.0
469,0.0
470,0.00122772875
471,0.010294598
472,0.005978098499999999
473,0.00671130275
474,0.033534471499999996
475,0.01983523825
476,0.0020195535
477,0.0
478,0.0184071705
479,0.01808065275
480,0.0009784695
481,0.009437537999999999
482,0.0
483,0.0
484,0.03479550075
485,0.00041125
486,0.0111527165
487,0.0
488,0.001439743
489,0.012962043250000001
490,0.0006075
491,0.007737796000000001
492,0.0017414655000000002
493,0.00571700925
494,0.000534
495,0.00382395125
496,0.0082565125
497,0.0039076725
498,0.019041652250000003
499,0.0007335
500,0.00041949999999999995
501,0.00036966666666666664
502,0.0
503,0.035722409
504,0.00265340525
505,0.006636991
506,0.044990985500000004
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0152844815
512,0.017140377249999998
513,1.30725e-05
514,0.0
515,1.85e-05
516,0.00119581975
517,0.0024384325
518,0.030033098999999997
519,0.0
520,0.0002805
521,0.0
522,0.0065464107499999995
523,6.1075e-05
524,0.00012880000000000001
525,0.0037623377499999998
526,0.0012336545
527,0.00796131175
528,8.285e-05
529,0.0011595419999999997
530,0.004545292
531,0.00164483125
532,0.00174424325
533,0.0007630000000000001
534,0.014131425
535,0.00211212075
536,0.006615080000000001
537,0.010401823999999999
538,0.0003415
539,0.0007019999999999999
540,0.0014771885000000001
541,0.0
542,0.0
543,0.004764306750000001
544,0.006204923750000001
545,0.00556379475
546,0.0
547,0.0
548,8.734999999999998e-05
549,0.00317091825
550,0.00281107825
551,0.0012390250000000002
552,0.00452424925
553,0.002083455
554,0.044587422749999994
555,0.0
556,9.6025e-05
557,0.000953163
558,0.00224259175
559,0.007413309999999999
560,0.01124387
561,0.00046775
562,0.000495
563,8.340000000000001e-05
564,0.010051776250000002
565,0.00721398925
566,0.0001345
567,0.012259956
568,0.022500549
569,0.012192152250000001
570,0.008149209
571,0.00385997625
572,0.0037727435
573,0.01672030725
574,0.005672591
575,0.0076346157500000005
