row,col
1025,2500
1025,2687
1025,2909
1025,3513
1025,3722
1025,4421
1028,3355
1029,1885
1029,3208
1029,3799
1029,3920
1029,4626
1037,2500
1046,1942
1046,2749
1046,2819
1046,2852
1046,3224
1046,3364
1046,3683
1046,4162
1046,4579
1051,2769
1055,1909
1055,2370
1055,2429
1055,2889
1055,3029
1055,3132
1055,3371
1055,3491
1055,3795
1055,4448
1055,4843
1057,2556
1057,2747
1057,4811
1059,2769
1059,3404
1062,1244
1062,1301
1062,1343
1062,1386
1062,1499
1062,1791
1062,1820
1062,1834
1062,2105
1062,2282
1062,2721
1062,3105
1062,3108
1062,4715
1063,2219
1063,3518
1064,4718
1078,1200
1078,1413
1078,1809
1078,3460
1078,3560
1078,3990
1078,4718
1079,4285
1087,3082
1097,1508
1097,3990
1097,4574
1102,3806
1107,1671
1107,2191
1107,2618
1107,2823
1107,3815
1107,4108
1123,4612
1126,5078
1140,2500
1146,1917
1146,2219
1146,2711
1146,2883
1146,3806
1146,4762
1147,2556
1149,2219
1149,3387
1149,3519
1149,3720
1152,2512
1152,3000
1161,2963
1161,4416
1163,2747
1167,3019
1167,4141
1167,4354
1167,4492
1171,1332
1171,4354
1171,4366
1171,4390
1177,1504
1177,3114
1177,3271
1178,1999
1178,2105
1178,2468
1178,3029
1179,1846
1184,4353
1187,2563
1187,3687
1187,3722
1200,1809
1200,3990
1204,2111
1204,2720
1208,1716
1209,2001
1209,2260
1209,2558
1216,2676
1216,5092
1230,3807
1231,4427
1238,2187
1242,1633
1248,4924
1249,1255
1249,1664
1249,1898
1249,3970
1251,2747
1255,2747
1255,2854
1255,5083
1270,2388
1270,2699
1270,2723
1270,3720
1270,4034
1270,4091
1270,4353
1278,2710
1283,1701
1292,4079
1293,2779
1296,3208
1296,4491
1301,2747
1301,3319
1316,2581
1316,4661
1317,1413
1322,3225
1322,3806
1332,1701
1332,1896
1332,2108
1332,2845
1332,3126
1332,3371
1332,3412
1332,3668
1332,3729
1332,4032
1332,4071
1332,4242
1332,4354
1332,4652
1337,2396
1342,2909
1342,3208
1342,3722
1342,4034
1346,2452
1346,3547
1347,1747
1347,2727
1352,1747
1352,2909
1355,3230
1363,2500
1363,2510
1363,2552
1363,3767
1363,4699
1370,3687
1371,3758
1373,1922
1373,4141
1382,2219
1395,2528
1395,3304
1395,3904
1397,2889
1397,3554
1397,3824
1398,2219
1403,1565
1403,1754
1403,3963
1404,3989
1405,2362
1405,4220
1413,1754
1413,2429
1413,2747
1413,2787
1413,3200
1414,2500
1414,3390
1414,4248
1419,3386
1427,5071
1428,1450
1428,2429
1430,1846
1430,3390
1430,3920
1439,4399
1448,2620
1450,2402
1450,4313
1450,4385
1458,1565
1458,2713
1458,3795
1463,3208
1467,2699
1467,3795
1469,2188
1469,2575
1469,2729
1469,4861
1480,1701
1482,3518
1487,3734
1495,3637
1502,1885
1502,2362
1502,2742
1502,2813
1502,3226
1502,3492
1502,3565
1504,1866
1504,3559
1508,3990
1508,4574
1510,1928
1510,4856
1513,4975
1516,3208
1523,2105
1523,3308
1523,3429
1523,3763
1526,3420
1536,4437
1553,3491
1553,3675
1553,4354
1555,1598
1558,3207
1565,1754
1565,2291
1565,2789
1565,3206
1565,4102
1580,2362
1597,2262
1597,2570
1597,2575
1597,2823
1598,2137
1603,4917
1608,3400
1618,1896
1618,4285
1625,2500
1625,2865
1625,4721
1631,1769
1631,2105
1631,3301
1631,4248
1633,2269
1633,3683
1633,3757
1633,3910
1633,4579
1634,2747
1639,1854
1639,2111
1639,2946
1639,4761
1639,4924
1639,5056
1639,5091
1641,4332
1641,4575
1645,2519
1645,3141
1647,2500
1647,4353
1653,3814
1653,4737
1659,2297
1661,2765
1661,2769
1661,3728
1665,1969
1665,2191
1665,2491
1665,2889
1665,4319
1671,3353
1671,3371
1671,3492
1671,4377
1676,4262
1679,3508
1683,1769
1683,2219
1683,2769
1683,3757
1683,3846
1683,3945
1683,4386
1683,4761
1683,4847
1683,4929
1688,3603
1688,3758
1688,3840
1688,4907
1690,5035
1698,3255
1698,3822
1701,1727
1701,1896
1701,1926
1701,2329
1701,2508
1701,3074
1701,3126
1701,3391
1701,3402
1701,4188
1701,4354
1701,4751
1701,5067
1702,3806
1706,4416
1708,2593
1716,5016
1717,4377
1720,2001
1722,1896
1722,3920
1725,2820
1727,4235
1728,1865
1728,2034
1728,4388
1733,2606
1735,3371
1746,4972
1746,5083
1747,2271
1747,2410
1747,2597
1747,3012
1747,3092
1747,4239
1747,4492
1747,4647
1747,4692
1747,5069
1748,4741
1754,2034
1754,2191
1754,2219
1754,2491
1754,2500
1754,2575
1754,2727
1754,2787
1754,2909
1754,3722
1754,3854
1754,4661
1755,2500
1756,3854
1758,2909
1758,3390
1758,3722
1758,3920
1761,2434
1768,4431
1769,2702
1769,3265
1769,3676
1769,3691
1769,4612
1774,2747
1777,2219
1777,2747
1778,3933
1782,2570
1792,2262
1792,2823
1792,3235
1792,4042
1800,2500
1800,3689
1801,4003
1804,1842
1807,2105
1807,2540
1809,3460
1809,3560
1809,3990
1810,3379
1810,4353
1815,3553
1815,4079
1815,4756
1816,2813
1816,3362
1818,3718
1820,2747
1820,3518
1842,2027
1842,3208
1842,4466
1843,2500
1843,4885
1844,2054
1844,2747
1846,1889
1846,2191
1846,2554
1846,2727
1846,2787
1846,2811
1846,3187
1846,3235
1846,3904
1846,3962
1846,4748
1846,4851
1846,4957
1850,4637
1851,2816
1854,2649
1854,2676
1854,3846
1854,4248
1854,4761
1854,4924
1858,2747
1860,2910
1860,3461
1860,3578
1865,2528
1866,2926
1867,3519
1867,3622
1868,2650
1868,2945
1868,3254
1868,3508
1868,3734
1881,3495
1881,4718
1881,4957
1883,2079
1883,3200
1883,4594
1885,2687
1885,2945
1885,3362
1885,5076
1889,2570
1889,2900
1889,3208
1889,3763
1889,4385
1892,3350
1892,3519
1896,2165
1896,2489
1896,3186
1896,3920
1896,4188
1896,4285
1896,4354
1896,4907
1896,5067
1901,2219
1904,2219
1905,2743
1909,3970
1909,4200
1911,3148
1917,2711
1917,3806
1921,3804
1922,4141
1928,3847
1942,2749
1942,2909
1942,3224
1946,3325
1946,4741
1955,2466
1969,2597
1973,2034
1973,2510
1973,2909
1973,4121
1986,2500
1996,2236
2001,2191
2001,2404
2001,2655
2001,2722
2001,2741
2001,3123
2001,3503
2001,3532
2001,3621
2001,3996
2001,4036
2001,4061
2001,4353
2001,4523
2001,4680
2001,4745
2001,4799
2007,2821
2007,3195
2008,2823
2009,2219
2018,3236
2033,5083
2034,2431
2034,2819
2034,3034
2034,3145
2034,4206
2034,4663
2042,2747
2042,3500
2046,2500
2046,3578
2046,4480
2046,4491
2047,2747
2054,2883
2054,3806
2057,2219
2067,2085
2067,2747
2072,2111
2072,2809
2075,3166
2079,3002
2079,3246
2084,2488
2085,4756
2086,2913
2089,3410
2093,2118
2094,2526
2101,2219
2101,3224
2105,2579
2105,2676
2105,2769
2105,3144
2105,3846
2105,3901
2105,4761
2105,4924
2106,3823
2107,2219
2107,3018
2111,2579
2111,2769
2111,2809
2111,3063
2111,3812
2111,3846
2111,4761
2111,5056
2118,3441
2118,3518
2118,3690
2124,2606
2132,2332
2132,4183
2137,4353
2137,4663
2137,4819
2143,2687
2143,3331
2144,2687
2153,2362
2165,2824
2165,4285
2165,4354
2187,2362
2188,2747
2191,2224
2191,2500
2191,2555
2191,2558
2191,2570
2191,2727
2191,2935
2191,3208
2191,3325
2191,3572
2191,3743
2191,3977
2191,4034
2191,4156
2191,4377
2191,4851
2191,5005
2192,3975
2199,3004
2199,3990
2199,4574
2208,3396
2208,3444
2208,4665
2208,4715
2210,4399
2216,3578
2219,2318
2219,2429
2219,2500
2219,2519
2219,2535
2219,2554
2219,2579
2219,2604
2219,2650
2219,2746
2219,2762
2219,2808
2219,2909
2219,2932
2219,2947
2219,2949
2219,2968
2219,2972
2219,3014
2219,3016
2219,3081
2219,3147
2219,3180
2219,3193
2219,3196
2219,3235
2219,3405
2219,3493
2219,3494
2219,3526
2219,3722
2219,3765
2219,3823
2219,3839
2219,3890
2219,3964
2219,3975
2219,3977
2219,4124
2219,4133
2219,4185
2219,4262
2219,4465
2219,4527
2219,4566
2219,4739
2219,4828
2219,4846
2219,4850
2219,4933
2219,5069
2223,3080
2223,4117
2223,5062
2224,3141
2224,3371
2224,4817
2229,4353
2246,3909
2250,4059
2254,3410
2262,3235
2262,3517
2262,4042
2267,3780
2267,4073
2269,3353
2269,4003
2271,3513
2272,3254
2272,3649
2272,4517
2272,4663
2272,4685
2272,4761
2274,3371
2291,3495
2291,3978
2300,4637
2307,4353
2315,3390
2317,3795
2319,4566
2327,3718
2327,4203
2329,4378
2329,4664
2348,2528
2348,2780
2348,3197
2348,4105
2348,4353
2356,3461
2361,2747
2362,2813
2362,3012
2362,3307
2362,3734
2362,4600
2367,3807
2371,3351
2382,2808
2388,2556
2396,2871
2398,3193
2402,3092
2404,4511
2405,4340
2407,5072
2410,2935
2424,3254
2429,2500
2429,2765
2429,3728
2429,4846
2429,5016
2433,4004
2434,3371
2434,4837
2435,3230
2436,4418
2458,2945
2458,3371
2458,3500
2458,4037
2458,4383
2468,4352
2471,2747
2479,3513
2488,2687
2488,3063
2488,3331
2488,3559
2488,4924
2489,3390
2489,3682
2491,2570
2491,2714
2491,2883
2491,3578
2491,3989
2491,4353
2491,4975
2497,3519
2500,2556
2500,2570
2500,2687
2500,2688
2500,2767
2500,2909
2500,3722
2500,3765
2500,3781
2500,3812
2500,3920
2500,3944
2500,3977
2500,4235
2500,4353
2500,4441
2500,4507
2500,4527
2500,4611
2500,5004
2500,5015
2500,5069
2505,3004
2506,4079
2510,2747
2510,3371
2510,3578
2510,3795
2510,3909
2510,4108
2510,4206
2510,4663
2512,3491
2513,3757
2514,4352
2517,3810
2518,4203
2519,2747
2519,3401
2519,4294
2519,4353
2519,5064
2523,2606
2523,3519
2527,3518
2527,3621
2527,4394
2528,2971
2528,3513
2528,3578
2528,3603
2528,3904
2528,3975
2529,3371
2532,4761
2537,4717
2551,2727
2552,3371
2555,3513
2556,2713
2556,3336
2556,3371
2556,3404
2556,3581
2556,3720
2556,3743
2556,3768
2556,3795
2556,4108
2556,4156
2556,4287
2556,4718
2556,4861
2556,5015
2563,2935
2563,4566
2563,4766
2567,3492
2570,2747
2570,2917
2570,3390
2570,3513
2570,3714
2570,3904
2575,3578
2575,4162
2579,2809
2579,3144
2579,3491
2579,4296
2579,4761
2579,4924
2586,3390
2586,3944
2597,3331
2597,4091
2597,4108
2597,4353
2597,4906
2627,3513
2627,4688
2632,3675
2632,4846
2633,3798
2646,3371
2646,3578
2646,4756
2650,4317
2655,3371
2659,5091
2662,2801
2662,3513
2676,3846
2676,4296
2676,4761
2685,3975
2687,2945
2687,3005
2687,3090
2687,3250
2687,3357
2687,3498
2687,3850
2687,3996
2687,4102
2687,4437
2687,4637
2687,5076
2688,3996
2690,3371
2701,2747
2711,2747
2711,3226
2711,3379
2711,3806
2713,3510
2713,3795
2713,4736
2714,3193
2714,3578
2714,3678
2717,3578
2721,3986
2722,2941
2727,2935
2727,3218
