,N6N
1217,1.375
1218,1.5625
1219,0.0
1220,0.0
1221,0.0
1222,0.0
1223,0.0
1224,0.0
1225,1.6
1226,2.0
1227,0.0
1228,0.0
1229,0.0
1230,0.0
1231,0.0
1232,0.0
1233,1.6
1234,0.0
1235,0.0
1236,0.292032964
1237,0.0
1238,0.0
1239,0.0
1240,0.0
1241,0.0
1242,0.0
1243,0.0
1244,0.0
1245,0.0
1246,0.0
1247,1.0
1248,2.9999999749999997
1249,0.0
1250,2.0
1251,0.0
1252,0.233333335
1253,0.0
1254,0.0
1255,0.0
1256,0.0
1257,0.0
1258,0.0
1259,7.19631994
1260,0.0
1261,0.0
1262,0.0
1263,0.0
1264,0.0
1265,0.43749997500000004
1266,0.8
1267,0.0
1268,0.0
1269,1.06666672
1270,0.0
1271,1.9476189750000001
1272,0.0
1273,0.0
1274,0.0
1275,0.0
1276,0.0
1277,0.0
1278,0.0
1279,0.0
1280,0.0
1281,0.0
1282,0.0
1283,0.0
1284,2.0
1285,2.0
1286,0.0
1287,0.0
1288,0.0
1289,0.0
1290,1.2626462
1291,0.0
1292,0.0
1293,0.0
1294,0.0
1295,0.0
1296,0.0
1297,0.0
1298,0.0
1299,0.0
1300,0.0
1301,0.0
1302,0.0
1303,0.0
1304,0.8333333
1305,2.3964322
1306,1.6794872
1307,0.0
1308,9.60034925
1309,0.0
1310,0.5
1311,0.0
1312,0.166666675
1313,0.0
1314,0.0
1315,0.0
1316,0.0
1317,0.0
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,0.0
1324,0.756290736
1325,0.0
1326,4.600726275
1327,10.271685249999999
1328,0.0
1329,0.6666667
1330,2.4314822
1331,5.6440477
1332,0.4444444583333333
1333,1.0
1334,0.0
1335,0.0
1336,0.0
1337,0.0
1338,2.04025152
1339,2.3464972250000002
1340,3.7565760599999996
1341,2.58647138
1342,1.25
1343,3.06968248
1344,1.0
1345,2.1325721250000003
1346,1.9713557499999999
1347,0.0
1348,2.2130742
1349,2.0
1350,0.0
1351,0.8988095800000002
1352,0.0
1353,6.59073474
1354,0.0
1355,2.70163172
1356,2.1250000250000003
1357,0.78867737
1358,3.092803025
1359,4.2583331
1360,0.0
1361,0.5
1362,0.0
1363,0.0
1364,0.0
1365,0.0
1366,2.9151516
1367,15.110492340000002
1368,0.5980952540000001
1369,0.0
1370,0.0
1371,0.4
1372,1.3917950600000002
1373,0.0
1374,0.0
1375,0.0
1376,13.5611044
1377,0.0
1378,0.0
1379,0.0
1380,0.0
1381,0.0
1382,0.0
1383,0.0
1384,2.4476562166666667
1385,0.0
1386,1.7471121333333333
1387,1.0
1388,3.7969842
1389,1.5
1390,6.746629575
1391,0.0
1392,0.0
1393,0.0
1394,12.2649315
1395,22.92729025
1396,17.528164
1397,11.569533374999999
1398,2.0
1399,26.92285875
1400,7.81861694
1401,0.0
1402,0.0
1403,0.0
1404,0.0
1405,0.0
1406,0.0
1407,1.86339285
1408,0.0
1409,0.624025996
1410,25.76673775
1411,0.0
1412,9.858414
1413,4.279163925000001
1414,0.0
1415,0.0
1416,1.6785978
1417,2.0
1418,1.3769841
1419,0.0
1420,5.1333251
1421,7.917063500000001
1422,0.0
1423,2.7169915000000002
1424,0.3333333333333333
1425,4.185951185
1426,2.0
1427,0.571428594
1428,1.00976634
1429,0.0
1430,0.0
1431,1.4916667
1432,0.0
1433,0.0
1434,0.0
1435,0.0
1436,1.3333334
1437,0.0
1438,0.0
1439,1.7342857600000001
1440,0.68
1441,1.36666672
1442,0.0
1443,0.0
1444,5.40323568
1445,0.0
1446,0.446666664
1447,1.75
1448,0.0
1449,3.4059324499999994
1450,4.428139574999999
1451,0.4
1452,0.0
1453,0.0
1454,0.0
1455,0.0
1456,0.0
1457,4.8469355
1458,0.0
1459,1.9897021000000001
1460,0.0
1461,2.1548655
1462,1.0
1463,5.98148895
1464,1.8206640999999997
1465,1.4
1466,0.9200000000000002
1467,0.27428572
1468,0.0
1469,1.27083335
1470,0.0
1471,1.23333335
1472,13.41888506
1473,3.8
1474,1.371332
1475,1.69944025
1476,1.7237762500000002
1477,0.0
1478,0.0
1479,0.0
1480,16.927880124999998
1481,0.0
1482,0.0
1483,1.01817464
1484,0.0
1485,0.0
1486,0.266666672
1487,0.0
1488,0.48
1489,0.0
1490,1.5828571400000002
1491,0.0
1492,9.8527272
1493,0.0
1494,0.0
1495,5.3427326
1496,0.0
1497,0.166666675
1498,0.0
1499,6.60126405
1500,0.0
1501,0.0
1502,0.0
1503,1.30000005
1504,0.19047619999999998
1505,0.0
1506,2.0
1507,0.277930405
1508,0.0
1509,0.0
1510,2.3005115999999997
1511,0.0
1512,1.1701050400000002
1513,0.9950000000000001
1514,1.2
1515,0.0
1516,1.228571475
1517,0.0
1518,2.0
1519,0.16666666666666666
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,2.87885976
1526,0.85
1527,0.0
1528,0.0
1529,0.86666668
1530,2.26608885
1531,0.0
1532,22.093919
1533,4.7346211
1534,0.0
1535,0.0
1536,10.0957615
1537,0.0
1538,0.0
1539,0.0
1540,0.916666675
1541,0.0
1542,0.33333334
1543,1.7876119250000002
1544,0.56190478
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,10.358566625
1550,0.0
1551,0.0
1552,0.0
1553,4.6666665
1554,0.0
1555,0.0
1556,3.422222
1557,4.982910379999999
1558,0.0
1559,2.0666667
1560,0.0
1561,0.0
1562,0.0
1563,1.5555556000000001
1564,1.7361904400000001
1565,1.0
1566,0.0
1567,2.0
1568,0.0
1569,0.40000001999999996
1570,5.663691099999999
1571,7.8791737
1572,0.0
1573,0.0
1574,0.0
1575,13.3844267
1576,0.0
1577,0.0
1578,0.0
1579,3.07194665
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
