,I6N
139,0.0
140,1.785553725
141,1.2349053499999998
142,2.0225102
143,1.84745714
144,0.0
145,1.2349053499999998
146,1.2349053499999998
147,0.0
148,1.2164379799999998
149,1.8422956333333331
150,0.0
151,2.8589027000000002
152,1.5192518
153,0.0
154,0.0
155,2.2746437750000004
156,2.50311598
157,1.7266269
158,1.2349053499999998
159,2.42796348
160,2.323174
161,2.046920225
162,1.6134226249999999
163,1.9954400499999996
164,1.9796158399999997
165,1.5544958
166,1.8474969599999997
167,1.2025653833333332
168,1.4052460999999998
169,0.0
170,2.1696851199999996
171,2.0508530400000002
172,0.0
173,2.390084925
174,1.2349053499999998
175,0.0
176,1.47023712
177,2.5310522
178,2.43778585
179,1.2349053499999998
180,0.0
181,0.0
182,1.2349053499999998
183,1.2349053499999998
184,1.8474969599999997
185,0.0
186,2.20738025
187,1.6550834600000002
188,1.7949400399999997
189,0.0
190,2.4519937499999997
191,0.0
192,0.0
193,1.5544958
194,1.2349053499999998
195,0.0
196,1.2349053499999998
197,1.8229925199999997
198,1.6267496399999999
199,1.865311875
200,0.0
201,1.2349053499999998
202,2.0972837999999996
203,0.0
204,0.0
205,0.0
206,1.5544958
207,0.0
208,0.0
209,1.65695668
210,0.0
211,2.666601125
212,1.5544958
213,2.43778585
214,0.0
215,0.0
216,0.0
217,0.0
218,2.37356115
219,1.47211034
220,0.0
221,1.2349053499999998
222,0.0
223,0.0
224,1.2349053499999998
225,1.2349053499999998
226,1.2349053499999998
227,0.0
228,2.3632303799999996
229,1.5544958
230,2.404292825
231,1.2349053499999998
232,1.5544958
233,1.2145647599999998
234,2.2665974500000003
235,2.2978847
236,1.2145647599999998
237,0.0
238,2.8567301749999996
239,1.2349053499999998
240,0.0
241,1.2349053499999998
242,0.0
243,2.2978847
244,1.90446752
245,0.0
246,2.02180415
247,1.7949400399999997
248,1.47211034
249,2.43778585
250,1.2145647599999998
251,0.0
252,2.9543814499999996
253,1.2145647599999998
254,0.0
255,2.5285594500000004
256,0.0
