,E3N
308,0.0021201063333333332
309,0.0
310,0.0
311,0.0
312,9.173333333333334e-06
313,2.8466666666666665e-07
314,0.0
315,0.00029466666666666666
316,0.00029633333333333334
317,0.08318168666666666
318,0.0
319,0.0
320,0.0
321,0.000804
322,0.0
323,0.0
324,0.0014522573333333334
325,0.0026896243333333334
326,0.00036966666666666664
327,0.04289302833333333
328,0.005316237333333332
329,0.0
330,0.0
331,0.0003136666666666667
332,0.00028033333333333333
333,0.0006783333333333333
334,6.0566666666666664e-05
335,9.076666666666667e-05
336,0.0
337,0.0
338,0.0
339,0.004541875333333333
340,0.00034866666666666667
341,0.005966557
342,0.002436968333333333
343,0.0028611133333333334
344,0.026452926333333335
345,0.002317333
346,0.014768900333333335
347,0.0
348,0.0
349,0.0
350,0.000794
351,0.0
352,0.014693734
353,0.000138
354,0.0
355,0.0
356,1.5499999999999997e-05
357,0.0014637546666666666
358,0.0005373333333333333
359,0.0008084616666666668
360,0.0009395306666666667
361,0.0
362,0.0
363,0.001455431
364,0.001419106
365,0.0
366,0.0032528009999999996
367,0.0
368,0.000974497
369,0.0
370,0.0005273333333333333
371,0.0
372,0.0
373,0.0
374,0.005772568666666666
375,0.0
376,0.003904209
377,0.000174
378,0.0005754403333333334
379,0.0
380,0.09865017499999999
381,0.0
382,0.0
383,0.0
384,0.14264054666666667
385,0.000795
386,0.0
387,0.0
388,0.007405515999999998
389,0.004930403666666666
390,0.0
391,0.0
392,0.051011261999999995
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.09715913833333333
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.0
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.04777174566666667
419,1.4266666666666665e-05
420,0.0
421,0.009649620333333333
422,0.00426874
423,0.0
424,0.0
425,0.0
426,0.021201235
427,0.046587467333333334
428,0.01567348433333333
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.00159067
446,0.0
447,3.8333333333333335e-07
448,0.0012835106666666668
449,0.0005033333333333334
450,0.001131464
451,3.04e-05
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0009395306666666667
457,0.0
458,0.0
459,0.0
460,0.0
461,0.004830144666666667
462,1.9766666666666665e-05
463,0.0
464,0.0
465,0.0
466,0.0
467,0.06420826533333333
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.08585791
474,9.113333333333333e-05
475,0.0
476,0.0
477,0.0
478,0.0
479,0.00013326666666666666
480,0.0006263333333333333
481,0.0031260146666666666
482,0.0
483,0.0014487506666666667
484,0.0
485,0.0
486,0.000102
487,5.82e-05
488,0.0
489,0.0
490,0.005409545333333334
491,0.09158383333333335
492,3.31e-05
493,0.000579
494,0.0
495,1.4936666666666666e-06
496,7.163333333333334e-05
497,0.0
498,0.00034033333333333333
499,0.0
500,0.0
501,0.0
502,0.00044233333333333337
503,0.014024717333333334
504,0.00044233333333333337
505,0.00024300000000000002
506,5.696666666666666e-05
507,0.0
508,0.0
509,0.0
510,0.0
511,4.783333333333334e-05
512,0.00018733333333333332
513,0.0
514,0.0
515,0.0
516,0.007543760666666667
517,0.0
518,0.0
519,0.0025313196666666665
520,0.0002366666666666667
521,0.0
522,0.0
523,0.004470484666666667
524,0.0
525,0.0031764643333333335
526,0.0
527,0.0034018629999999998
528,4.5700000000000006e-05
529,0.006329987666666666
530,0.0
531,0.00038633333333333336
532,0.0006736666666666666
533,0.022128114666666667
534,0.0
535,0.0
536,3.603333333333333e-07
537,0.0
538,0.000165
539,1.1236666666666667e-08
540,0.0
541,0.00018433333333333333
542,0.0
543,0.047770400666666664
544,0.03903545466666667
545,0.0016967593333333333
546,0.0003156666666666667
547,0.006404951666666666
548,0.001595424
549,0.0038893526666666663
550,0.0
551,0.00030266666666666663
552,0.008885504
553,0.0009687596666666667
554,9.113333333333333e-05
555,0.0016420046666666668
556,0.0
557,0.010003322666666667
558,0.010297763666666668
559,0.0
560,0.0020139016666666665
561,0.0
562,0.0
563,0.0
564,0.004619399000000001
565,0.00025833333333333334
566,5.519999999999999e-05
567,0.0018915199999999998
568,0.0
569,0.001206434
570,0.0
571,0.0
572,0.005924649333333333
573,0.0
574,0.0
575,0.00040566666666666664
576,0.0
577,0.0014892333333333333
578,0.0
579,0.00025866666666666665
580,0.0010115343333333335
581,0.00266389
582,0.0
583,7.916666666666666e-05
584,0.0
585,0.0
586,6.0866666666666664e-05
587,8.683333333333333e-05
588,0.0
589,0.0041448200000000004
590,0.0
591,3.9458333333333335e-05
592,0.0
593,0.0
594,0.00053
595,0.0
596,0.00028233333333333333
597,0.0
598,0.0
599,0.0
600,0.019063693
601,0.0
602,5.0066666666666666e-05
603,0.0003246666666666667
604,0.00017199999999999998
605,0.002381125333333333
606,0.00011066666666666667
607,0.01066097
608,0.0
609,9.966666666666667e-05
610,0.0
611,0.00048766666666666663
612,0.004207928666666667
613,0.0006693333333333334
614,0.00018933333333333335
615,0.003326949666666667
616,0.0
617,2.033333333333333e-06
618,2.8266666666666666e-07
619,0.0014061529999999998
620,0.00019133333333333337
621,0.004567741333333333
622,0.002144492333333333
623,0.0
624,0.0001566666666666667
625,0.0024724446666666666
626,0.00013850000000000003
627,0.0
628,0.0
629,0.0
630,1.1333333333333334e-07
631,0.0
632,0.0050364626666666665
633,2.4853333333333335e-05
634,0.004650968
635,0.0
636,0.0857096
637,1.9066666666666668e-05
638,9.833333333333334e-05
639,0.0
640,0.0029369513333333333
641,0.000624
642,0.009194808
643,0.008849025333333335
644,0.0
645,0.0
646,0.0040293609999999995
647,0.0018476343333333333
648,0.0
649,0.0012998130000000001
650,0.0006616666666666666
651,0.0
652,0.0012755969999999998
653,0.0
654,2.8333333333333335e-05
655,2.6466666666666666e-06
656,3.03e-06
657,0.0
658,0.00062
659,0.00020033333333333331
660,4.24e-05
661,1.1930000000000001e-05
662,0.0
663,0.0006693333333333334
664,0.03852195366666667
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,0.00068
671,0.009579751666666666
672,0.0023248323333333334
673,0.005192809
674,0.033554788
675,0.0
676,0.0
677,0.0010617959999999998
678,0.0070515483333333335
679,0.0018747396666666666
680,0.0
681,0.002109876
682,5.306666666666667e-07
683,2.0333333333333333e-07
684,0.00223864
685,0.0
686,0.023192755666666665
687,0.002838374
688,0.0014061529999999998
689,0.0
690,0.0
691,0.00018999999999999998
692,0.0006693333333333334
693,0.0
694,0.0
695,0.0
696,0.0
697,1.1583333333333335e-05
698,0.0012755969999999998
699,0.0
700,0.0
701,0.005507143333333333
702,0.006557284333333333
703,0.0004613333333333334
704,0.000197
705,0.0
706,0.00015253333333333335
707,0.007981313333333333
708,0.0
709,0.000242
710,0.009442059666666667
711,0.0006306666666666666
712,0.00010659999999999999
713,0.012546900333333335
