,DC
571,4.0
572,13.0
573,15.6
574,3.0
575,3.0
576,38.6
577,1.4
578,8.8
579,15.6
580,3.2
581,5.0
582,5.0
583,1.0
584,6.0
585,6.8
586,2.0
587,3.0
588,1.0
589,2.8
590,0.0
591,4.6
592,14.8
593,6.0
594,1.0
595,25.0
596,9.4
597,11.2
598,9.4
599,1.0
600,4.8
601,13.2
602,28.2
603,15.4
604,1.0
605,50.0
606,4.0
607,0.0
608,0.0
609,1.0
610,1.0
611,2.4
612,1.0
613,1.0
614,32.6
615,39.0
616,22.6
617,8.6
618,1.2
619,0.0
620,0.0
621,3.4
622,2.0
623,24.2
624,40.0
625,5.2
626,1.25
627,1.0
628,2.0
629,63.8
630,2.8
631,1.0
632,9.0
633,7.0
634,7.2
635,4.8
636,21.8
637,3.0
638,1.2
639,39.8
640,13.8
641,0.0
642,1.0
643,1.6
644,4.2
645,17.2
646,2.0
647,2.25
648,1.0
649,5.6
650,4.8
651,2.0
652,1.0
653,9.6
654,0.0
655,11.0
656,4.8
657,0.0
658,1.6
659,4.6
660,6.4
661,1.0
662,2.25
663,0.0
664,1.0
665,22.4
666,3.0
667,4.8
668,1.4
669,1.0
670,2.0
671,1.8
672,2.0
673,0.0
674,1.0
675,20.4
676,7.0
677,1.8
678,19.0
679,33.4
680,2.0
681,1.0
682,0.0
683,6.0
684,4.0
685,10.4
686,2.2
687,7.0
688,2.0
689,7.6
690,3.0
691,1.0
692,25.4
693,23.4
694,1.2
695,1.0
696,0.0
697,3.2
698,0.0
699,1.6
700,43.75
701,5.0
702,3.75
703,2.0
704,12.0
705,0.0
706,38.0
707,2.4
708,16.8
709,1.0
710,1.0
711,13.4
712,4.2
713,33.0
714,21.8
715,1.0
716,27.6
717,7.6
718,24.2
719,4.0
720,1.8
721,5.0
722,16.0
723,8.6
724,31.4
725,8.8
726,0.0
727,1.0
728,11.0
729,0.0
730,15.8
731,6.0
732,2.0
733,11.2
734,13.0
735,2.0
736,2.0
737,0.0
738,0.0
739,1.4
740,2.0
741,12.4
742,1.0
743,1.0
744,4.0
745,1.0
746,3.5
747,0.0
748,26.333333333333332
749,3.8
750,25.0
751,2.0
752,9.4
753,5.0
754,11.8
755,4.2
756,8.0
757,2.0
758,2.4
759,3.8
760,20.4
761,1.0
762,1.0
763,6.8
764,1.0
765,2.2
766,4.4
767,16.4
768,5.2
769,6.4
770,0.0
771,26.0
772,48.2
773,5.0
774,1.0
775,6.0
776,6.2
777,1.0
778,1.8
779,13.8
780,1.0
781,0.0
782,3.8
783,27.8
784,10.8
785,0.0
786,6.6
787,1.0
788,10.4
789,3.0
790,3.0
791,1.0
792,2.0
793,1.0
794,27.2
795,2.4
796,1.0
797,1.0
798,0.0
799,0.0
800,1.0
801,2.0
802,7.0
803,1.0
804,11.6
805,4.4
806,0.0
807,1.0
808,2.0
809,3.6
810,0.0
811,1.0
812,7.2
813,1.0
814,1.0
815,1.0
816,2.0
817,4.2
818,4.6
819,1.0
820,4.0
821,6.8
822,5.8
823,5.2
824,1.0
825,6.6
826,54.8
827,17.0
828,3.0
829,2.6
830,1.8
831,0.0
832,3.0
833,2.0
834,1.0
835,0.0
836,4.0
837,5.2
838,1.0
839,1.0
840,1.0
841,6.2
842,6.8
843,0.0
844,1.6
845,25.0
846,1.0
847,6.2
848,2.8
849,1.0
850,1.0
851,1.0
852,5.8
853,0.0
854,5.8
855,1.8
856,3.6
857,4.5
858,13.2
859,5.8
860,0.0
861,4.8
862,0.0
863,1.75
864,9.8
865,1.0
866,3.8
867,4.8
868,3.2
869,1.3333333333333333
870,5.6
871,5.8
872,5.0
873,6.0
874,2.0
875,2.0
876,1.0
877,15.0
878,4.0
879,37.75
880,3.25
881,16.0
882,1.4
883,9.8
884,2.0
885,1.2
886,1.0
887,2.8
888,1.8
889,9.0
890,2.0
891,5.0
892,2.5
893,4.8
894,9.6
895,2.2
896,2.0
897,4.4
898,11.4
899,2.8
900,2.0
901,8.8
902,24.8
903,6.0
904,7.0
905,10.4
906,4.0
907,1.0
908,1.0
909,2.2
910,2.0
911,12.0
912,2.6
913,2.6
914,2.8
915,33.4
916,12.6
917,1.0
918,7.8
919,14.8
920,8.0
921,6.75
922,1.0
923,2.0
924,13.2
925,1.0
926,2.2
927,2.0
928,2.0
929,20.6
930,4.8
931,2.6
932,2.6
933,30.0
934,3.2
935,2.0
936,20.0
937,0.0
938,32.0
939,8.4
940,1.2
941,2.75
942,2.8
943,20.4
944,2.4
945,1.8
946,4.8
947,3.6
948,3.6
949,3.0
950,3.0
951,1.0
952,13.0
953,8.4
954,16.8
955,29.8
956,2.8
957,16.2
958,1.0
959,1.0
960,18.0
961,12.8
962,3.6
963,2.0
964,12.2
965,11.0
966,1.0
967,13.6
968,13.6
969,1.0
970,8.0
971,1.0
972,17.4
973,8.6
974,1.6
975,4.2
976,1.0
977,1.0
978,11.6
979,11.4
980,4.2
981,26.0
982,19.4
983,9.6
984,1.0
985,2.2
986,9.6
987,0.0
988,3.6
989,6.4
990,6.2
991,10.0
992,1.0
993,7.0
994,7.6
995,4.6
996,2.0
997,23.2
998,1.0
999,1.0
1000,1.8
1001,3.0
1002,1.0
1003,2.0
1004,2.0
1005,2.0
1006,25.4
1007,18.4
1008,0.0
1009,0.0
1010,0.0
1011,1.0
1012,7.2
1013,6.0
1014,1.8
1015,10.6
1016,3.0
1017,1.0
1018,2.0
1019,8.4
1020,3.0
1021,1.0
1022,1.0
1023,6.8
1024,14.2
1025,5.0
1026,18.0
1027,1.0
1028,13.2
1029,2.2
1030,4.0
1031,1.0
1032,1.0
1033,2.0
1034,2.0
1035,1.0
1036,1.0
1037,1.4
1038,1.8
1039,9.0
1040,3.6
1041,15.8
1042,1.2
1043,8.0
1044,4.0
1045,14.8
1046,3.6
1047,1.0
1048,1.0
1049,8.2
1050,11.2
1051,10.6
1052,12.2
1053,2.0
1054,28.6
1055,2.0
1056,3.0
1057,2.0
1058,1.4
1059,4.8
1060,1.0
1061,35.4
1062,2.6
1063,3.0
1064,2.2
1065,1.2
1066,4.8
1067,1.0
1068,6.0
1069,3.0
1070,1.0
1071,40.5
1072,1.4
1073,0.0
1074,36.6
1075,2.0
1076,0.0
1077,11.8
1078,16.4
1079,3.6
1080,2.0
1081,0.0
1082,0.0
1083,7.0
1084,5.6
1085,1.0
1086,2.0
1087,1.0
1088,3.0
1089,3.8
1090,1.8
1091,2.0
1092,4.0
1093,6.0
1094,14.6
1095,2.6
1096,4.4
1097,0.0
1098,2.2
1099,2.0
1100,5.2
1101,3.0
1102,14.6
1103,1.8
1104,2.0
1105,1.0
1106,11.8
1107,1.0
1108,0.0
1109,5.6
1110,1.0
1111,1.0
1112,1.0
1113,5.2
1114,13.0
1115,2.0
1116,1.6
1117,13.0
1118,7.0
1119,8.0
1120,0.0
1121,30.0
1122,2.0
1123,67.6
1124,4.4
1125,4.0
1126,5.6
1127,46.8
1128,8.4
1129,1.0
1130,13.0
1131,2.0
1132,1.0
1133,1.0
1134,13.6
1135,3.0
1136,1.0
1137,2.6
1138,2.4
1139,5.2
1140,2.6
1141,1.6
1142,1.0
1143,31.0
1144,2.6
1145,15.8
1146,9.4
1147,1.0
1148,9.8
1149,2.0
1150,3.0
1151,3.8
1152,16.25
1153,1.0
1154,10.6
1155,1.8
1156,1.0
1157,9.4
1158,1.0
1159,1.0
1160,8.6
1161,2.0
1162,8.2
1163,2.0
1164,1.0
1165,1.0
1166,10.0
1167,1.8
1168,1.6
1169,1.0
1170,34.0
1171,7.6
1172,0.0
1173,1.8
1174,5.4
1175,0.0
1176,4.0
1177,11.6
1178,2.6
1179,5.0
1180,4.8
1181,2.0
1182,3.6
1183,3.0
1184,1.0
1185,2.0
1186,3.0
1187,10.8
1188,9.2
1189,2.0
1190,11.8
1191,2.0
1192,26.0
1193,1.0
1194,2.8
1195,16.2
1196,3.0
1197,1.0
1198,7.6
1199,6.0
1200,1.0
1201,9.2
1202,6.2
1203,8.0
1204,1.0
1205,15.6
1206,6.0
1207,3.0
1208,11.2
1209,2.0
1210,1.0
1211,9.0
1212,3.0
1213,1.0
1214,2.25
1215,3.8
1216,15.4
1217,4.8
1218,1.0
1219,19.6
1220,1.0
1221,0.0
1222,1.0
1223,0.0
1224,3.0
1225,1.8
1226,1.0
1227,1.8
1228,1.0
1229,28.0
1230,1.8
1231,1.0
1232,2.0
1233,2.4
1234,2.2
1235,1.0
1236,1.0
1237,5.0
1238,1.0
1239,1.4
1240,1.0
1241,1.0
1242,1.0
1243,1.0
1244,0.0
1245,19.5
1246,2.0
1247,1.4
1248,5.2
1249,1.0
1250,1.0
1251,7.8
1252,0.0
1253,1.0
1254,7.8
1255,19.2
1256,1.4
1257,13.2
1258,1.8
1259,3.0
1260,1.0
1261,0.0
1262,2.0
1263,1.0
1264,1.8
1265,5.0
1266,1.0
1267,5.0
1268,6.4
1269,17.2
1270,2.2
1271,9.0
1272,7.0
1273,5.6
1274,16.2
1275,1.0
1276,1.0
1277,2.5
1278,2.0
1279,6.4
1280,2.0
1281,0.0
1282,4.0
1283,2.0
1284,0.0
1285,15.6
1286,2.0
1287,5.2
1288,3.8
1289,10.6
1290,1.0
1291,1.0
1292,1.0
1293,8.0
1294,5.6
1295,5.0
1296,29.4
1297,3.0
1298,1.0
1299,3.4
1300,5.6
1301,0.0
1302,0.0
1303,1.0
1304,1.0
1305,1.0
1306,0.0
1307,0.0
1308,0.0
1309,2.0
1310,1.0
1311,0.0
1312,5.8
1313,15.6
1314,3.0
1315,3.8
1316,8.2
1317,8.333333333333334
1318,1.0
1319,1.0
1320,18.2
1321,5.0
1322,1.0
1323,1.2
1324,4.0
1325,4.8
1326,4.0
1327,1.0
1328,3.0
1329,6.5
1330,13.0
1331,94.0
1332,3.0
1333,16.6
1334,4.6
1335,6.0
1336,2.8
1337,21.0
1338,0.0
1339,12.6
1340,17.8
1341,5.8
1342,1.0
1343,5.0
1344,1.0
1345,3.0
1346,8.6
1347,7.8
1348,17.6
1349,1.4
1350,4.4
1351,10.8
1352,2.2
1353,0.0
1354,1.8
1355,6.0
1356,1.0
1357,10.8
1358,0.0
1359,2.4
1360,2.0
1361,1.0
1362,8.0
1363,2.0
1364,1.0
1365,2.0
1366,4.6
1367,3.2
1368,2.0
1369,7.0
1370,2.8
1371,1.0
1372,7.8
1373,1.4
1374,0.0
1375,9.8
1376,1.4
1377,9.4
1378,1.0
1379,4.2
1380,6.4
1381,2.8
1382,53.0
1383,40.0
1384,2.8
1385,2.6
1386,2.6
1387,0.0
1388,1.0
1389,1.0
1390,1.8
1391,4.0
1392,10.0
1393,3.8
1394,7.6
1395,2.6
1396,14.0
1397,1.0
1398,1.0
1399,3.6
1400,11.4
1401,1.0
1402,7.5
1403,3.0
1404,9.4
1405,1.6
1406,7.8
1407,1.0
1408,24.8
1409,6.0
1410,35.6
1411,3.8
1412,26.4
1413,4.6
1414,2.0
1415,0.0
1416,50.4
1417,2.4
1418,8.4
1419,1.0
1420,6.4
1421,3.2
1422,1.2
1423,45.6
1424,21.0
1425,4.0
1426,1.0
1427,14.0
1428,3.0
1429,4.8
1430,98.2
1431,8.0
1432,0.0
1433,0.0
1434,1.2
1435,4.6
1436,2.6
1437,3.5
1438,3.8
1439,1.4
1440,28.6
1441,1.8
1442,22.8
1443,7.6
1444,1.0
1445,2.6
1446,1.0
1447,2.0
1448,2.0
1449,13.2
1450,0.0
1451,9.6
1452,5.6
1453,2.0
1454,0.0
1455,0.0
1456,31.0
1457,5.6
1458,0.0
1459,10.6
1460,47.0
1461,2.6
1462,11.6
1463,1.0
1464,1.0
1465,1.0
1466,43.0
1467,26.4
1468,28.6
1469,2.6
1470,0.0
1471,1.0
1472,37.0
1473,11.75
1474,22.0
1475,1.8
1476,1.0
1477,1.0
1478,0.0
1479,1.0
1480,1.0
1481,1.0
1482,0.0
1483,1.0
1484,4.0
1485,0.0
1486,2.0
1487,2.0
1488,5.0
1489,1.0
1490,21.6
1491,9.6
1492,5.8
1493,0.0
1494,1.8
1495,2.0
1496,4.6
1497,0.0
1498,1.0
1499,25.4
1500,3.0
1501,32.2
1502,24.4
1503,4.0
1504,3.2
1505,4.0
1506,4.0
1507,8.6
1508,3.0
1509,5.8
1510,2.0
1511,1.0
1512,5.0
1513,2.2
1514,1.0
1515,8.6
1516,0.0
1517,1.0
1518,1.6
1519,47.0
1520,12.4
1521,64.0
1522,5.6
1523,12.0
1524,0.0
1525,1.0
1526,6.0
1527,3.8
1528,6.2
1529,6.0
1530,1.2
1531,1.0
1532,1.0
1533,1.0
1534,2.0
1535,1.2
1536,1.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,7.0
1542,1.0
1543,0.0
1544,0.0
1545,0.0
1546,3.6
1547,11.2
1548,4.8
1549,16.2
1550,1.0
1551,0.0
1552,7.4
1553,4.8
1554,12.2
1555,1.0
1556,1.0
1557,4.8
1558,2.8
1559,11.0
1560,3.8
1561,1.0
1562,1.0
1563,2.6
1564,20.6
1565,2.0
1566,62.6
1567,1.6
1568,4.8
1569,87.6
1570,1.0
1571,7.8
1572,8.2
1573,1.0
1574,1.0
1575,10.4
1576,8.0
1577,12.6
1578,1.0
1579,2.0
1580,20.4
1581,3.6
1582,2.0
1583,0.0
1584,1.0
1585,3.0
1586,2.2
1587,3.0
1588,9.6
1589,11.2
1590,18.6
1591,44.0
1592,1.8
1593,1.8
1594,1.0
1595,1.0
1596,15.4
1597,31.6
1598,2.0
1599,2.0
1600,8.0
1601,1.0
1602,1.0
1603,7.0
1604,2.0
1605,1.0
1606,2.0
1607,1.0
1608,6.6
1609,1.0
1610,1.0
1611,29.4
1612,1.0
1613,2.6
1614,6.2
1615,0.0
1616,1.0
1617,6.2
1618,2.0
1619,2.0
1620,1.0
1621,0.0
1622,2.0
1623,1.0
1624,11.8
1625,1.0
1626,0.0
1627,1.0
1628,1.0
1629,1.0
1630,8.2
1631,1.8
1632,16.4
1633,1.0
1634,1.0
1635,24.8
1636,20.0
1637,1.0
1638,23.4
1639,1.0
1640,4.4
1641,3.6
1642,3.0
1643,2.0
1644,8.6
1645,1.0
1646,10.4
1647,12.4
1648,4.4
1649,1.75
1650,1.0
1651,0.0
1652,6.6
1653,0.0
1654,1.0
1655,33.8
1656,3.0
1657,1.0
1658,2.4
1659,1.0
1660,5.2
1661,1.0
1662,0.0
1663,2.6
1664,9.4
1665,1.0
1666,4.6
1667,2.0
1668,5.0
1669,3.6
1670,8.8
1671,2.0
1672,17.2
1673,1.6
1674,2.0
1675,5.8
1676,2.6
1677,6.0
1678,1.8
1679,10.0
1680,19.2
1681,1.0
1682,17.8
1683,6.0
1684,4.2
1685,1.0
1686,16.0
1687,29.0
1688,2.0
1689,1.0
1690,15.0
1691,12.2
1692,1.0
1693,1.8
1694,20.4
1695,2.0
1696,7.2
1697,6.0
1698,1.0
1699,1.0
1700,58.8
1701,4.0
1702,7.6
1703,15.6
1704,4.6
1705,1.8
1706,5.6
1707,10.4
1708,67.0
1709,1.0
1710,1.0
1711,1.0
1712,1.0
1713,1.2
1714,2.0
1715,6.0
1716,1.0
1717,1.0
1718,0.0
1719,2.6
1720,3.2
1721,6.0
1722,12.4
1723,1.0
1724,1.0
1725,2.0
1726,3.0
1727,19.4
1728,11.0
1729,1.8
1730,16.4
1731,1.0
1732,5.0
1733,0.0
1734,1.0
1735,2.0
1736,5.6
1737,3.0
1738,14.2
1739,31.6
1740,4.4
1741,2.4
1742,1.0
1743,6.0
1744,5.4
1745,5.2
1746,39.4
1747,1.0
1748,1.0
1749,2.0
1750,0.0
1751,1.25
1752,1.0
1753,43.8
1754,4.0
1755,7.0
1756,19.8
1757,10.0
1758,12.0
1759,18.2
1760,18.8
1761,4.2
1762,2.0
1763,2.0
1764,38.2
1765,14.6
1766,6.4
1767,2.6
1768,20.8
1769,8.4
1770,1.0
1771,0.0
1772,4.0
1773,1.0
1774,2.6
1775,1.5
1776,2.0
1777,5.0
1778,1.0
1779,6.2
1780,1.0
1781,2.8
1782,14.6
1783,2.0
1784,5.4
1785,11.2
1786,1.0
1787,3.6
1788,25.0
1789,7.0
1790,1.8
1791,8.4
1792,2.4
1793,0.0
1794,10.0
1795,16.6
1796,2.0
1797,1.0
1798,2.0
1799,4.2
1800,1.8
1801,1.8
1802,4.4
1803,3.4
1804,7.8
1805,1.0
1806,3.8
1807,2.8
1808,18.4
1809,2.8
1810,3.4
1811,7.2
1812,1.0
1813,9.6
1814,6.0
1815,17.6
1816,5.8
1817,3.0
1818,2.8
1819,3.0
1820,7.4
1821,1.0
1822,2.8
1823,3.6
1824,1.0
1825,1.0
1826,2.0
1827,1.0
1828,1.0
1829,2.0
1830,2.6
1831,0.0
1832,1.2
1833,1.0
1834,5.0
1835,1.2
1836,65.2
1837,1.75
1838,1.0
1839,0.0
1840,1.0
1841,4.6
1842,5.6
1843,2.8
1844,1.0
1845,23.0
1846,1.0
1847,6.4
1848,1.0
1849,2.8
1850,3.0
1851,7.2
1852,2.8
1853,8.0
1854,1.8
1855,0.0
1856,3.0
1857,1.0
1858,0.0
1859,4.0
1860,3.0
1861,2.8
1862,1.0
1863,2.0
1864,4.0
1865,5.0
1866,2.0
1867,23.4
1868,4.0
1869,1.0
1870,1.6
1871,3.0
1872,2.0
1873,3.4
1874,3.6
1875,3.2
1876,14.0
1877,4.4
1878,0.0
1879,10.6
1880,5.2
1881,0.0
1882,9.6
1883,50.2
1884,26.6
1885,29.2
1886,10.0
1887,14.6
1888,19.8
1889,2.6
1890,3.2
1891,1.8
1892,1.6
1893,2.0
1894,31.4
1895,26.6
1896,2.0
1897,1.0
1898,3.2
1899,5.4
1900,1.0
1901,2.0
1902,15.0
1903,1.0
1904,1.0
1905,6.4
1906,1.6
1907,34.0
1908,18.2
1909,0.0
1910,1.0
1911,4.0
1912,1.0
1913,1.0
1914,1.0
1915,3.0
1916,5.0
1917,4.6
1918,1.0
1919,0.0
1920,3.0
1921,8.6
1922,4.0
1923,34.4
1924,0.0
1925,2.0
1926,6.0
1927,3.0
1928,0.0
1929,0.0
1930,1.0
1931,8.6
1932,0.0
1933,1.0
1934,1.0
1935,1.0
1936,1.0
1937,4.2
1938,1.6
1939,0.0
1940,11.0
1941,13.0
1942,0.0
1943,7.6
1944,2.0
1945,3.0
1946,2.0
1947,0.0
1948,0.0
1949,27.6
1950,5.8
1951,2.6
1952,3.8
1953,3.4
1954,1.0
1955,1.8
1956,1.6
1957,0.0
1958,16.0
1959,5.6
1960,2.8
1961,2.0
1962,1.0
1963,7.2
1964,6.2
1965,1.5
1966,1.0
1967,2.0
1968,9.2
1969,1.0
1970,9.0
1971,2.0
1972,6.8
1973,2.0
1974,5.2
1975,2.8
1976,4.0
1977,1.0
1978,15.2
1979,6.2
1980,1.0
1981,2.0
1982,1.8
1983,6.4
1984,1.0
1985,2.8
1986,3.8
1987,2.2
1988,2.6
1989,0.0
1990,1.0
1991,2.0
1992,2.0
1993,2.4
1994,2.2
1995,1.8
1996,1.0
1997,2.8
1998,3.0
1999,0.0
2000,56.6
2001,1.0
2002,22.0
2003,2.8
2004,3.0
2005,2.8
2006,1.8
2007,1.0
2008,4.4
2009,1.0
2010,3.6
2011,1.0
2012,11.8
2013,4.6
2014,2.6
2015,0.0
2016,1.0
2017,2.0
2018,6.2
2019,8.4
2020,12.0
2021,7.4
2022,1.8
2023,1.8
2024,1.0
2025,16.6
2026,3.0
2027,1.75
2028,9.2
2029,3.6
2030,1.0
2031,15.2
2032,4.25
2033,31.75
2034,2.8
2035,1.0
2036,1.6
2037,2.4
2038,17.333333333333332
2039,4.6
2040,42.2
2041,2.6
2042,3.0
2043,1.0
2044,12.2
2045,14.6
2046,3.0
2047,4.6
2048,1.8
2049,25.8
2050,1.4
2051,1.0
2052,1.8
2053,6.2
2054,1.0
2055,4.0
2056,2.5
2057,14.8
2058,1.0
2059,8.6
2060,7.0
2061,3.8
2062,1.0
2063,1.0
2064,0.0
2065,1.0
2066,4.0
2067,2.0
2068,0.0
2069,0.0
2070,47.0
2071,12.2
2072,28.6
2073,1.0
2074,6.8
2075,20.8
2076,1.8
2077,2.0
2078,4.0
2079,4.0
2080,1.0
2081,1.0
2082,0.0
2083,5.0
2084,3.0
2085,4.6
2086,2.6
2087,2.2
2088,2.8
2089,5.0
2090,1.0
2091,6.8
2092,3.0
2093,1.0
2094,1.0
2095,11.0
2096,2.0
2097,0.0
2098,0.0
2099,15.4
2100,4.6
2101,1.0
2102,0.0
2103,0.0
2104,33.6
2105,2.0
2106,4.0
2107,3.6
2108,1.0
2109,1.0
2110,40.2
2111,0.0
2112,1.0
2113,0.0
2114,1.0
2115,1.0
2116,2.0
2117,12.8
2118,6.0
2119,5.8
2120,1.0
2121,1.6
2122,3.0
2123,4.6
2124,5.4
2125,6.2
2126,2.8
2127,53.2
2128,0.0
2129,5.2
2130,15.8
2131,3.0
2132,7.8
2133,2.0
2134,1.4
2135,17.6
2136,30.0
