,EC
369,0.013082100000000003
370,0.0014535561999999998
371,0.0019097699999999999
372,0.000569
373,0.0048134816
374,0.0
375,0.0
376,0.0027875779999999998
377,0.000854
378,0.0018075576
379,0.0510220542
380,0.002937913
381,0.0004536666666666667
382,0.00047860000000000003
383,0.0073184894
384,6.857999999999999e-06
385,0.0150381092
386,0.0031820726
387,3.962e-07
388,0.007800674400000001
389,0.0059768896
390,0.00028919279999999997
391,0.0010109776666666667
392,0.0043345682000000005
393,0.0005101999999999999
394,0.0197010894
395,0.0013628686
396,0.0028595888
397,0.0002192
398,0.0
399,0.006764738199999999
400,0.0009527751999999998
401,0.0
402,0.0019024915999999998
403,0.0011647749999999998
404,0.00038920000000000003
405,0.0057051112
406,7.86e-05
407,0.028888380599999996
408,0.0
409,0.003479974333333333
410,0.003528473
411,0.0047230854
412,0.008209570199999999
413,0.0145004792
414,0.0022797216000000004
415,0.0012306968
416,4.664e-07
417,0.001769985
418,0.012901304400000002
419,0.0001538
420,0.000343
421,0.0
422,0.0090854806
423,0.0005757922000000001
424,0.0
425,0.0016078728
426,0.0
427,0.009075753
428,0.0
429,0.0172153596
430,0.0015803348000000001
431,0.0323193674
432,0.017174398
433,5.6074999999999994e-05
434,0.00020599999999999997
435,0.004476565399999999
436,0.0061134472
437,0.005469372
438,0.0036113850000000004
439,0.0003085
440,0.0026942330000000003
441,0.0016639408
442,0.00014631999999999997
443,0.00044
444,0.002792811666666667
445,0.018478359200000002
446,0.0045972574000000006
447,0.0051148871999999995
448,0.0003052
449,0.0042163109999999995
450,0.000388284
451,0.0008053757999999999
452,0.0013521088000000001
453,0.0
454,4.36e-05
455,0.0015803348000000001
456,0.0006708000000000002
457,0.00016710000000000002
458,0.005226189
459,3.324e-05
460,0.014124468400000001
461,0.0006799206000000001
462,0.0042856622
463,0.010843824600000001
464,0.015811988199999998
465,0.0009122923999999999
466,0.0015929450000000001
467,0.11399481200000001
468,0.0
469,0.0
470,0.0009119999999999999
471,0.01081002275
472,0.0052363164000000005
473,0.0051168684
474,0.027864289000000004
475,0.0194269774
476,0.0033563626
477,0.005847194599999999
478,0.011794495399999999
479,0.014529045599999998
480,0.000972233
481,0.0106277812
482,0.0020612112000000004
483,0.0
484,0.0302661252
485,0.0004438
486,0.012808609799999999
487,0.060786792000000006
488,0.0014881532
489,0.0107909048
490,0.0006606
491,0.0058310786
492,0.0030740698
493,0.00534465
494,0.000343
495,0.0049377282
496,0.0075545657500000005
497,0.0037499416
498,0.0101773672
499,0.0004934
500,0.0004915999999999999
501,0.0003235
502,0.0001501
503,0.0228160682
504,0.0018254964
505,0.0060779202
506,0.0467974334
507,0.0
508,0.0
509,0.0
510,8.233333333333333e-05
511,0.0199888198
512,0.0270346486
513,1.8820000000000003e-05
514,0.0028337924999999996
515,8.64e-06
516,0.0011204688000000002
517,0.0015374675999999998
518,0.029353233200000002
519,6.73e-05
520,0.00020859999999999997
521,0.0054411322499999994
522,0.013248378
523,3.792e-05
524,0.00010729999999999999
525,0.0041251138
526,0.0009415158
527,0.0060768398
528,4.67e-05
529,0.0007833333333333334
530,0.0021791152
531,0.0018088334
532,0.001554291
533,0.0007233254000000001
534,0.0095821646
535,0.0021372324
536,0.007584461200000001
537,0.0073894571999999995
538,0.00022825
539,0.0006092000000000001
540,0.0010441982
541,0.0
542,0.0
