,LAC
1976,0.45999999999999996
1977,0.0
1978,5.7928572
1979,0.338095248
1980,0.0
1981,0.0
1982,0.8
1983,3.7714286
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,0.0
1992,0.0
1993,0.0
1994,0.0
1995,0.0
1996,0.0
1997,0.53333336
1998,0.0
1999,0.0
2000,0.9426030900000001
2001,0.0
2002,0.0
2003,0.7333333599999999
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,0.64
2009,0.0
2010,0.0
2011,0.0
2012,4.6690476599999995
2013,0.34
2014,0.0
2015,0.0
2016,0.0
2017,0.0
2018,2.23809526
2019,0.37380953
2020,0.575
2021,1.24
2022,0.0
2023,0.0
2024,0.0
2025,7.59705876
2026,0.8000000399999999
2027,0.0
2028,0.0
2029,0.0
2030,0.0
2031,3.9285714000000005
2032,0.0
2033,0.7215545000000001
2034,0.0
2035,0.0
2036,0.0
2037,0.0
2038,1.2222222666666667
2039,0.8800000000000001
2040,0.29180191599999994
2041,0.0
2042,0.0
2043,0.0
2044,0.587412608
2045,0.7979487279999999
2046,0.0
2047,0.44000000000000006
2048,0.0
2049,3.3610029000000003
2050,0.0
2051,0.0
2052,0.0
2053,0.847619062
2054,0.0
2055,0.0
2056,0.0
2057,0.39536232799999993
2058,0.0
2059,1.096103922
2060,1.1428572
2061,0.72
2062,0.0
2063,0.0
2064,0.0
2065,0.0
2066,0.0
2067,0.0
2068,0.0
2069,0.0
2070,1.11463324
2071,1.048484828
2072,2.04410254
2073,0.0
2074,0.295238108
2075,1.16776458
2076,0.0
2077,1.0
2078,0.0
2079,0.5
2080,0.0
2081,0.0
2082,0.0
2083,0.0
2084,0.0
2085,0.9200000000000002
2086,0.0
2087,0.0
2088,0.0
2089,0.0
2090,0.0
2091,0.83333334
2092,0.0
2093,0.0
2094,0.0
2095,3.3414141600000002
2096,1.0
2097,0.0
2098,0.0
2099,0.223157892
2100,0.0
2101,0.0
2102,0.0
2103,0.0
2104,2.95740158
2105,0.0
2106,0.0
2107,0.0
2108,0.0
2109,0.0
2110,3.55176024
2111,0.0
2112,0.0
2113,0.0
2114,0.0
2115,0.0
2116,0.0
2117,0.036363638
2118,1.04380956
2119,0.346666672
2120,0.0
2121,0.0
2122,0.0
2123,1.1600000000000001
2124,0.7466666799999999
2125,0.20000000399999998
2126,0.0
2127,2.31152378
2128,0.0
2129,0.0
2130,0.396638664
2131,0.0
2132,0.133333332
2133,1.0
2134,0.0
2135,3.2893551200000006
2136,3.80916226
2137,0.0
2138,2.59086252
2139,0.0
2140,0.0
2141,0.48086581599999995
2142,0.0
2143,0.0
2144,0.0
2145,0.0
2146,0.0
2147,0.0
2148,0.0
2149,2.37666666
2150,0.0
2151,0.0
2152,0.0
2153,0.0
2154,0.0
2155,0.0
2156,0.0
2157,0.0
2158,0.0
2159,0.0
2160,6.455555640000002
2161,0.0
2162,0.0
2163,0.0
2164,2.9512820599999996
2165,0.0
2166,0.21818182400000002
2167,0.8214285740000001
2168,0.0
2169,0.0
2170,0.304761916
2171,0.0
2172,8.548571599999999
2173,0.0
2174,1.0
2175,6.448888919999999
2176,0.0
2177,0.0
2178,0.0
2179,0.0
2180,0.48000001999999997
2181,0.0
2182,0.53333336
2183,0.180952388
2184,0.5
2185,0.0
2186,0.0
2187,0.0
2188,0.0
2189,2.0
2190,1.8040133
