,S7N
381,434.06667999999996
382,233.1939657428571
383,17480.991175
384,0.0
385,67652.4072
386,4836.300671428571
387,1.5929453571428571
388,17492.346771428573
389,7294.879485714286
390,217.920173
391,429.96214666666674
392,878.6056471428573
393,74.11029433333333
394,48588.57257142857
395,1337.560457142857
396,1326.3958341666666
397,53.78759828571428
398,1.542415442857143
399,10081.861928285714
400,225.56583994999997
401,0.0
402,10197.98060142857
403,505.98400266666664
404,155.82461599999996
405,23789.917514285713
406,2.9388856800000003
407,2362730.2800000003
408,0.0
409,7685.2306
410,5990.819485714285
411,2909.8820942857137
412,52982.797600000005
413,124854.78957142857
414,2993.6746764285713
415,431.40841357142864
416,1.5836808333333334
417,1086.2845685714285
418,49359.33207142857
419,11.158314214285713
420,0.0
421,1.54196258
422,6455.501998185714
423,1.5416394999999998
424,1.5427227857142858
425,18247.3748
426,0.0
427,27199.36662857143
428,0.0
429,22747.42957142857
430,1639.9086885714285
431,287984.79314285715
432,166993.10624285712
433,1.640361
434,13.284516133333332
435,4244.525678571428
436,14303.880485714288
437,0.0
438,16810.90167075
439,0.0
440,35610.554
441,570.2440988571428
442,42.753939642857134
443,0.0
444,5925.447766666667
445,28286.484098142857
446,8745.120842857143
447,47349.38180000001
448,230.0431566666667
449,5073.688674285715
450,139.34289199999998
451,438.8320265714286
452,423.4644533333333
453,0.0
454,6.362254419999999
455,1639.9087185714286
456,125.3654442
457,9.921677675000002
458,5288.0145
459,2.9635508833333333
460,107294.38257142855
461,731.1168150000001
462,8213.345150000001
463,134127.5750757143
464,99005.67042857144
465,331.0136828571429
466,1314.7524066666667
467,1729890.3666666665
468,0.0
469,0.0
470,748.7361314285714
471,67949.4295325
472,34815.763871428564
473,24090.423501
474,186958.5342857143
475,88420.23160000001
476,884.9919685714285
477,0.0
478,166059.51814285715
479,86714.64485714286
480,483.49941800000005
481,23126.906666666666
482,0.0
483,0.0
484,1143952.792
485,60.074398200000005
486,23328.202742857142
487,0.0
488,290.592465
489,71684.9432
490,172.06081716666665
491,11740.720099999999
492,1784.6151411571432
493,10193.513108571427
494,160.02754
495,5072.068108571429
496,24064.316300000002
497,3024.613042857143
498,512527.0899571429
499,175.92745714285715
500,21.32776433333333
501,57.54331583333334
502,1.5425683333333335
503,1592595.3366428572
504,5842.5311678571425
505,11026.421142857142
506,370730.79142857145
507,1.5428142500000002
508,0.0
509,0.0
510,1.5426939333333334
511,38313.094574828574
512,42116.6178
513,1.7174778666666668
514,0.0
515,1.8828073
516,404.61830314285714
517,664.1411657142856
518,130685.38259999998
519,0.0
520,115.22953881428573
521,0.0
522,11937.999933428571
523,2.9748599428571425
524,15.823471257142858
525,3775.510138571429
526,1218.2394
527,16141.057071428571
528,4.651541180000001
529,813.00983
530,28154.209666666666
531,782.86668
532,2658.295176285714
533,376.91268233333335
534,33413.64542857143
535,567.4772714285715
536,76767.4242
537,66206.09360571428
538,11.14416525
539,1439.7077319999999
540,484.7196428571429
541,0.0
542,0.0
543,6879.5421857142865
544,17096.770281142857
545,9647.707900000003
546,0.0
547,1.6221747666666666
548,7.544299314285715
549,2474.3341857142855
550,1735.90725
551,815.3198777142859
552,11575.350288285714
553,1666.6704499999998
554,2400176.369
555,1.5418285
556,5.551459357142856
557,498.8960139999999
558,1787.7226962857142
559,14941.866814285715
560,28249.613571428577
