,D7N
454,1.0
455,1.0
456,2.2
457,1.0
458,1.4285714285714286
459,1.0
460,7.571428571428571
461,1.0
462,5.571428571428571
463,10.142857142857142
464,9.0
465,4.0
466,1.0
467,35.0
468,0.0
469,0.0
470,1.4285714285714286
471,4.75
472,13.0
473,4.142857142857143
474,39.0
475,7.8
476,3.4285714285714284
477,0.0
478,5.285714285714286
479,27.0
480,1.0
481,2.0
482,0.0
483,0.0
484,17.0
485,1.0
486,11.142857142857142
487,0.0
488,1.0
489,6.5
490,1.0
491,2.0
492,2.2857142857142856
493,2.0
494,1.0
495,1.2857142857142858
496,2.5
497,8.0
498,6.285714285714286
499,4.571428571428571
500,2.0
501,1.0
502,1.0
503,30.714285714285715
504,3.5714285714285716
505,5.857142857142857
506,20.428571428571427
507,1.0
508,0.0
509,0.0
510,1.0
511,5.142857142857143
512,9.0
513,1.0
514,0.0
515,1.0
516,3.0
517,1.1428571428571428
518,11.8
519,0.0
520,1.4285714285714286
521,0.0
522,3.7142857142857144
523,1.0
524,1.7142857142857142
525,3.0
526,3.0
527,2.0
528,1.6
529,1.0
530,10.0
531,1.0
532,4.714285714285714
533,1.0
534,7.0
535,5.714285714285714
536,23.8
537,7.428571428571429
538,1.0
539,1.8
540,3.2857142857142856
541,0.0
542,0.0
543,4.285714285714286
544,6.142857142857143
545,1.5714285714285714
546,0.0
547,1.0
548,2.0
549,3.0
550,1.0
551,3.5714285714285716
552,2.5714285714285716
553,1.0
554,45.57142857142857
555,1.0
556,1.0
557,5.0
558,2.2857142857142856
559,1.8571428571428572
560,3.5714285714285716
561,1.5
562,2.0
563,1.0
564,5.714285714285714
565,5.142857142857143
566,1.0
567,2.5714285714285716
568,12.0
569,6.571428571428571
570,6.714285714285714
571,2.75
572,5.5
573,11.857142857142858
574,2.7142857142857144
575,2.7142857142857144
576,29.0
577,1.0
578,5.714285714285714
579,12.857142857142858
580,2.2857142857142856
581,4.285714285714286
582,2.5714285714285716
583,1.0
584,3.7142857142857144
585,5.285714285714286
586,1.7142857142857142
587,3.0
588,1.0
589,2.2857142857142856
590,0.0
591,4.142857142857143
592,11.857142857142858
593,5.571428571428571
594,0.0
595,23.0
596,7.714285714285714
597,8.0
598,5.428571428571429
599,1.0
600,2.7142857142857144
601,8.857142857142858
602,24.714285714285715
603,11.0
604,1.0
605,36.0
606,4.0
607,0.0
608,0.0
609,1.0
610,1.0
611,2.0
612,1.0
613,1.0
614,28.714285714285715
615,23.75
616,19.142857142857142
617,8.6
618,1.0
619,0.0
620,0.0
621,1.5
622,1.8571428571428572
623,19.857142857142858
624,30.285714285714285
625,3.0
626,1.0
627,1.0
628,1.25
629,40.0
630,2.2857142857142856
631,1.0
632,7.0
633,2.7142857142857144
634,6.2
635,2.5714285714285716
636,17.75
637,2.0
638,1.0
639,26.571428571428573
640,13.8
641,0.0
642,1.0
643,1.6
644,2.6
645,13.5
646,0.0
647,0.0
648,1.0
649,3.5714285714285716
650,4.285714285714286
651,2.0
652,1.0
653,7.714285714285714
654,0.0
655,10.571428571428571
656,3.7142857142857144
657,0.0
658,1.0
659,3.2857142857142856
660,4.5
661,1.0
662,2.0
663,0.0
664,1.0
665,20.714285714285715
666,2.857142857142857
667,3.857142857142857
668,1.0
669,1.0
670,1.7142857142857142
671,1.0
672,2.0
673,0.0
674,1.0
