geneID,id,essential
ASTE1,506,0
RNF19A,507,1
PEX3,508,1
GABARAPL2,509,0
MYOC,510,0
SH3YL1,511,0
FAM136A,512,0
VCL,513,1
DEPDC1B,514,1
DAPK2,515,0
NSMAF,516,0
ADSS2,517,1
STAP1,518,0
TIMP2,519,1
RFC1,520,1
TBC1D23,521,0
CUL3,522,1
MYOM2,523,0
OTC,524,0
CYP46A1,525,0
SLC18A1,526,0
USP2,527,0
CASR,528,1
TUBG2,529,0
RPL26L1,530,0
FLT4,531,0
NSUN2,532,0
FBXO42,533,0
MFAP3,534,0
MRI1,535,0
METTL1,536,1
HOXC8,537,0
AGA,538,0
PI4K2B,539,1
BOD1L1,540,1
MAT2B,541,0
TLL1,542,0
EDC4,543,1
TRIO,544,1
VCAN,545,0
CLEC16A,546,0
MSR1,547,0
CDH1,548,1
MTREX,549,1
DNAH5,550,0
ZFYVE16,551,1
RIPOR1,552,0
C6,553,1
RAI14,554,0
SOX30,555,0
PNKP,556,1
BEST2,557,0
PHLPP2,558,0
SPDL1,559,1
STAU2,560,1
SLC66A1,561,1
CTNS,562,1
RTN4R,563,1
PHF23,564,1
CDH10,565,0
INPP4A,566,0
RAB27B,567,0
PSMA4,568,1
MYO16,569,0
LSG1,570,1
PARP3,571,0
TNC,572,1
THAP3,573,0
RIPOR3,574,1
TDP1,575,1
AIFM2,576,1
C2orf83,577,0
SPATA7,578,1
MED17,579,1
RETSAT,580,0
CAPG,581,0
AP2S1,582,1
USH2A,583,0
ZPBP,584,1
TG,585,0
ADAM28,586,0
BARX2,587,0
DCUN1D1,588,0
JADE2,589,1
ZIC2,590,0
LCP2,591,0
TRIT1,592,1
ADRB1,593,0
GUCA2B,594,0
CUL7,595,0
CTNNA1,596,1
PHKA2,597,1
CNTLN,598,0
EPHA3,599,1
HSPA5,600,1
DSG2,601,1
GEMIN8,602,1
OFD1,603,1
GPM6B,604,0
MAGEC2,605,0
PREX2,606,0
WDR37,607,1
YTHDC2,608,0
CTPS2,609,0
ATP6V1H,610,1
POLR2B,611,1
FAM214A,612,0
ARAP2,613,0
TPR,614,1
CP,615,0
KATNIP,616,0
DTNBP1,617,0
XK,618,0
ANO2,619,0
C12orf4,620,0
SCML1,621,0
WWC3,622,0
ARHGAP6,623,0
FAM184B,624,0
MAP4,625,1
GOPC,626,1
ROS1,627,1
USP28,628,1
HDAC9,629,1
TSPAN17,630,0
NOP16,631,1
CC2D2A,632,0
RRM2B,633,1
ZNF800,634,0
TNFRSF17,635,1
SNX29,636,0
LMO3,637,1
MRPS10,638,1
GUCA1A,639,1
RSF1,640,0
VPS13D,641,1
CELF2,642,0
FAM120A,643,1
R3HDM1,644,0
COL9A2,645,0
KITLG,646,0
ERCC8,647,0
ADAMTS6,648,0
H6PD,649,0
VAMP3,650,0
PER3,651,0
UTS2,652,0
TNFRSF9,653,1
EPN3,654,1
LTBP1,655,0
RCN1,656,1
ELN,657,1
RFC2,658,1
ARID1B,659,1
CLPTM1L,660,0
NEDD4L,661,1
FOXP3,662,0
PPP1R3F,663,0
HEXB,664,0
PTCD2,665,0
NEXMIF,666,0
JKAMP,667,0
DKK3,668,1
ARHGEF5,669,0
NFE2L3,670,0
MCUR1,671,1
LIMA1,672,1
LETMD1,673,0
SLC4A8,674,0
LAMC3,675,1
PTGER3,676,0
TNIP3,677,0
MAPK9,678,1
COL23A1,679,0
BCAR1,680,1
FAM160A2,681,1
HERPUD1,682,0
HOMER3,683,0
RAD51,684,1
POLQ,685,1
PIK3CB,686,1
CYBA,687,0
THOC3,688,1
HEBP2,689,1
MPHOSPH9,690,0
PLEKHA5,691,0
PRSS8,692,0
SIKE1,693,1
RRP12,694,1
FNIP2,695,0
MSMO1,696,1
TTC17,697,0
ALX4,698,0
FSTL4,699,0
FOXN3,700,1
METTL24,701,0
AKR7A2,702,0
MRTO4,703,1
NNAT,704,0
USE1,705,1
MCF2L2,706,0
NRIP2,707,0
LAMA3,708,0
AP5M1,709,0
ANAPC4,710,1
KCNQ1,711,0
TRAPPC3,712,1
THRAP3,713,1
PHPT1,714,0
ENTPD2,715,0
LY75,716,0
ARID4B,717,1
OPN3,718,0
SDCCAG8,719,1
PTPRN,720,1
HHAT,721,0
KIF1B,722,0
FOXC1,723,0
TBC1D22A,724,0
SYNE2,725,0
PLEKHH1,726,1
ATP9A,727,1
SPO11,728,0
CBLN4,729,1
CHRDL2,730,0
FAM168A,731,0
RELT,732,1
GALC,733,1
NOP58,734,1
SZRD1,735,1
KCNH2,736,0
CUL1,737,1
FAM114A2,738,0
CYFIP2,739,0
TAB2,740,0
GINM1,741,0
EIF2AK2,742,1
USP36,743,1
KMT2C,744,1
MCOLN3,745,0
CCDC85A,746,0
PUM2,747,1
MRPL43,748,1
ITIH4,749,0
ITIH1,750,0
HPF1,751,0
ZFR,752,1
ZNF280C,753,0
NPFFR2,754,0
PHF21B,755,1
TRAF1,756,0
RC3H2,757,0
IL17RB,758,0
TRAF3IP2,759,0
GYG2,760,0
DCBLD2,761,1
SERPINB3,762,0
SOAT1,763,0
PKP2,764,0
MSH4,765,1
F7,766,0
GDI2,767,1
PRDM1,768,0
ATG5,769,1
TMCC3,770,0
PITHD1,771,0
MTA3,772,1
USP13,773,0
ATP11B,774,0
LAMC2,775,0
CDK14,776,0
SEC61A1,777,1
PPP1R12A,778,1
RASGRF1,779,0
CAMK2B,780,0
CROCC,781,1
POLR3E,782,1
ATP2B4,783,0
ZC3H11A,784,1
RIOK2,785,1
YIPF1,786,0
NDC1,787,1
DGKG,788,1
FLYWCH1,789,1
UNKL,790,1
TBXAS1,791,0
PARP12,792,1
ALDH18A1,793,1
TARBP1,794,0
GATB,795,1
MXD1,796,1
CDK17,797,1
DNAJC25,798,0
SLC2A3,799,1
PSD,800,0
CTDP1,801,1
YBX3,802,1
STYK1,803,0
WNK1,804,1
CCAR1,805,1
OGFR,806,1
GNA15,807,0
CREB3L3,808,0
PIGV,809,1
PTPRU,810,0
SNRNP40,811,1
RIMBP2,812,0
COL11A1,813,1
QSER1,814,0
MPC1,815,0
ACAA1,816,1
BCAT1,817,1
HDAC7,818,1
LZTS1,819,0
PRDM6,820,0
WNT8A,821,0
SPAG4,822,1
NCKAP1,823,1
MRPS35,824,1
GUCY1B1,825,0
SFSWAP,826,1
TNK2,827,0
MON2,828,1
CDH3,829,1
ARSF,830,0
GPBP1,831,1
DGAT2,832,0
ZNF112,833,1
CS,834,1
LTK,835,1
MRPS24,836,1
ELMO2,837,1
WAPL,838,1
VMP1,839,1
APPBP2,840,1
POLD1,841,1
SEZ6,842,0
EIF4B,843,1
SLC6A16,844,0
BICRA,845,0
SPHK2,846,0
RPL18,847,1
CA11,848,0
ISOC2,849,0
U2AF2,850,1
EPN1,851,0
MED29,852,1
GSC2,853,1
ZNF275,854,0
MTMR1,855,0
GPC1,856,0
ADCK1,857,1
HAGH,858,0
RNF4,859,1
CASP8,860,0
LIMCH1,861,0
INTS13,862,1
TM7SF3,863,0
DLX3,864,0
SPA17,865,1
TSPAN32,866,0
CCN5,867,0
DMRT3,868,0
ST3GAL6,869,1
ATP2C2,870,1
NGFR,871,0
CDON,872,0
TAF2,873,1
HIPK2,874,1
TNPO3,875,1
RFXANK,876,0
TMEM161A,877,0
LPAR2,878,1
CTSA,879,0
SUGP2,880,1
SLC12A2,881,0
SNX24,882,0
EYA2,883,0
CNN2,884,1
ABCA7,885,0
SNCAIP,886,1
DDX20,887,1
BTBD1,888,1
FAR2,889,0
BCAS1,890,1
POU1F1,891,0
CHI3L2,892,1
SBNO2,893,0
PMS1,894,1
HMG20B,895,0
CALCRL,896,0
TAF11,897,1
ANKS1A,898,0
AP3D1,899,1
ZNF76,900,1
SLC9A3R2,901,1
NTHL1,902,0
UHRF1BP1,903,0
GNAI3,904,0
IPO5,905,1
OAT,906,0
WDR3,907,1
PKN2,908,1
WDR18,909,1
TRAM2,910,1
NTN1,911,0
GLP2R,912,0
MCM10,913,1
DGKA,914,1
ERBB3,915,1
ROPN1,916,1
ANKRD44,917,0
KARS1,918,1
ADAT1,919,0
PDIA5,920,0
TBC1D22B,921,0
NDUFB4,922,1
SPEN,923,1
MYLK,924,1
ZC3H15,925,1
MAP2K4,926,1
PACC1,927,1
SNAP91,928,0
SLK,929,1
CYB5R4,930,1
COL17A1,931,1
GSTO2,932,0
SEC61A2,933,0
PRKCQ,934,1
TLE2,935,1
ASB1,936,0
FAM107B,937,0
ME1,938,0
TBC1D1,939,1
CDK13,940,1
MTHFD2,941,1
SLC9A7,942,0
FOXJ2,943,0
YBX1,944,1
PDE4A,945,1
PPP2R5A,946,1
CTNNA2,947,0
ELAVL1,948,0
TIE1,949,1
DIP2B,950,0
SMARCD1,951,1
KDM4A,952,1
NFYC,953,1
ZMYND12,954,0
SLC9A3,955,0
NGEF,956,0
ASPM,957,1
CD84,958,0
ELOVL1,959,1
SPI1,960,1
POLR1H,961,1
MPPED2,962,0
CLDN18,963,0
ZBTB11,964,1
ATXN3,965,1
GOLGA5,966,0
FGFR2,967,1
LRRC40,968,0
ISOC1,969,0
EML1,970,0
TRMT11,971,0
