geneID,essential,,geneID2,essential
AK2,E,,DNASE1L1,1
AK2,E,,DDX11,1
AK2,E,,HEBP1,1
AK2,E,,GPRC5A,0
AK2,NE,,MAMLD1,1
AK2,NE,,CD6,0
CD38,NE,,TACC3,1
CD38,NE,,UFL1,1
CD38,NE,,POLA2,1
CD38,NE,,ZC3H3,1
CD38,NE,,CAPN1,0
CD38,NE,,ACP3,1
CD38,NE,,MDH1,1
FKBP4,E,,SLC30A9,1
FKBP4,NE,,MTMR11,0
FKBP4,NE,,COX15,1
FKBP4,NE,,CCDC88C,0
FKBP4,NE,,YAF2,1
FKBP4,NE,,ZMYND11,0
FKBP4,NE,,WAS,0
KDM1A,E,,DPEP1,0
KDM1A,E,,BID,1
KDM1A,E,,MATR3,1
KDM1A,NE,,NPC1L1,0
KDM1A,NE,,XYLT2,1
KDM1A,NE,,RGPD5; RGPD6,1
KDM1A,NE,,STMN4,0
KDM1A,NE,,NUDCD3,1
KDM1A,NE,,ISL1,0
RBM6,E,,CHDH,0
RBM6,NE,,IL20RA,0
RBM6,NE,,CLCA1,0
RBM6,NE,,CLCA4,0
RBM6,NE,,GLT8D1,0
RBM6,NE,,ATP2C1,0
RBM6,NE,,IGF1,1
RBM6,NE,,SLC38A5,1
CAMKK1,E,,RALBP1,1
CAMKK1,NE,,RUFY3,0
CAMKK1,NE,,CNTN1,1
CAMKK1,NE,,SLC11A1,1
CAMKK1,NE,,WWTR1,1
CAMKK1,NE,,AGPS,1
CAMKK1,NE,,CXorf56,1
RECQL,NE,,ATP1A2,1
RECQL,NE,,TTC27,1
RECQL,NE,,ZNF582,0
RECQL,NE,,VSIG2,0
RECQL,NE,,PHLDB1,1
RECQL,NE,,MARCO,1
RECQL,NE,,CYP24A1,0
VPS50,NE,,PRDM11,0
VPS50,NE,,SYT13,0
VPS50,NE,,SNAI2,0
HSPB6,NE,,CD74,0
HSPB6,NE,,HGF,1
HSPB6,NE,,ZRANB1,1
HSPB6,NE,,NCDN,0
HSPB6,NE,,ADGRA2,0
ARHGAP33,NE,,ZFP64,0
ARHGAP33,NE,,MNAT1,1
ARHGAP33,NE,,SAMD4A,0
ARHGAP33,NE,,RUNX3,0
ARHGAP33,NE,,MRE11,1
ARHGAP33,NE,,PLEKHB1,1
ARHGAP33,NE,,SERPINB1,0
NDUFAB1,E,,CYP3A43,1
NDUFAB1,E,,SLC7A9,0
NDUFAB1,E,,SPAST,1
NDUFAB1,E,,NRXN3,0
NDUFAB1,E,,OSBPL5,1
NDUFAB1,E,,AQR,1
NDUFAB1,E,,CPS1,0
NDUFAB1,NE,,C8B,0
PDK4,E,,FHL1,0
PDK4,NE,,RTF2,1
PDK4,NE,,GABRA1,0
PDK4,NE,,NLRP2,0
PDK4,NE,,SLC45A4,0
PDK4,NE,,RNF10,0
PDK4,NE,,ZNF839,0
SLC22A16,NE,,ZDHHC6,0
SLC22A16,NE,,GRAMD1B,0
SLC22A16,NE,,RNH1,1
SLC22A16,NE,,NDUFS1,1
SLC22A16,NE,,RB1CC1,1
SLC22A16,NE,,ERP44,1
SLC22A16,NE,,ALAS1,1
ZMYND10,E,,BIRC3,1
ZMYND10,NE,,AKAP11,1
ZMYND10,NE,,GLRX2,1
ZMYND10,NE,,SNAPC1,1
ZMYND10,NE,,DERA,0
ZMYND10,NE,,STRAP,1
ZMYND10,NE,,ABCC2,1
ZMYND10,NE,,DEF6,0
ABCB5,E,,PLEKHO1,0
ABCB5,NE,,GCLM,0
ABCB5,NE,,UBR2,0
ABCB5,NE,,EHD2,1
ABCB5,NE,,DEPDC1,1
ABCB5,NE,,CCDC28A,0
ABCB5,NE,,RRAGD,0
ABCB5,NE,,HSF2,0
ARX,NE,,PHF20,1
ARX,NE,,HSD17B6,0
ARX,NE,,NR1H3,1
ARX,NE,,TYMP,1
ARX,NE,,NCAPH2,1
ARX,NE,,TOMM34,0
ARX,NE,,SEC63,1
SLC25A13,E,,KPNA6,1
SLC25A13,E,,VIM,1
SLC25A13,NE,,FAS,0
SLC25A13,NE,,RNASET2,0
SLC25A13,NE,,CD44,1
SLC25A13,NE,,KCNG1,0
SLC25A13,NE,,AGPAT4,0
SLC25A13,NE,,SLAMF7,0
SLC25A13,NE,,BTN3A1,0
ST7,E,,MIPEP,1
ST7,NE,,PRKCH,1
ST7,NE,,INSRR,0
ST7,NE,,IFNGR1,0
ST7,NE,,B4GALT7,1
ST7,NE,,SH2D2A,0
ST7,NE,,VRK2,1
ST7,NE,,TNFRSF1B,1
CDC27,E,,VEZT,1
CDC27,E,,POU2F2,1
CDC27,E,,BRD9,1
CDC27,E,,SNX1,0
CDC27,E,,TBPL1,0
CDC27,E,,ARNTL2,0
CDC27,NE,,BCLAF1,1
