geneID,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11
SPTBN5,0.7716,0.8987,4.112,7.5766,13.0654,0.8517,0.634,6.6417,0.5785,8.3906,8.3037
GCHFR,9.515,11.2936,15.9838,22.9772,11.2319,9.6041,7.8683,21.7703,13.5788,13.9623,15.3845
BCAR3,9.2066,12.3204,13.786,14.2437,12.4724,17.4985,11.8134,12.8651,11.4285,12.9253,13.0054
TTLL7,15.4859,12.3883,7.8479,9.107,7.3227,11.4304,7.5032,4.4375,9.0137,5.7355,6.3043
FNBP1L,4.4161,3.0927,9.7787,26.1254,21.6721,4.84,1.3148,16.1495,5.3536,12.0803,20.3435
KYAT3,0,0,0,0,0,0,0,0,0,0,0
GTF2B,14.4475,12.1621,17.3478,22.2432,22.6733,12.4184,12.36,17.7589,15.2969,16.6051,21.5186
BRDT,0.0421,0.0263,0.0113,0.0141,0,0.0661,0.0088,0.0103,0.022,0.0517,0.0262
RABGGTB,29.2915,26.9129,36.5539,45.8265,32.381,26.4923,17.7233,37.6923,46.6142,43.2424,37.9722
IFI44L,1.2639,0.9783,1.0248,2.6821,4.0805,1.0746,0.8152,3.3439,2.0356,1.7483,15.679
GIPC2,2.0707,1.5204,2.3929,3.8621,2.7575,0.7589,1.7468,1.0614,1.0905,1.6333,2.1587
ARHGAP29,5.4757,4.3383,5.0555,5.7415,6.0013,4.6366,2.8024,5.1214,3.6899,4.1953,4.0221
IFI44,5.933,5.6929,9.3717,17.2307,24.3996,4.1225,3.4781,17.1425,6.7984,11.2724,35.921
SLC44A5,0.1717,0.3527,1.0879,2.1893,5.0646,0.326,0.1607,5.9309,0.2218,3.3078,2.1452
CLCA2,0.106,0.3967,0.2969,85.227,5.3442,0.2377,0.0799,3.2473,0.0998,0.9809,1.5012
DNASE2B,0,0.1582,0,0.1698,0.0416,0,0.0266,0,0.0332,0,0
DBT,5.0499,5.0544,5.7957,5.3626,6.1724,4.1244,4.3514,5.4716,4.4678,4.6283,5.9385
RTCA,0,0,0,0,0,0,0,0,0,0,0
IFT172,9.3217,9.6889,9.5851,9.2973,8.4212,9.7494,8.8266,11.0636,9.1563,8.2698,10.875
SELENOI,0,0,0,0,0,0,0,0,0,0,0
CGREF1,0.028,0.2795,0.4526,0.075,0.2022,0.1005,0.1877,0.2869,0.6738,0.1261,0.3479
HADHB,43.5651,69.8595,67.208,60.4222,74.0981,51.3858,48.2104,56.8491,52.2016,53.9757,57.8107
KHK,2.1752,2.6431,0.8109,0.8954,1.2299,1.8753,2.6905,0.9628,1.6622,1.0822,1.4131
ADCY3,8.2114,11.1196,17.5932,14.037,15.6185,11.226,7.4295,15.525,24.348,15.2402,14.3447
PPM1B,14.1232,11.9701,12.7926,13.4751,9.8403,20.3629,10.5918,11.2555,10.368,13.2008,10.0522
PNPT1,6.0941,6.5229,7.5067,6.6071,5.9317,5.3552,6.2664,6.5616,9.4903,6.7053,6.8857
DYNC2LI1,6.8322,7.6223,8.1415,15.3027,13.3931,5.019,5.0204,12.0588,5.5079,10.2842,11.7697
LHCGR,0.3863,0.3441,0.2526,0.3322,0.163,0.3711,0.1155,0.8745,0.1731,0.5985,0.1199
THUMPD2,7.2235,5.4609,7.3878,11.7817,7.9048,5.1225,4.3124,8.9973,6.8874,7.1797,9.1294
CYP1B1,3.8337,3.1184,8.3381,0.7533,9.0856,12.4944,1.7752,3.8602,14.4939,3.0775,3.445
SULT6B1,0,0,0.0984,0,0.06,0,0,0.0446,0.1433,0,0
RAB1A,51.9991,49.5788,58.5589,62.6766,69.4572,48.7056,44.751,62.9965,64.2991,57.3447,55.1364
ACTR2,29.6086,36.482,39.3587,40.8148,45.8886,27.9165,26.7659,36.6677,32.9662,36.7845,37.5662
PREB,20.3284,27.8832,28.1794,24.7693,27.4318,22.345,30.6638,23.1149,37.4,18.4174,25.8834
SLC5A6,8.607,9.5769,11.5266,12.4968,7.1324,8.6297,10.6188,10.2189,23.2613,9.4401,8.6897
ABCG5,0.0467,0.0388,0.0503,0,0.0204,0,0.013,0.0304,0.0977,0.0382,0.0387
PREPL,10.301,10.907,13.9549,12.1706,10.7554,11.7469,11.3311,11.2432,11.8242,8.2244,13.9359
SLC3A1,0.1103,0.0917,0.1585,1.6239,0.0724,0.1154,0.0462,0.1256,0.0577,0.0903,0.137
EMILIN1,128.883,149.3072,85.9582,27.3219,63.1521,120.9341,106.6361,40.916,159.9007,43.5916,79.3788
FBXO11,22.7172,20.9469,23.1484,24.6272,20.9216,22.4424,16.8374,21.384,21.195,21.7293,23.3856
SIX3,0.0169,0.0141,0,0.0452,0.0888,0.0455,0.0425,0.1484,0,0,0.105
ATRAID,0,0,0,0,0,0,0,0,0,0,0
CENPO,1.2165,1.7051,2.4579,3.5105,3.8267,1.4873,0.8083,3.8634,2.6913,2.8148,3.2839
LRPPRC,21.5693,21.855,25.0491,23.9663,19.1723,18.1133,20.3041,22.005,26.6052,23.9271,21.0075
TRIM54,0.3728,0.0689,0.1562,0.0831,0.4078,0.1671,0.052,0.1616,0.1083,0.0509,0.1286
DTNB,2.3106,2.9204,6.877,16.751,10.8398,2.2396,2.1966,11.085,1.7468,9.8157,13.4756
ACTR1A,77.94,77.7983,70.2338,37.5518,39.687,84.4332,80.5831,39.2246,70.7366,47.2949,35.7824
CYP2C9,0.0688,0.0762,0.1482,0.092,2.7384,0.1028,0.0384,0.1789,0,0.0751,0.0854
MFSD13A,0,0,0,0,0,0,0,0,0,0,0
CYP2C8,0.2319,0.3155,0.4314,1.0717,0.498,0.189,0.0706,1.4598,0.1763,0.535,1.0734
MYOF,38.0539,45.4465,41.8302,120.6805,133.9619,54.1209,50.3179,108.9227,38.7285,79.0893,83.2695
LOXL4,4.4803,8.1577,3.9583,1.9668,2.7258,4.6341,9.5269,2.4807,3.1842,2.5503,2.9415
STAMBPL1,1.3245,2.5749,3.994,7.0331,6.1779,1.4433,1.4505,6.3793,1.5554,2.8358,9.7682
CH25H,0.4645,1.4673,6.0026,1.9884,6.7463,0.4442,0.7779,3.6843,10.6522,2.763,11.7673
LBX1,0.0332,0,0,0,0.0436,0,0,0,0.0347,0.0815,0
ATAD1,12.9382,15.3279,16.5245,20.7146,18.126,13.1258,11.7423,19.2574,12.9701,17.4421,18.6884
BTBD16,1.1775,4.3573,15.1686,39.0436,71.3362,2.6911,1.2375,43.2359,0.676,42.3207,54.6542
KIF11,0.6974,0.9431,0.8688,1.866,2.3491,0.6479,0.5278,0.7048,0.5623,0.5984,0.8244
CUZD1,0,0,0,0,0,0,0,0,0,0,0
TACC2,27.965,30.1498,23.268,20.3374,12.342,35.4134,16.2208,14.6286,26.135,15.5207,12.7859
DUSP5,8.1184,3.8167,12.8881,26.4866,28.0454,7.0972,3.1521,15.5561,7.183,15.1438,25.4684
CALHM2,23.6874,30.9409,29.0716,24.8071,22.0389,31.5621,20.4059,27.1594,31.8653,23.6392,23.5999
ARL3,10.8377,9.9991,9.0744,7.8684,8.7025,7.3765,9.7588,10.1512,9.6971,9.0707,9.1784
CEP55,0.1766,0.3336,0.0346,1.4174,2.5915,0.6045,0.3899,0.2035,0.0671,0.2365,0.3788
KIF20B,1.0278,0.9332,0.7064,1.3117,1.2248,0.5274,0.487,0.7452,0.7283,1.1404,1.0246
