name,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12
YER002W,1.158321679,0.77019157,1.157457431,1.656234344,1.837354064,1.997471928,2.24565498,7.529574633,5.391163745,1.699805578,2.689597686,2.630363782
YER003C,9.839734234,6.657947063,4.35281531,5.650042216,4.774276733,5.580970923,5.30619065,5.420167446,6.540848414,13.35849953,14.55549844,11.28587882
YER004W,25.64408429,36.06837336,33.23070908,36.29646174,33.82966042,32.10246213,35.7200826,24.61279742,8.208048662,10.78750102,13.72510942,13.27028052
YER005W,1.312942664,0.850485623,0.897290051,1.016657531,0.938557049,1.060441573,1.012069921,1.672793746,1.638926506,1.430111249,1.293515126,1.226253946
YER006W,1.460403045,0.66273586,1.409603,1.364759644,1.530629555,1.958669027,2.413552523,7.095224381,7.561555385,1.723316073,2.20901974,2.398572842
YER007C-A,6.293487072,4.733026822,5.544252237,5.666388989,5.618193627,6.146402995,6.441376368,9.343024256,9.496175765,6.727072557,6.479232152,6.024645487
YER007W,0.59855032,0.668835898,0.706220269,0.725548943,0.555551837,0.670543412,0.577830205,0.71013391,0.69928205,0.607987066,0.599383135,0.608020524
YER008C,2.684484641,2.481671174,2.58736221,2.466993809,2.30596145,2.594200214,2.468939622,2.490806421,2.738191684,2.396307945,2.493732691,2.327911774
YER009W,12.42536481,10.67608356,10.04329777,8.829581261,8.684440931,9.309542338,7.617992401,10.83073616,14.96651554,12.54471366,10.97876421,11.87713909
YER010C,4.728140513,5.871089458,5.206030687,5.278178533,5.497142633,6.294604778,5.456412792,4.268205007,3.072735071,3.833527009,3.778846741,3.526676893
YER011W,1.512930672,3.01938955,3.121398926,2.817067146,3.148869991,2.792310715,5.12160786,3.105271936,1.613095204,1.167889654,1.447138647,0.924113631
YER012W,10.0934337,11.71001561,10.92520714,10.36832873,11.09844907,10.60715771,9.653379121,8.199920813,7.695736408,9.462101299,9.880230587,8.389453252
YER013W,1.241162022,0.973195354,1.180836697,1.142554283,1.287232558,1.249895533,1.223109643,1.335483829,1.549905062,1.17623802,1.211701592,1.15374426
YER014W,2.361628135,2.643142939,2.584482034,2.541957935,2.585667928,2.510292689,2.563336531,2.635938406,0.907186945,1.562951088,1.544119596,1.4206779
YER015W,11.4024566,14.66519324,8.015333652,7.120492141,6.101906141,5.396215916,5.730217934,3.575240811,0.429252644,0.395500372,0.750971735,1.298898081
YER016W,1.100516915,1.010306557,0.937148392,0.751073798,0.735826254,0.664943397,0.747890671,0.661816915,0.787167092,1.24253875,1.248123129,1.054002901
YER017C,9.57392756,8.100747268,6.644539038,5.883114338,6.282598019,5.372628053,5.904461702,3.752381086,6.60641257,6.52567482,7.716038704,6.816996892
YER018C,4.007773717,2.569871664,2.133364121,1.634673794,1.648395856,1.291931907,1.579267939,1.521198312,2.788381497,3.386025588,4.125187874,3.027915319
YER019C-A,18.82078489,18.39166514,19.65541713,18.42397372,17.85495885,17.80298233,16.30821101,19.26953507,19.44073804,17.85289765,16.94789759,17.4852403
YER019W,3.138502677,2.016386231,1.772623698,1.645376007,1.501697779,1.333536386,1.533884208,1.515745799,2.672839681,2.835550467,2.972128391,2.460739692
YER020W,12.22943147,10.44508966,9.769318263,9.666001956,8.727938493,8.361491679,8.136505604,5.455229203,11.15115754,9.604913394,6.785078526,6.854906241
YER021W,4.774107139,7.313262781,6.784030756,6.900820255,5.588039557,5.58177948,5.490493616,4.967099508,4.389110406,5.272329807,4.439848423,4.929458936
YER022W,0.579001824,0.749035398,0.668517639,0.807316045,0.710377614,0.659017662,0.566580892,0.690751612,0.736447513,0.775589645,0.641618272,0.808007896
YER023W,16.07413324,15.46861776,13.21946589,12.35567506,10.47212219,9.703701973,9.335679213,10.70840073,11.08390204,10.75993792,12.68596141,13.35363006
YER025W,8.208083153,6.512259324,5.618192196,6.651019414,7.200676759,7.148664315,6.248913606,12.44836632,15.67091433,9.58092022,8.377887885,9.798085847
YER026C,15.67470328,13.1888415,11.60703691,10.38980723,9.150524299,8.907732328,7.408685845,6.648220698,8.66378371,8.860287348,12.45081584,14.9794035
YER027C,2.600571195,2.869680881,2.570256233,2.543887059,2.364990353,2.457152128,2.579048077,2.570640564,3.786392133,3.492509444,2.592885256,2.576404889
YER028C,0,0,0,0,0,0,0,0,0,0,0,0
YER029C,1.891583482,2.934108496,2.752759695,2.855233272,2.534506082,2.603624344,2.08504498,4.140518665,3.90029184,2.37527585,2.201182922,2.329774141
YER030W,7.084975561,11.13395881,10.15753364,11.06172244,9.292313894,9.422100386,5.616640727,7.420492172,5.652796586,6.241080125,5.499363423,6.122938792
YER031C,3.957434416,3.37495629,3.178883235,4.437740803,3.570191542,3.85272336,3.319849332,4.058686495,4.356279135,3.951499621,4.646869024,3.646708727
YER032W,1.873529196,1.987889091,1.618307153,1.687209646,1.438757777,1.462010026,1.251047254,1.134670814,1.007064025,1.648394823,2.303594271,2.176532269
YER033C,1.057840983,1.044939995,0.971543193,1.472801447,1.491324941,1.373936613,1.181177099,0.936650395,0.947856963,0.882038355,0.778331717,0.873609265
YER035W,2.570671638,3.48440973,3.325128078,4.081580877,4.263726632,4.636198521,5.235214233,4.673176924,2.223861972,1.735892336,1.640407681,1.367169142
YER036C,2.523937384,1.067406734,1.564549844,2.319426099,2.447515805,3.207652728,3.705638329,9.764248374,8.838994979,2.702897231,2.830061197,2.881163438
YER037W,0,0,0,0,0,0,0,0,0,0,0,0
YER038C,0,0,0,0,0,0,0,0,0,0,0,0
YER040W,0.772652805,0.862806857,0.956384659,0.912236532,0.976187289,1.407350699,1.148195982,0.893555065,0.845358451,0.950552503,0.782442192,0.967842837
YER041W,0.465142419,0.432623029,0.424920112,0.442467769,0.365176718,0.43340225,0.446941237,0.533785661,0.451537361,0.426092724,0.452263057,0.456210315
YER043C,21.80020333,10.42988523,7.983523528,6.975551287,4.959709962,4.576734304,5.617783069,13.21642049,16.91216214,12.42118358,16.73984655,17.54499944
YER044C,10.06464927,11.47790623,8.28883934,8.201401075,8.70820729,8.423849265,7.012419224,4.606319269,5.485386769,5.554652532,7.039283276,7.630942186
YER045C,0.366688689,0.440064102,0.331822823,0.360320588,0.432547957,0.356524468,0.371581932,0.665555795,0.800005476,0.465559482,0.355255748,0.366909256
