,SC
431,37163.2872
432,57504.35020000001
433,0.0
434,0.0
435,272.820972
436,2299.99032
437,0.0
438,1184.0640983500002
439,0.0
440,1566.1022666666668
441,48.5363108
442,12.49331085
443,0.0
444,545.0919333333333
445,594.0265487199999
446,1698.4683099999997
447,2714.2711179999997
448,14.206824166666669
449,68.92491799999999
450,0.0
451,4.91631618
452,59.73749
453,0.0
454,2.8011730000000004
455,280.427904
456,22.3664054
457,4.70557292
458,393.88593199999997
459,2.3148822
460,4213.62662
461,0.0
462,2468.3194
463,15585.1398
464,18246.607200000002
465,121.99318720000001
466,0.0
467,0.0
468,0.0
469,0.0
470,215.619918
471,8319.326000000001
472,2914.2401000000004
473,1187.0680779999998
474,9481.0394
475,2295.6594
476,134.157616
477,0.0
478,73606.618
479,9426.11528
480,0.0
481,0.0
482,0.0
483,0.0
484,183185.7512
485,5.8891965
486,91.93327
487,0.0
488,0.0
489,0.0
490,0.0
491,126.85364833333331
492,239.240951
493,1153.7661039999998
494,0.0
495,174.4902208
496,2626.8017
497,179.87341399999997
498,225407.5746
499,19.77187832
500,0.0
501,0.0
502,0.0
503,536097.0360000001
504,1808.5619834000001
505,431.61625000000004
506,20207.217800000002
507,1.54267506
508,0.0
509,0.0
510,1.5418056666666666
511,586.0674454800001
512,2489.2108500000004
513,0.0
514,0.0
515,0.0
516,81.11388860000001
517,377.29728140000003
518,0.0
519,0.0
520,0.0
521,0.0
522,680.0798004599999
523,2.2419883599999997
524,6.63893176
525,513.687224
526,0.0
527,1922.44048
528,4.00467446
529,132.91792666666666
530,0.0
531,52.040000600000006
532,267.49522
533,0.0
534,2718.8630333333335
535,126.960671
536,6306.961740000001
537,5427.00682
538,2.3718336
539,50.8607628
540,53.4126942
541,0.0
542,0.0
543,699.6252219999999
544,2923.0910799999997
545,1383.76534
546,0.0
547,0.0
548,5.28508162
549,214.515702
550,84.391948
551,66.975274
552,1627.622274
553,0.0
554,798743.9959999999
555,1.542219
556,2.4929083800000003
557,0.0
558,369.442148
559,1662.298496
560,3425.96382
561,2.147575625
562,49.12829464
563,0.0
564,36125.693499999994
565,543.8408620000001
566,3.49565595
567,617.31703
568,0.0
569,342.43932178
570,9312.64072
571,0.0
572,0.0
573,8192.61516
574,519.9550124
575,3034.4357
576,0.0
577,18.793795160000002
578,128.404472
579,6600.888320000001
580,72.0536162
581,182.68303399999996
582,66.3367966
583,1.94023802
584,20.392731
585,61.2982484
586,16.846353999999998
587,746.5706480000001
588,1.75399536
589,2.84687786
590,0.0
591,96.70566699999999
592,2139.9514320000003
593,166.426102
594,0.0
595,43472.955400000006
596,1338.0080679999999
597,41.63006033333334
598,513.1906280000001
599,4.9319752999999995
600,10.04740614
601,3639.41656
602,1715286.5333333332
603,3130.24734
604,37.477938
605,22698.7114
606,0.0
607,0.0
608,0.0
609,0.0
610,8.181671000000001
611,0.0
612,12.6430398
613,76.21426
614,13829.710000000001
615,10890.221000000001
616,19999.1276
617,605440.084
618,1.887600875
619,0.0
620,0.0
621,3.353154566666667
622,20.531958
623,192296.65940000003
624,71542.29140000002
625,17.48749626
626,284.76893666666666
627,0.0
628,0.0
629,86771.946
630,1.542486625
631,12.643016399999999
632,53327.6414
633,0.0
634,147.1466912
635,0.0
636,0.0
637,531.2895956
638,3.0246026666666666
639,27733.5636
640,120624.91140000001
