,DC
1000,1.0
1001,2.0
1002,0.0
1003,2.0
1004,1.0
1005,0.0
1006,21.4
1007,8.0
1008,0.0
1009,0.0
1010,0.0
1011,1.0
1012,5.4
1013,5.6
1014,2.0
1015,6.4
1016,1.8
1017,1.0
1018,1.0
1019,6.4
1020,2.6
1021,1.0
1022,1.0
1023,0.0
1024,6.0
1025,5.0
1026,16.0
1027,0.0
1028,8.2
1029,2.0
1030,3.6
1031,0.0
1032,1.0
1033,1.6
1034,1.8
1035,1.0
1036,1.0
1037,1.0
1038,0.0
1039,8.8
1040,0.0
1041,5.4
1042,0.0
1043,7.0
1044,2.4
1045,13.4
1046,2.8
1047,0.0
1048,1.0
1049,2.0
1050,0.0
1051,9.0
1052,5.6
1053,2.0
1054,18.8
1055,2.0
1056,0.0
1057,1.4
1058,1.0
1059,0.0
1060,1.0
1061,28.0
1062,2.0
1063,2.2
1064,1.4
1065,0.0
1066,0.0
1067,0.0
1068,5.6
1069,2.0
1070,1.0
1071,0.0
1072,0.0
1073,0.0
1074,22.2
1075,1.8
1076,0.0
1077,9.6
1078,6.4
1079,0.0
1080,0.0
1081,0.0
1082,0.0
1083,0.0
1084,0.0
1085,1.0
1086,2.0
1087,1.0
1088,0.0
1089,1.8
1090,1.0
1091,1.6
1092,2.0
1093,0.0
1094,13.8
1095,0.0
1096,3.6
1097,0.0
1098,1.0
1099,1.8
1100,2.0
1101,3.0
1102,11.4
1103,1.0
1104,1.0
1105,0.0
1106,6.0
1107,1.0
1108,0.0
1109,3.0
1110,1.0
1111,1.0
1112,1.0
1113,0.0
1114,6.6
1115,1.8
1116,0.0
1117,6.0
1118,0.0
1119,7.2
1120,0.0
1121,16.8
1122,2.0
1123,0.0
1124,1.6
1125,3.0
1126,4.2
1127,10.0
1128,6.4
1129,0.0
1130,3.0
1131,1.0
1132,1.0
1133,1.0
1134,9.4
1135,1.0
1136,1.0
1137,2.0
1138,1.0
1139,3.4
1140,2.0
1141,1.6
1142,1.0
1143,24.8
1144,2.0
1145,15.0
1146,3.0
1147,1.0
1148,7.0
1149,1.0
1150,0.0
1151,2.0
1152,0.0
1153,1.0
1154,9.0
1155,0.0
1156,0.0
1157,4.0
1158,1.0
1159,0.0
1160,3.5
1161,1.0
1162,6.2
1163,1.0
1164,1.0
1165,1.0
1166,8.0
1167,1.0
1168,1.0
1169,1.0
1170,30.4
1171,7.2
1172,0.0
1173,2.0
1174,2.4
1175,0.0
1176,4.0
1177,8.0
1178,0.0
1179,4.2
1180,4.0
1181,2.0
1182,0.0
1183,1.0
1184,1.0
1185,2.0
1186,2.8
1187,6.2
1188,7.8
1189,2.0
1190,9.6
1191,2.0
1192,9.5
1193,0.0
1194,2.0
1195,13.0
1196,1.0
1197,1.0
1198,4.6
1199,4.6
1200,0.0
1201,3.4
1202,5.8
1203,5.2
1204,0.0
1205,14.2
1206,0.0
1207,2.8
1208,6.8
1209,0.0
1210,1.0
1211,0.0
1212,2.8
1213,0.0
1214,0.0
1215,2.4
1216,8.8
1217,3.6
1218,1.0
1219,7.2
1220,0.0
1221,0.0
1222,0.0
1223,0.0
1224,2.0
1225,1.0
1226,1.0
1227,1.2
1228,1.0
1229,13.2
1230,1.2
1231,0.0
1232,1.4
1233,1.0
1234,0.0
1235,0.0
1236,1.0
1237,5.0
1238,0.0
1239,1.0
1240,0.0
1241,1.0
1242,1.0
1243,1.0
1244,0.0
1245,0.0
1246,2.0
1247,1.4
1248,4.2
1249,0.0
1250,1.0
1251,0.0
1252,0.0
1253,0.0
1254,4.8
1255,8.8
1256,1.4
1257,10.0
1258,2.0
1259,2.4
1260,1.0
1261,0.0
1262,0.0
1263,0.0
1264,1.0
1265,5.0
1266,0.0
1267,4.0
1268,2.0
1269,13.6
1270,0.0
1271,6.4
1272,0.0
1273,4.6
1274,4.0
1275,1.0
1276,1.0
1277,0.0
1278,1.0
1279,4.4
1280,2.0
1281,0.0
1282,4.0
1283,0.0
1284,0.0
1285,12.0
1286,1.6
1287,2.0
1288,3.0
1289,4.2
1290,0.0
1291,1.0
1292,1.0
1293,0.0
1294,4.2
1295,5.0
1296,14.0
1297,3.0
1298,1.0
1299,2.2
1300,3.4
1301,0.0
1302,0.0
1303,0.0
1304,0.0
1305,0.0
1306,0.0
1307,0.0
1308,0.0
1309,2.0
1310,0.0
1311,0.0
1312,3.4
1313,14.4
1314,3.0
1315,2.0
1316,5.8
1317,6.0
1318,0.0
1319,0.0
1320,0.0
1321,4.6
1322,0.0
1323,0.0
1324,2.0
1325,1.0
1326,1.6
1327,0.0
1328,3.0
1329,4.0
1330,4.0
1331,68.0
1332,0.0
1333,9.5
1334,0.0
1335,1.0
1336,1.8
1337,13.0
1338,0.0
1339,7.0
1340,12.4
1341,3.8
1342,0.0
1343,3.0
1344,0.0
1345,3.0
1346,6.0
1347,4.4
1348,0.0
1349,0.0
1350,3.4
1351,9.8
1352,1.0
1353,0.0
1354,1.0
1355,0.0
1356,0.0
1357,0.0
1358,0.0
1359,2.0
1360,1.0
1361,0.0
1362,3.4
1363,1.4
1364,0.0
1365,1.0
1366,1.0
1367,1.6
1368,0.0
1369,2.8
1370,1.0
1371,0.0
1372,6.6
1373,0.0
1374,0.0
1375,8.8
1376,2.0
1377,3.6
1378,1.0
1379,3.4
1380,4.2
1381,1.0
1382,26.0
1383,35.4
1384,2.2
1385,1.0
1386,2.0
1387,0.0
1388,1.0
1389,0.0
1390,1.4
1391,0.0
1392,0.0
1393,3.0
1394,6.6
1395,0.0
1396,5.4
1397,1.0
1398,1.0
1399,2.6
1400,3.0
1401,0.0
1402,0.0
1403,2.0
1404,6.6
1405,1.0
1406,5.8
1407,0.0
1408,18.6
1409,5.6
1410,21.8
1411,3.0
1412,19.6
1413,3.6
1414,1.0
1415,0.0
1416,44.0
1417,1.0
1418,2.0
1419,0.0
1420,5.0
1421,3.0
1422,0.0
1423,24.75
1424,19.8
1425,4.0
1426,1.0
1427,11.2
1428,3.0
1429,4.0
1430,56.8
1431,0.0
1432,0.0
1433,0.0
1434,1.0
1435,1.0
1436,0.0
1437,0.0
1438,0.0
1439,0.0
1440,23.0
1441,1.6
1442,18.4
1443,5.2
1444,1.0
1445,2.0
1446,0.0
1447,2.0
1448,2.0
1449,3.8
1450,0.0
1451,8.8
1452,3.0
1453,1.0
1454,0.0
1455,0.0
1456,20.8
1457,4.0
1458,0.0
1459,9.0
1460,37.0
1461,1.2
1462,9.8
1463,1.0
1464,1.0
1465,0.0
1466,22.0
1467,25.6
1468,16.8
1469,3.0
1470,0.0
1471,1.0
1472,0.0
1473,0.0
1474,10.4
1475,1.0
1476,0.0
1477,0.0
1478,0.0
1479,1.0
1480,1.0
1481,1.0
1482,0.0
1483,1.0
1484,4.0
1485,0.0
1486,2.0
1487,1.2
1488,2.0
1489,0.0
1490,18.6
1491,5.2
1492,1.0
1493,0.0
1494,1.8
1495,2.0
1496,3.6
1497,0.0
1498,1.0
1499,8.0
1500,3.0
1501,29.6
1502,0.0
1503,3.0
1504,2.0
1505,3.6
1506,3.6
1507,4.4
1508,2.0
1509,5.0
1510,1.2
1511,1.0
1512,3.4
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,1.0
1518,1.0
1519,0.0
1520,0.0
1521,0.0
1522,4.6
1523,1.4
1524,0.0
1525,1.0
1526,0.0
1527,1.8
1528,4.2
1529,5.0
