,EC
399,0.0016265082
400,7.234e-05
401,0.0
402,0.007267357800000001
403,0.0
404,0.0005132
405,0.0054768772
406,1.15e-06
407,0.065159949
408,0.0
409,0.002178038
410,0.00021720000000000002
411,0.0018045262
412,0.00046300000000000003
413,0.0184309172
414,0.0025606066
415,0.0002978
416,0.0
417,0.0009840795999999999
418,0.0040732358
419,0.0001044
420,0.0
421,0.0
422,0.0012972012
423,0.0
424,0.0
425,0.0080181018
426,0.0
427,0.0046556262000000005
428,0.0
429,0.0022816276
430,0.00159197975
431,0.0193113758
432,0.024317327000000003
433,0.0
434,0.0
435,0.0012603606
436,0.0048817402
437,0.0
438,0.0043177497500000005
439,0.0
440,0.0007170000000000001
441,0.0005781999999999999
442,7.5875e-05
443,0.0
444,0.0018658856666666668
445,0.0015511414000000002
446,0.0037541619999999997
447,0.0013566454000000002
448,0.00010873333333333334
449,0.0002463
450,0.0
451,5.8660000000000004e-05
452,0.00024200000000000003
453,0.0
454,4.996666666666667e-05
455,0.0013779838
456,0.0003386
457,0.00019234
458,0.0015274998000000001
459,2.6920000000000003e-05
460,0.0040417016
461,0.0
462,0.0047878044
463,0.0153334162
464,0.015326219799999999
465,0.0008260568
466,0.0
467,0.0
468,0.0
469,0.0
470,0.001511791
471,0.007220782666666666
472,0.0009548466666666667
473,0.004018613
474,0.0084341624
475,0.006938373
476,0.0008898296
477,0.0
478,0.023081145666666664
479,0.009287842199999998
480,0.0
481,0.0
482,0.0
483,0.0
484,0.0471186062
485,0.0001415
486,0.00055
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0010758276666666667
492,0.0012807018
493,0.0029718285999999995
494,0.0
495,0.0009094896
496,0.0049333022499999995
497,0.0008901914000000001
498,0.04455499300000001
499,0.0002536
500,0.0
501,0.0
502,0.0
503,0.07055174980000001
504,0.0030928830000000003
505,0.0017261702
506,0.013995442399999999
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0020875632
512,0.00486627725
513,0.0
514,0.0
515,0.0
516,0.0007511312
517,0.0018398938
518,0.0
519,0.0
520,0.0
521,0.0
522,0.0031728142
523,6.073999999999999e-05
524,0.00021419999999999998
525,0.002191878
526,0.0
527,0.0030230153999999997
528,0.00012159999999999999
529,0.0006016666666666667
530,0.0
531,0.0007694406
532,0.0005672
533,0.0
534,0.0048725723333333335
535,0.0007914714000000001
536,0.0022259031999999996
537,0.008495491599999998
538,3.68e-05
539,0.00013992
540,0.0006477999999999999
541,0.0
542,0.0
543,0.0023190946
544,0.004775173000000001
545,0.0021709832000000005
546,0.0
547,0.0
548,0.00012352
549,0.0012365902
550,0.0008518482000000001
551,0.0007741266
552,0.0035820411999999994
553,0.0
554,0.08517680620000001
555,0.0
556,5.1880000000000005e-05
557,0.0
558,0.0010030208000000001
559,0.0034656622000000005
560,0.0058484378
561,1.2959699999999999e-05
562,0.00027104
563,0.0
564,0.0351484835
565,0.0021459138
566,7.272499999999999e-05
567,0.0017623410000000002
568,0.0
569,0.0016486715999999998
570,0.008651414
571,0.0
572,0.0
573,0.007788143400000001
574,0.0024303984
575,0.0064971004
576,0.0
577,0.00031316
578,0.0010329468
579,0.008038483400000001
580,0.00039500000000000006
581,0.0010888791999999997
582,0.0006742
583,3.824e-05
584,0.00013462
585,0.0007155782
586,0.00018636
587,0.002790041
588,1.1207e-06
