,BC
1887,10025.45708
1888,20043.873
1889,692.73914
1890,4395.972059999999
1891,811.50484
1892,0.0
1893,715.3257600000001
1894,20858.3874
1895,23582.541
1896,0.0
1897,0.0
1898,844.1595299999999
1899,2369.19108
1900,0.0
1901,1346.20108
1902,47194.903399999996
1903,0.0
1904,0.0
1905,9468.4772
1906,66.62698400000001
1907,61870.9922
1908,25424.394
1909,0.0
1910,0.0
1911,6984.358420000001
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,359.87624999999997
1918,0.0
1919,0.0
1920,2314.11684
1921,21600.478600000002
1922,0.0
1923,40512.43266666667
1924,0.0
1925,2800.3591
1926,3097.4951800000003
1927,2482.055172
1928,0.0
1929,0.0
1930,0.0
1931,635.381065
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,716.826748
1938,0.0
1939,0.0
1940,3868.564733333333
1941,8879.319019999999
1942,0.0
1943,6939.083479999999
1944,156.392238
1945,1770.25156
1946,0.0
1947,0.0
1948,0.0
1949,36130.2672
1950,10602.1872
1951,365.74514
1952,1788.84172
1953,0.0
1954,0.0
1955,3782.8
1956,0.0
1957,0.0
1958,32228.282799999997
1959,5693.478300000001
1960,44.076541
1961,0.0
1962,0.0
1963,0.0
1964,6502.84568
1965,0.0
1966,0.0
1967,0.0
1968,1082.180905
1969,0.0
1970,12140.337
1971,240.564806
1972,16640.0676
1973,0.0
1974,2967.9344439999995
1975,0.0
1976,0.0
1977,0.0
1978,11230.399399999998
1979,1192.180312
1980,0.0
1981,972.0562880000001
1982,0.0
1983,1123.298852
1984,0.0
1985,1743.8818999999999
1986,8670.391
1987,0.0
1988,0.0
1989,0.0
1990,0.0
1991,177.715774
1992,0.0
1993,2935.5170399999997
1994,0.0
1995,160.865156
1996,0.0
1997,2838.8703599999994
1998,1619.30096
1999,0.0
2000,250754.448
2001,0.0
2002,0.0
2003,0.0
2004,11343.6
2005,979.1327399999998
2006,31.331182000000002
2007,0.0
2008,2733.54786
2009,0.0
2010,5121.29851
2011,0.0
2012,806.7437
2013,922.4078400000002
2014,0.0
2015,0.0
2016,0.0
2017,213.11234
2018,5397.18594
2019,1384.6624199999999
2020,0.0
2021,2255.324025
2022,329.092194
2023,0.0
2024,0.0
2025,2155.98466
2026,845.843938
2027,0.0
2028,9484.071
2029,0.0
2030,0.0
2031,9870.223999999998
2032,0.0
2033,0.0
2034,330.074015
2035,0.0
2036,0.0
2037,0.0
2038,0.0
2039,1103.3931
2040,58634.41520000001
2041,4410.342699999999
2042,0.0
2043,0.0
2044,25063.294320000005
2045,18680.384599999998
2046,3904.994
2047,3126.989522
2048,0.0
2049,36192.739
2050,671.92795
2051,0.0
2052,0.0
2053,2192.1274399999998
2054,0.0
2055,4177.590299999999
2056,0.0
2057,0.0
2058,0.0
2059,0.0
2060,5268.379100000001
2061,0.0
2062,0.0
2063,0.0
2064,0.0
2065,0.0
