,D4N
1603,2.0
1604,26.0
1605,20.0
1606,5.0
1607,2.0
1608,8.25
1609,18.25
1610,19.25
1611,30.0
1612,1.0
1613,0.0
1614,1.0
1615,2.25
1616,16.0
1617,4.0
1618,11.0
1619,23.5
1620,7.0
1621,95.25
1622,3.0
1623,1.0
1624,1.0
1625,4.0
1626,8.0
1627,8.5
1628,4.0
1629,16.0
1630,12.25
1631,0.0
1632,3.0
1633,1.0
1634,0.0
1635,4.0
1636,1.25
1637,2.0
1638,1.0
1639,3.0
1640,1.25
1641,13.0
1642,1.0
1643,2.0
1644,7.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,7.0
1650,3.25
1651,1.0
1652,1.0
1653,1.0
1654,8.0
1655,1.0
1656,1.0
1657,1.0
1658,1.0
1659,4.0
1660,1.0
1661,0.0
1662,0.0
1663,0.0
1664,7.0
1665,18.25
1666,2.0
1667,5.0
1668,43.0
1669,20.75
1670,23.5
1671,57.5
1672,28.5
1673,74.25
1674,15.0
1675,18.0
1676,3.0
1677,47.5
1678,9.5
1679,10.0
1680,2.0
1681,2.0
1682,54.5
1683,6.0
1684,11.0
1685,31.0
1686,3.0
1687,20.0
1688,66.75
1689,1.0
1690,1.25
1691,33.0
1692,5.0
1693,15.5
1694,7.75
1695,13.5
1696,3.0
1697,6.0
1698,4.0
1699,26.25
1700,16.0
1701,7.0
1702,8.25
1703,12.25
1704,10.25
1705,13.5
1706,6.25
1707,12.75
1708,7.0
1709,2.0
1710,18.0
1711,21.5
1712,34.75
1713,1.0
1714,46.5
1715,34.0
1716,30.75
1717,5.0
1718,6.25
1719,4.0
1720,4.25
1721,3.0
1722,7.0
1723,66.0
1724,1.0
1725,8.0
1726,5.0
1727,16.5
1728,2.25
1729,38.75
1730,5.25
1731,16.25
1732,1.0
1733,8.5
1734,3.0
1735,7.0
1736,7.0
1737,7.25
1738,4.0
1739,6.0
1740,9.5
1741,32.0
1742,7.5
1743,7.25
1744,24.75
1745,13.0
1746,3.0
1747,20.25
1748,8.0
1749,38.25
1750,3.0
1751,5.0
1752,9.0
1753,2.0
1754,1.0
1755,12.25
1756,13.25
1757,1.0
1758,1.0
1759,1.0
1760,7.0
1761,12.75
1762,4.0
1763,1.0
1764,7.25
1765,2.0
1766,2.0
1767,0.0
1768,1.0
1769,9.0
1770,2.5
1771,3.0
1772,5.0
1773,5.0
1774,2.0
1775,2.25
1776,1.0
1777,34.25
1778,2.25
1779,2.0
1780,9.25
1781,7.0
1782,2.0
1783,4.0
1784,0.0
1785,9.0
1786,1.0
1787,1.25
1788,2.0
1789,0.0
1790,2.0
1791,2.0
1792,1.0
1793,2.0
1794,1.0
1795,4.0
1796,1.0
1797,1.0
1798,1.0
1799,9.0
1800,1.0
1801,1.0
1802,2.0
1803,1.0
1804,3.0
1805,4.5
1806,3.0
1807,2.0
1808,7.25
1809,5.25
1810,4.0
1811,6.0
1812,1.0
1813,1.0
1814,2.0
1815,2.0
1816,4.0
1817,4.0
1818,1.0
1819,4.0
1820,0.0
1821,1.0
1822,20.25
1823,2.0
1824,1.0
1825,3.5
1826,2.0
1827,4.0
1828,3.0
1829,3.75
1830,6.0
1831,8.25
1832,1.0
1833,1.0
1834,15.5
1835,2.0
1836,0.0
1837,1.0
1838,2.25
1839,2.0
1840,2.25
1841,1.0
1842,12.0
1843,5.25
1844,6.0
1845,6.0
1846,5.0
1847,3.0
1848,1.0
1849,4.25
1850,2.0
1851,4.0
1852,4.0
1853,3.0
1854,1.0
1855,8.0
1856,1.0
1857,5.75
1858,3.0
1859,4.0
1860,1.0
1861,7.0
1862,10.0
1863,2.0
1864,1.0
1865,1.0
1866,1.25
1867,2.0
1868,2.25
1869,2.0
1870,1.0
1871,6.0
1872,1.0
1873,4.0
1874,1.0
1875,1.0
1876,2.0
1877,8.0
1878,1.0
1879,2.0
1880,7.25
1881,1.0
1882,2.0
1883,2.0
1884,1.0
1885,1.0
1886,1.0
1887,1.0
1888,1.0
1889,1.0
1890,1.0
1891,3.0
1892,2.0
1893,1.0
1894,1.0
1895,1.0
1896,2.0
1897,7.0
1898,1.25
1899,1.0
1900,1.0
1901,5.0
1902,1.0
1903,1.0
1904,18.5
1905,1.0
1906,4.0
1907,3.0
1908,1.0
1909,3.0
1910,3.0
1911,6.0
1912,4.0
1913,1.0
1914,2.0
1915,1.0
1916,2.0
1917,0.0
1918,2.0
1919,1.0
1920,1.0
1921,1.0
1922,1.0
1923,2.0
1924,1.0
1925,1.0
1926,2.0
1927,0.0
1928,0.0
1929,0.0
1930,1.0
1931,1.0
1932,2.0
1933,1.0
1934,1.0
1935,5.0
1936,14.0
1937,8.0
1938,1.0
1939,5.0
1940,1.0
1941,7.0
1942,1.0
1943,1.0
1944,3.0
1945,1.0
1946,1.0
1947,1.0
1948,5.5
1949,1.0
1950,1.0
1951,1.0
1952,4.0
1953,1.0
1954,3.0
1955,2.0
1956,1.0
1957,1.0
1958,2.0
1959,1.0
1960,1.0
1961,21.75
1962,1.25
1963,3.0
1964,25.0
1965,1.0
1966,5.0
1967,1.0
1968,4.0
1969,2.0
1970,6.25
1971,3.0
1972,8.0
1973,1.0
1974,2.25
1975,6.0
1976,7.0
1977,1.0
1978,5.25
1979,1.0
1980,1.0
1981,3.0
1982,1.0
1983,3.0
1984,1.0
1985,1.0
1986,2.0
1987,2.0
1988,5.0
1989,1.0
1990,2.0
1991,2.0
1992,2.0
1993,1.0
1994,1.0
1995,4.0
1996,2.0
1997,1.0
1998,1.0
1999,2.0
2000,1.0
2001,1.0
2002,1.0
2003,7.25
2004,1.0
2005,1.25
2006,1.0
2007,1.0
2008,3.0
2009,9.0
2010,5.0
2011,7.25
2012,1.0
2013,1.0
2014,4.0
2015,1.0
2016,1.0
2017,1.0
2018,1.0
2019,0.0
2020,1.0
2021,25.0
2022,1.0
2023,3.25
2024,1.25
2025,2.0
2026,7.0
2027,3.0
2028,2.0
2029,1.0
2030,1.0
2031,0.0
2032,2.0
2033,1.0
2034,1.0
2035,1.0
2036,1.0
2037,1.0
2038,4.0
2039,8.0
2040,7.25
2041,1.0
2042,1.0
2043,4.0
2044,7.25
2045,3.0
2046,2.0
2047,1.0
2048,6.0
2049,1.0
2050,1.0
2051,2.0
2052,1.0
2053,1.0
2054,1.0
2055,11.25
2056,1.0
2057,8.0
2058,1.0
2059,2.0
2060,3.0
2061,4.0
2062,1.0
2063,14.25
2064,6.25
2065,1.0
2066,1.0
2067,6.5
2068,1.0
2069,5.0
2070,5.5
2071,5.0
2072,1.0
2073,4.0
2074,0.0
2075,2.0
2076,7.0
2077,2.0
2078,6.0
2079,4.0
2080,6.0
2081,7.0
2082,1.0
2083,1.0
2084,2.0
2085,1.0
2086,1.0
2087,2.0
2088,1.0
2089,2.0
2090,2.0
2091,5.0
2092,1.0
2093,1.0
2094,1.0
2095,1.0
2096,16.0
2097,3.0
2098,1.0
2099,2.0
2100,1.0
2101,7.0
2102,1.0
2103,1.0
2104,1.0
2105,1.0
2106,1.0
2107,1.0
2108,2.0
2109,2.0
2110,1.0
2111,1.0
2112,1.0
2113,1.0
2114,0.0
2115,0.0
2116,1.0
2117,1.0
2118,0.0
2119,2.0
2120,0.0
2121,1.0
2122,0.0
2123,0.0
2124,0.0
2125,1.0
2126,0.0
2127,0.0
2128,0.0
2129,1.0
2130,0.0
2131,0.0
2132,0.0
2133,0.0
2134,0.0
2135,0.0
2136,1.0
2137,0.0
2138,0.0
2139,0.0
