,S4N
916,0.0
917,1.5421403750000002
918,1.5428833
919,1035.52540625
920,1494350000000.0
921,2208217500000.0
922,141142.581975
923,79778500000000.0
924,10516200000.0
925,4583126.629999999
926,18329515.2025
927,1200.1864925
928,0.0
929,161773592.075
930,1647609.95825
931,19839500000.0
932,0.0
933,0.0
934,0.0
935,23800000000000.0
936,890602.7339999998
937,329297500000.0
938,30352521.575
939,0.0
940,1951125000.0
941,768.8643915
942,0.0
943,0.0
944,2939925000.0
945,8231283.455
946,14856750000.0
947,139829789.39999998
948,2081125000.0
949,5867775000.0
950,2716.8289669999995
951,0.0
952,0.0
953,5132811.325
954,1762175000.0
955,0.0
956,8908479.3675
957,0.0
958,22564000000.0
959,0.0
960,1471950000.0
961,190103839.125
962,1040600000000.0
963,1014327500000.0
964,0.0
965,0.0
966,0.0
967,0.0
968,11498300000.0
969,215254636.2
970,17274832.36
971,0.0
972,388529.93525
973,76027676.17500001
974,18455215.015
975,15257291.1875
976,1422889.2587500003
977,9971500000.0
978,0.0
979,0.0
980,9400950000.0
981,106504614205.625
982,6840557.13
983,0.0
984,1.542807875
985,11162250000.0
986,0.0
987,0.0
988,0.0
989,0.0
990,20269968.645
991,0.0
992,163135000000.0
993,118480923.175
994,0.0
995,21946250000.0
996,0.0
997,12446000000.0
998,28009750000.0
999,0.0
1000,0.0
1001,362260000000.0
1002,41888.067050000005
1003,1839650000.0
1004,2027005000000.0
1005,13562527.787500001
1006,79800000000.0
1007,4545525000.0
1008,7142250000.0
1009,0.0
1010,2687675000.0
1011,18455215.015
1012,4234900000.0
1013,0.0
1014,388529.93525
1015,33750122015.58
1016,0.0
1017,0.0
1018,0.0
1019,0.0
1020,431067144.25
1021,128133000000.0
1022,9838500000000.0
1023,0.0
1024,16649650000.0
1025,38432235.3225
1026,41826.53315
1027,112142500000.0
1028,0.0
1029,3401325000000.0
1030,17796770.165000003
1031,2950397500000.0
1032,379780000000.0
1033,51558712.435
1034,890602.7339999998
1035,23833000000.0
1036,0.0
1037,0.0
1038,316080000000.0
1039,855150000.0
1040,0.0
1041,723585344.875
1042,0.0
1043,0.0
1044,57538435.2
1045,149927500000.0
1046,40477500000.0
1047,136438272.675
1048,0.0
1049,0.0
1050,7797955.125
1051,0.0
1052,2939925000.0
1053,414292168.0
1054,26484503.3125
1055,0.0
1056,108464752.0
1057,37749200.35
1058,0.0
1059,93838500000.0
1060,2496.18545975
1061,4884075000.0
1062,0.0
1063,0.0
1064,12777016.639999999
1065,13181897.002500001
1066,4593425000.0
1067,0.0
1068,0.0
1069,0.0
1070,0.0
1071,9668025000.0
1072,549432500000.0
1073,49204876.025
1074,355010500000.0
1075,0.0
1076,42515638.62499999
1077,273942500000.0
1078,0.0
1079,441886296.625
1080,431067144.25
1081,1422889.2587500003
1082,0.0
1083,758400000000.0
1084,0.0
1085,47971000000.0
1086,11590422.735
1087,0.0
1088,1297175000000.0
