,NC
475,0.412057386
476,0.87333334
477,0.0
478,0.6933333359999999
479,1.2718770799999999
480,0.0
481,3.06666664
482,0.0
483,0.0
484,1.12039008
485,0.0
486,4.56046502
487,1.211523208
488,0.0
489,0.172727278
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.49615385200000006
498,2.0142856399999998
499,0.5833333
500,0.0
501,0.0
502,0.0
503,11.694997
504,0.0
505,0.0
506,1.29813666
507,0.0
508,0.0
509,0.0
510,0.0
511,0.22777777600000002
512,4.79262114
513,0.0
514,1.0
515,0.0
516,0.0
517,0.0
518,1.11203246
519,0.0
520,0.3
521,0.0
522,0.38571429999999995
523,0.0
524,0.0
525,2.1666667
526,0.0
527,0.0
528,0.0
529,0.0
530,1.8757576
531,0.0
532,0.16
533,1.20000004
534,1.9872222000000002
535,5.142857
536,7.51537908
537,6.0
538,0.0
539,1.2
540,0.0
541,0.0
542,0.0
543,0.0
544,2.5714285
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.63333336
552,0.0
553,0.0
554,24.508766
555,0.0
556,0.0
557,0.16600733000000004
558,1.4
559,0.0
560,1.27
561,0.0
562,0.0
563,0.0
564,4.0200000000000005
565,0.85714287
566,0.0
567,0.0
568,3.2603045600000002
569,1.0429141740000003
570,2.05714288
571,0.53333334
572,0.78104617
573,1.64809748
574,0.0
575,0.0
576,6.823072820000002
577,0.0
578,0.541818186
579,6.549834339999999
580,0.0
581,0.75
582,0.0
583,0.0
584,0.20000000399999998
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,2.41577838
593,3.36333336
594,2.0
595,9.6208973
596,0.864682546
597,9.4192068
598,7.7908732
599,0.0
600,0.0
601,0.598151988
602,5.566992540000001
603,6.0724844000000004
604,0.0
605,3.5316080800000003
606,2.0
607,1.6
608,0.0
609,0.0
610,0.0
611,0.34285716
612,0.0
613,0.0
614,4.3917808
615,12.0926265
616,2.21065764
617,5.057142799999999
618,0.0
619,0.0
620,0.0
621,0.8000000199999999
622,0.0
623,3.7687950399999997
624,2.87880162
625,0.0
626,0.0
627,0.0
628,0.0
629,4.63533522
630,0.0
631,0.0
632,1.0
633,0.603174588
634,0.0
635,0.313333336
636,1.133440036
637,0.0
638,0.0
639,3.0152644000000004
640,4.736383679999999
641,0.0
642,0.0
643,0.0
644,0.206666668
645,2.25864572
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,2.0549999600000004
654,0.0
655,2.64
656,1.9
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,0.7
663,0.0
664,0.0
665,9.129265700000001
666,1.0
667,0.280000004
668,0.0
669,0.0
670,2.0
671,0.0
672,0.0
673,0.0
674,0.0
675,14.3722372
676,3.5
677,0.0
678,0.0
679,2.70411906
680,2.0
681,0.0
682,0.0
683,0.34285716
684,0.6666667
685,1.9
686,0.0
687,6.6666665
688,0.0
689,0.295238108
690,0.0
691,0.0
692,4.6580993
693,2.9371233400000003
694,0.0
695,0.0
696,0.0
697,0.6666667
698,0.0
699,0.0
700,4.51079658
701,0.0
702,0.5
703,0.0
704,1.29222218
705,0.0
706,10.8986891
707,0.0
708,3.8243910400000005
709,0.0
710,0.6666667
711,0.0
712,1.32
713,8.08209364
714,0.0
