,IC
394,3.35027338
395,1.7177866800000001
396,2.0046199
397,1.33557294
398,1.33557294
399,2.5319151600000005
400,1.7177866800000001
401,0.0
402,1.7177866800000001
403,1.7177867
404,1.33557294
405,3.3335948799999997
406,1.33557294
407,3.5690354999999996
408,1.33557294
409,2.22781752
410,2.0046198399999997
411,3.5452760399999996
412,2.3351903199999997
413,3.54796652
414,3.1097314399999996
415,1.33557294
416,1.33557294
417,2.55264044
418,2.9121644800000004
419,1.33557294
420,1.336290175
421,1.33557294
422,3.00973132
423,1.7177866800000001
424,1.33557294
425,2.22781752
426,0.0
427,3.26209092
428,0.0
429,3.4189922600000004
430,1.33557294
431,3.5761355599999995
432,2.89664036
433,1.33557294
434,1.336290175
435,2.73252354
436,3.0689975599999997
437,2.4003140600000004
438,1.7630032000000004
439,1.33557294
440,3.07388642
441,2.0046199
442,1.7177866800000001
443,1.7177866800000001
444,1.7177867
445,3.3192101000000003
446,3.1277649600000004
447,3.4922756999999995
448,1.33557294
449,2.5720163200000004
450,1.64161194
451,2.17457946
452,2.9544704800000003
453,0.0
454,1.33557294
455,1.33557294
456,2.62134582
457,1.33557294
458,1.7177866800000001
459,1.33557294
460,2.9099987400000003
461,1.9923219799999998
462,2.67452132
463,3.12980814
464,3.06899752
465,2.40645562
466,2.0361915
467,3.8821327599999997
468,0.0
469,0.0
470,1.7177866800000001
471,2.67078
472,3.40423002
473,2.3706335400000005
474,3.73740514
475,3.2173338799999995
476,2.49433402
477,2.09400904
478,2.7250767799999998
479,3.5960330400000005
480,1.33557294
481,2.1264594800000003
482,1.8715296
483,0.0
484,3.36139516
485,1.8897637999999997
486,3.24596226
487,3.5704019200000006
488,1.33557294
489,3.1005988
490,1.33557294
491,1.6416121000000001
492,2.18348308
493,2.0046199
494,1.33557294
495,1.7177866800000001
496,1.87055442
497,3.08928944
498,2.6879313999999996
499,2.40645562
500,2.08171112
501,1.336085625
502,1.33557294
503,3.5880201599999992
504,2.2189139
505,2.75721798
506,3.4491223600000005
507,1.33557294
508,0.0
509,0.0
510,1.3362562666666669
511,2.92748488
512,3.54304676
513,1.33557294
514,2.0046199
515,1.790834675
516,2.22781752
517,1.91488886
518,3.41864126
519,1.9474992
520,2.2459255400000004
521,2.2068986
522,2.7749622400000002
523,1.33557294
524,1.71778686
525,2.22781752
526,2.09379108
527,1.7177866800000001
528,1.7177866800000001
529,1.33557294
530,2.7441095399999997
531,2.0046199
532,2.55264044
533,2.13875738
534,2.9696888200000005
535,2.77766546
536,3.65536512
537,2.77766546
538,1.336290175
539,1.6412370799999998
540,2.18339468
541,0.0
542,0.0
543,2.3351903199999997
544,2.77766546
545,1.7177866800000001
546,1.336290175
547,2.3351903199999997
548,1.7177866800000001
549,2.0046199
550,1.33557294
551,2.2636396000000003
552,2.09370268
553,1.64172
554,3.7297942000000006
555,1.87055442
556,1.33557294
557,3.12638748
558,1.8901313800000001
559,1.7177866800000001
560,2.5424389000000005
561,1.7177866800000001
562,2.0046199
563,1.7177866800000001
564,2.67452132
565,2.77766546
566,1.7177866800000001
567,2.37099382
568,3.5784037
569,3.3370400000000005
570,2.77766546
571,2.37099382
572,3.2055813200000003
573,3.46321954
574,2.0046199
575,2.2459255400000004
576,3.7032434800000003
577,1.4883246199999998
578,3.0336039400000003
579,3.40805522
580,2.0936800399999997
