,I8N
383,2.489871433333333
384,0.0
385,1.6517051249999999
386,1.8424256714285716
387,1.2572215
388,1.494619414285714
389,1.6594938
390,1.3643449666666665
391,1.26121725
392,1.7534511714285714
393,1.2603864999999999
394,1.9364026714285711
395,1.5900916249999997
396,1.58748446
397,1.2572215
398,1.2601185499999998
399,1.6517089
400,1.4267414999999999
401,0.0
402,1.2601185499999998
403,1.26282835
404,1.2584521599999998
405,2.6466266624999997
406,1.26948695
407,3.1327882500000004
408,0.0
409,1.6221223999999999
410,1.712595925
411,2.772635642857143
412,1.9526877249999999
413,2.859114575
414,2.3139277
415,1.2572215
416,1.26121725
417,2.0510410749999997
418,2.3632341375
419,1.2601185499999998
420,0.0
421,1.26948695
422,1.6182783142857142
423,1.262357683333333
424,1.2571137
425,2.0496597249999997
426,0.0
427,2.6080614375
428,0.0
429,2.5156151875
430,1.2529242999999999
431,2.8477080125
432,2.2549864857142863
433,1.2512909333333333
434,1.2650043
435,1.8946979
436,2.45945925
437,0.0
438,1.675513325
439,0.0
440,2.6091601
441,1.6391803750000002
442,1.45611936
443,0.0
444,1.6221223999999999
445,2.1071613333333334
446,2.445221214285714
447,2.3752367249999997
448,1.2770696
449,1.8649964833333332
450,1.2512995
451,1.53075406
452,2.1751127000000006
453,0.0
454,1.2592257
455,1.2571343666666666
456,1.580769675
457,1.2412124
458,1.3410237874999997
459,1.2666544799999997
460,2.2769708285714287
461,1.2565638
462,2.0090798750000003
463,2.485567457142857
464,2.3145231125000003
465,1.8435099
466,1.26139965
467,3.2145706499999998
468,0.0
469,0.0
470,1.3551915428571426
471,1.9834556333333329
472,2.649993783333333
473,1.8883090714285713
474,3.0263473249999997
475,2.393063225
476,1.7397995714285712
477,0.0
478,2.141986466666667
479,2.9498596000000004
480,1.258890525
481,1.59704
482,0.0
483,0.0
484,2.9111864999999995
485,1.2584521599999998
486,2.582611514285714
487,0.0
488,1.24858705
489,2.369300925
490,1.26130845
491,1.585776
492,1.6007628374999998
493,1.5496842249999998
494,1.2408736999999999
495,1.3641653999999999
496,1.7096756249999998
497,2.223340342857143
498,2.26961995
499,2.0488475375000004
500,1.59704
501,1.26121725
502,1.24858705
503,3.07055375
504,1.95691342
505,2.0293566875
506,2.8272688125000003
507,1.2555168333333333
508,0.0
509,0.0
510,1.2770696
511,1.7898825749999998
512,2.4928218499999995
513,1.24858705
514,0.0
515,1.2408736999999999
516,1.6845680124999998
517,1.26252035
518,2.634299675
519,0.0
520,1.3552367714285716
521,0.0
522,1.8253455500000002
523,1.2594337
524,1.4870690333333334
525,1.8392963166666665
526,1.83170845
527,1.5496153375
528,1.4131479999999998
529,1.2770696
530,2.672497
531,1.2412124
532,1.92425545
533,1.26121725
534,2.35188348
535,2.045504075
536,3.0482881249999996
537,2.41567785
538,1.2545576666666667
539,1.5251704999999998
540,1.7565230875
541,0.0
542,0.0
543,1.86949105
544,2.130242885714286
545,1.4661492199999997
546,0.0
547,1.26139965
548,1.5949139499999998
549,1.6701473875000001
550,1.2571729857142857
551,1.82185825
552,1.68643555
553,1.2545576666666667
554,3.1696162833333332
555,1.2770696
556,1.2571137
557,2.1683259500000003
558,1.4905780999999998
559,1.53075406
560,1.9064995285714288
561,1.3647922833333332
562,1.5476273571428572
563,1.2408736999999999
564,2.2531386666666666
565,2.1027314375
