,L8N
482,0.0
483,0.0
484,0.82352945
485,0.0
486,0.5573030242857143
487,0.0
488,0.0
489,0.14285715
490,0.0
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.05714285714285715
498,1.4722222
499,0.3375
500,0.0
501,0.0
502,0.0
503,4.114623000000001
504,0.0
505,0.0
506,0.53542733875
507,0.0
508,0.0
509,0.0
510,0.0
511,0.0
512,1.5555556000000001
513,0.0
514,0.0
515,0.0
516,0.0
517,0.0
518,0.07692308
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.6666667
526,0.0
527,0.0
528,0.0
529,0.0
530,2.2
531,0.0
532,0.1125
533,0.0
534,0.9041270000000001
535,2.0166666749999997
536,2.7147826000000004
537,5.178571333333333
538,0.0
539,0.5
540,0.0
541,0.0
542,0.0
543,0.0
544,1.4387755428571427
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.5000000124999999
552,0.0
553,0.0
554,4.507978766666667
555,0.0
556,0.0
557,0.2
558,0.166666675
559,0.0
560,0.3523809571428571
561,0.0
562,0.0
563,0.0
564,3.533333333333333
565,0.579166675
566,0.0
567,0.0
568,0.9091117399999998
569,0.11428572
570,0.942261925
571,0.750000025
572,0.0
573,0.6409812616666667
574,0.0
575,0.0
576,2.4581196666666667
577,0.0
578,0.6333333499999999
579,1.5418711166666668
580,0.0
581,0.21666667499999998
582,0.0
583,0.0
584,0.0
585,0.0
586,0.0
587,0.0
588,0.0
589,0.0
590,0.0
591,0.0
592,0.70682790625
593,1.9999999800000001
594,0.0
595,4.140052025
596,0.53273810875
597,2.96
598,2.82291665
599,0.0
600,0.0
601,0.22212301999999998
602,3.1982091999999995
603,2.969387714285714
604,0.0
605,0.39026862949999996
606,1.5
607,0.0
608,0.0
609,0.0
610,0.0
611,0.0
612,0.0
613,0.0
614,0.803967275
615,2.756038633333333
616,1.2223964125
617,4.47222235
618,0.0
619,0.0
620,0.0
621,0.4
622,0.0
623,1.4727747625000003
624,0.7413507699999999
625,0.0
626,0.0
627,0.0
628,0.0
629,0.6976278887499999
630,0.0
631,0.0
632,0.5925926
633,0.0
634,0.0
635,0.0
636,0.2701525066666666
637,0.0
638,0.0
639,0.7746990142857143
640,2.92820515
641,0.0
642,0.0
643,0.0
644,0.0
645,0.41984127666666665
646,0.0
647,0.0
648,0.0
649,0.0
650,0.0
651,0.0
652,0.0
653,1.0074074083333333
654,0.0
655,1.3733560142857144
656,1.0208333625000001
657,0.0
658,0.0
659,0.0
660,0.0
661,0.0
662,1.0
663,0.0
664,0.0
665,4.466502775
666,0.45833335
667,0.0
668,0.0
669,0.0
670,0.6666666666666666
671,0.0
672,0.0
673,0.0
674,0.0
675,3.0
676,1.88333335
677,0.0
678,0.0
679,0.35545373125
680,0.6666666666666666
681,0.0
682,0.0
683,0.0
684,0.46666668
685,0.7844246174999999
686,0.0
687,5.714286
688,0.0
689,0.077380955
690,0.0
691,0.0
692,1.3239796042857144
693,1.08476192
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.56
701,0.0
702,0.0
703,0.0
704,0.3
705,0.0
706,0.6212962799999999
707,0.0
708,1.4619047857142857
709,0.0
710,0.0
711,0.0
712,0.666666675
713,1.2222222333333332
714,0.0
715,0.0
716,2.0
